['UO', 24, 'CO', 288, 'diff', 'uname', 'O2', 'O2', 0.14597441685477808, 0.08847928047180176]
['CO', 203, 'UO', 26, 'sort', 'nm', 'O1', 'O2', 0.10827020202020199, 1.3525655269622803]
['CO', 19, 'UO', 1, 'dd', 'xargs', 'O3', 'O1', 0.05656192236598889, 0.09820938110351562]
['CO', 335, 'BO', 42, 'pr', 'cmp', 'O0', 'O1', 0.09593572778827975, 0.07503247261047363]
['CO', 406, 'UO', 79, 'rm', 'size', 'O0', 'O0', 0.1333333333333333, 2.646615743637085]
['CO', 21, 'BO', 64, 'mktemp', 'dot', 'O3', 'O0', 0.1833180568285976, 0.0213468074798584]
['BO', 58, 'CO', 22, 'svn', 'pwd', 'O1', 'O3', 0.21834130781499206, 0.47188687324523926]
['UO', 9, 'BO', 9, 'strings', 'git', 'O1', 'O0', 0.05061885634041996, 12.709933042526245]
['UO', 68, 'CO', 226, 'readelf', 'uptime', 'O0', 'O2', 0.1224400394261308, 0.5504512786865234]
['CO', 379, 'BO', 46, 'nohup', 'ruby', 'O0', 'O3', 0.10348821261486418, 12.870657920837402]
['CO', 354, 'UO', 15, 'sum', 'elfedit', 'O0', 'O1', 0.06971005552128318, 0.04946279525756836]
['BO', 66, 'CO', 80, 'svn', 'uname', 'O2', 'O3', 0.2249594813614263, 0.4500555992126465]
['CO', 110, 'BO', 41, 'mkdir', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.20331141952763576, 5.325211048126221]
['UO', 53, 'CO', 262, 'gprof', 'true', 'O3', 'O2', 0.13939658941845212, 0.8125102519989014]
['BO', 67, 'CO', 114, 'libSDL2-2.0.so.0.16.0', 'users', 'O1', 'O1', 0.2052646859576115, 5.130188226699829]
['BO', 38, 'CO', 193, 'acyclic', 'pathchk', 'O2', 'O1', 0.1592279855247286, 0.016682147979736328]
['UO', 27, 'CO', 141, 'strip', 'truncate', 'O2', 'O1', 0.1374332756935569, 1.1517961025238037]
['CO', 375, 'BO', 58, 'logname', 'svn', 'O0', 'O1', 0.21614625465135096, 0.4933493137359619]
['CO', 141, 'UO', 10, 'truncate', 'objcopy', 'O1', 'O1', 0.14176440591534933, 1.3101425170898438]
['UO', 46, 'CO', 169, 'readelf', 'false', 'O3', 'O1', 0.10624607658505969, 0.2171785831451416]
['UO', 81, 'CO', 394, 'diff3', 'shuf', 'O0', 'O0', 0.038865137971239805, 0.12105154991149902]
['CO', 40, 'BO', 63, 'sync', 'cluster', 'O3', 'O0', 0.13455008488964348, 0.1822359561920166]
['CO', 169, 'UO', 41, 'false', 'locate', 'O1', 'O2', 0.14472252448313383, 0.10937261581420898]
['BO', 35, 'CO', 187, 'make', 'csplit', 'O3', 'O1', 0.10730513806361408, 0.25776100158691406]
['UO', 78, 'CO', 365, 'elfedit', 'chmod', 'O0', 'O0', 0.08329455560725918, 0.07734417915344238]
['BO', 39, 'CO', 397, 'codeblocks', '[', 'O3', 'O0', 0.18196190427620673, 10.678594827651978]
['UO', 65, 'CO', 312, 'sdiff', 'sha384sum', 'O3', 'O0', 0.045478306325143714, 0.06035494804382324]
['CO', 72, 'BO', 3, 'head', 'openssl', 'O3', 'O1', 0.27752852198436095, 7.56987452507019]
['CO', 350, 'UO', 32, 'sha1sum', 'strings', 'O0', 'O2', 0.13589561512515536, 1.0000975131988525]
['CO', 260, 'BO', 60, 'sha256sum', 'openssl', 'O2', 'O0', 0.2706634941685845, 8.825478792190552]
['CO', 181, 'BO', 14, 'env', 'cmp', 'O1', 'O0', 0.07920792079207917, 0.045678138732910156]
['UO', 86, 'CO', 293, 'xargs', '[', 'O0', 'O2', 0.13450795015040828, 0.09457612037658691]
['CO', 123, 'BO', 72, 'dd', 'make', 'O1', 'O2', 0.09704499664204169, 0.29305362701416016]
['UO', 23, 'CO', 383, 'cmp', 'readlink', 'O2', 'O0', 0.07696933253156946, 0.054364919662475586]
['CO', 242, 'BO', 34, 'tail', 'cp', 'O2', 'O2', 0.07677100494233935, 0.11657452583312988]
['CO', 91, 'BO', 19, 'comm', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.16202167219800878, 4.667917490005493]
['BO', 22, 'CO', 359, 'perl', 'numfmt', 'O0', 'O0', 0.10641167095745985, 3.952082872390747]
['CO', 60, 'UO', 54, 'base64', 'addr2line', 'O3', 'O3', 0.13668470782497022, 0.8177685737609863]
['UO', 19, 'CO', 63, 'cmp', 'logname', 'O1', 'O3', 0.0745156482861401, 0.02880382537841797]
['CO', 67, 'UO', 61, 'nohup', 'find', 'O3', 'O3', 0.14828016396364285, 0.2993502616882324]
['BO', 62, 'CO', 15, 'bash', 'join', 'O1', 'O3', 0.12334365325077401, 2.6778159141540527]
['CO', 155, 'BO', 83, 'realpath', 'lua', 'O1', 'O2', 0.12009327633113098, 0.4273993968963623]
['CO', 241, 'BO', 47, 'chown', 'libvlc.so.12.0.0', 'O2', 'O0', 0.1994989038521766, 0.6720507144927979]
['CO', 380, 'BO', 16, 'yes', 'make', 'O0', 'O0', 0.1212068666551066, 0.2574124336242676]
['BO', 74, 'CO', 135, 'dot', 'date', 'O1', 'O1', 0.19701492537313436, 0.031219482421875]
['CO', 111, 'BO', 67, 'fmt', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.2039743404234795, 5.379456281661987]
['CO', 260, 'UO', 56, 'sha256sum', 'elfedit', 'O2', 'O3', 0.04434589800443456, 0.033457279205322266]
['BO', 3, 'CO', 257, 'openssl', 'nice', 'O1', 'O2', 0.2825766764858777, 7.235844612121582]
['CO', 319, 'BO', 30, 'fmt', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.15711336932359476, 4.810998439788818]
['CO', 280, 'UO', 51, 'head', 'objcopy', 'O2', 'O3', 0.1287919105907398, 1.0229604244232178]
['BO', 51, 'CO', 347, 'lua', 'base32', 'O1', 'O0', 0.11886304909560719, 0.4697713851928711]
['BO', 61, 'CO', 385, 'git', 'hostid', 'O1', 'O0', 0.09261292346298622, 6.301501750946045]
['UO', 71, 'BO', 71, 'c++filt', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.05852625130809874, 16.51598858833313]
['BO', 11, 'UO', 9, 'ssh', 'strings', 'O1', 'O1', 0.02611668010907553, 4.679872751235962]
['UO', 12, 'CO', 220, 'gprof', 'ptx', 'O1', 'O2', 0.1360528177316671, 1.1841306686401367]
