['CO', 403, 'UO', 85, 'comm', 'locate', 'O0', 'O0', 0.13142112125162975, 0.22869586944580078]
['BO', 45, 'CO', 350, 'diff', 'sha1sum', 'O2', 'O0', 0.09784735812133072, 0.13041067123413086]
['CO', 189, 'UO', 17, '[', 'objdump', 'O1', 'O1', 0.1361038672806969, 2.1688034534454346]
['CO', 334, 'BO', 6, 'pwd', 'codeblocks', 'O0', 'O0', 0.2047779672325598, 31.265737056732178]
['UO', 27, 'CO', 9, 'strip', 'du', 'O2', 'O3', 0.11397716329618934, 1.5476386547088623]
['BO', 43, 'CO', 157, 'diff', 'chmod', 'O1', 'O1', 0.08879618593563765, 0.14952945709228516]
['UO', 21, 'CO', 134, 'sdiff', 'expand', 'O1', 'O1', 0.06622911694510736, 0.04894542694091797]
['UO', 76, 'CO', 353, 'addr2line', 'echo', 'O0', 'O0', 0.15134974784930288, 2.273009777069092]
['BO', 73, 'CO', 379, 'cluster', 'nohup', 'O1', 'O0', 0.11579555298873812, 0.14700841903686523]
['UO', 84, 'CO', 365, 'sdiff', 'chmod', 'O0', 'O0', 0.04358161648177494, 0.11434102058410645]
['BO', 36, 'CO', 242, 'cluster', 'tail', 'O2', 'O2', 0.09824747742963358, 0.15862727165222168]
['BO', 18, 'CO', 350, 'libvlc.so.12.0.0', 'sha1sum', 'O1', 'O0', 0.19748287988154734, 0.49025893211364746]
['CO', 238, 'BO', 75, 'expand', 'gvmap', 'O2', 'O1', 0.1320916905444126, 0.12850522994995117]
['CO', 100, 'BO', 37, 'tac', 'gvmap', 'O3', 'O2', 0.12136986301369868, 0.13551068305969238]
['CO', 19, 'BO', 2, 'dd', 'perl', 'O3', 'O1', 0.07286262710105829, 2.799339532852173]
['CO', 313, 'BO', 32, 'touch', 'ruby', 'O0', 'O2', 0.12145155584008627, 17.349496841430664]
['CO', 410, 'BO', 40, 'sleep', 'lua', 'O0', 'O0', 0.1356209150326797, 0.7756178379058838]
['UO', 50, 'CO', 258, 'strings', 'dircolors', 'O3', 'O2', 0.1369213608477412, 0.8238883018493652]
['UO', 45, 'CO', 250, 'strip', 'sum', 'O3', 'O2', 0.12864336944910726, 1.0409517288208008]
['CO', 351, 'UO', 20, 'paste', 'diff', 'O0', 'O1', 0.12009314703925478, 0.1934947967529297]
['UO', 60, 'CO', 24, 'xargs', 'tee', 'O3', 'O3', 0.10363196125907992, 0.06837058067321777]
['BO', 71, 'CO', 360, 'libSDL2-2.0.so.0.16.0', 'ls', 'O0', 'O0', 0.16644097961078652, 8.724382877349854]
['BO', 37, 'UO', 49, 'gvmap', 'c++filt', 'O2', 'O3', 0.0880551895201922, 1.3210692405700684]
['BO', 80, 'CO', 174, 'ssh', 'b2sum', 'O3', 'O1', 0.13378429161969185, 1.4031243324279785]
['BO', 51, 'CO', 250, 'lua', 'sum', 'O1', 'O2', 0.12857683095928407, 0.4480559825897217]
['UO', 37, 'CO', 243, 'ar', 'base32', 'O2', 'O2', 0.145169578622816, 1.0146675109863281]
['CO', 170, 'BO', 38, 'runcon', 'acyclic', 'O1', 'O2', 0.15101522842639592, 0.01617741584777832]
['BO', 43, 'CO', 307, 'diff', 'sort', 'O1', 'O2', 0.03421052631578947, 0.24027442932128906]
['CO', 152, 'BO', 57, 'ls', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.13622302701071376, 5.690926551818848]
['UO', 35, 'BO', 69, 'gprof', 'cmp', 'O2', 'O3', 0.13815734817645597, 1.062206506729126]
['CO', 379, 'BO', 21, 'nohup', 'cp', 'O0', 'O1', 0.10896501457725949, 0.11972498893737793]
['UO', 77, 'CO', 377, 'ar', 'false', 'O0', 'O0', 0.15111464064893076, 2.40866756439209]
['CO', 269, 'UO', 53, 'cksum', 'gprof', 'O2', 'O3', 0.13772715416050785, 0.8974616527557373]
['CO', 90, 'UO', 54, 'tr', 'addr2line', 'O3', 'O3', 0.13482020937642236, 0.8585834503173828]
['CO', 223, 'UO', 47, 'join', 'as', 'O2', 'O3', 0.11991834354039077, 1.5688047409057617]
['UO', 77, 'CO', 264, 'ar', 'cut', 'O0', 'O2', 0.15187008430939852, 2.399204730987549]
['BO', 32, 'CO', 113, 'ruby', 'du', 'O2', 'O1', 0.11890457594873338, 17.19265055656433]
['CO', 220, 'UO', 24, 'ptx', 'diff', 'O2', 'O2', 0.08395291201982658, 0.13299083709716797]
['CO', 22, 'UO', 10, 'pwd', 'objcopy', 'O3', 'O1', 0.14150329161542352, 1.3832948207855225]
['CO', 331, 'BO', 61, 'dd', 'git', 'O0', 'O1', 0.08826992491362173, 7.7217066287994385]
['CO', 337, 'UO', 71, 'chgrp', 'c++filt', 'O0', 'O0', 0.13471620697515385, 2.6705992221832275]
['CO', 204, 'UO', 57, 'tac', 'size', 'O1', 'O3', 0.13243884629426794, 0.9000082015991211]
['BO', 70, 'CO', 193, 'diff', 'pathchk', 'O3', 'O1', 0.12005649717514122, 0.09385061264038086]
['UO', 66, 'BO', 30, 'nm', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.03626550747289248, 14.270542621612549]
['CO', 201, 'UO', 61, 'uniq', 'find', 'O1', 'O3', 0.13641114982578395, 0.3569493293762207]
['CO', 274, 'BO', 31, 'runcon', 'bash', 'O2', 'O2', 0.12672906485546265, 2.703572988510132]
