['CV', 210, 'UV', 15, 'chroot', 'ld', 'V0', 'V2', 0.13870688589442448, 1.4417383670806885]
['CV', 94, 'BV', 26, 'dir', 'geany', 'V3', 'V2', 0.1733289586409289, 23.289155960083008]
['CV', 199, 'UV', 58, 'expand', 'objcopy', 'V0', 'V1', 0.13836522228474957, 1.1621263027191162]
['UV', 22, 'CV', 101, 'nm', 'dirname', 'V3', 'V3', 0.14828354881854655, 0.903796911239624]
['BV', 36, 'UV', 3, 'libvlc.so', 'diff3', 'V2', 'V2', 0.16625485351217795, 0.36543893814086914]
['UV', 22, 'CV', 56, 'nm', 'yes', 'V3', 'V2', 0.15199567528606184, 0.8678462505340576]
['UV', 51, 'CV', 89, 'nm', 'unlink', 'V1', 'V3', 0.14418807139747503, 0.8825762271881104]
['BV', 26, 'CV', 213, 'geany', 'whoami', 'V2', 'V0', 0.18440384253155018, 19.987508296966553]
['BV', 57, 'CV', 2, 'svn', 'unlink', 'V2', 'V2', 0.22294292068198662, 0.33467721939086914]
['CV', 32, 'BV', 12, 'paste', 'sort', 'V2', 'V2', 0.11549429657794674, 0.04984402656555176]
['CV', 77, 'BV', 67, 'nl', 'cluster', 'V2', 'V0', 0.08451079712076781, 0.12983298301696777]
['UV', 6, 'CV', 55, 'sdiff', 'nohup', 'V2', 'V2', 0.08860759493670889, 0.03498053550720215]
['UV', 7, 'CV', 96, 'nm', 'users', 'V2', 'V3', 0.14464861099015935, 0.9295065402984619]
['BV', 59, 'CV', 315, 'make', 'false', 'V1', 'V1', 0.14789029535864984, 0.1613614559173584]
['BV', 75, 'UV', 28, 'cmp', 'strings', 'V2', 'V3', 0.14163975601004664, 0.9316346645355225]
['CV', 12, 'BV', 79, 'stty', 'bash', 'V2', 'V3', 0.12448380092809397, 2.578495740890503]
['BV', 41, 'UV', 38, 'libvlccore.so', 'xargs', 'V1', 'V3', 0.1471939697454696, 3.0004847049713135]
['CV', 316, 'UV', 10, 'nohup', 'as', 'V1', 'V2', 0.1326755658734765, 1.6016178131103516]
['CV', 233, 'BV', 67, 'head', 'cluster', 'V0', 'V0', 0.13761776581426655, 0.09074878692626953]
['UV', 16, 'CV', 113, 'gprof', 'date', 'V2', 'V3', 0.1301174230403046, 1.040785551071167]
['UV', 21, 'CV', 32, 'objdump', 'paste', 'V2', 'V2', 0.14041481677821221, 1.3448662757873535]
['CV', 33, 'BV', 23, 'sync', 'diff', 'V2', 'V3', 0.1444894950239587, 0.07479405403137207]
['CV', 257, 'BV', 62, 'tac', 'diff', 'V0', 'V0', 0.04489795918367345, 0.0649721622467041]
['CV', 117, 'UV', 37, 'pinky', 'locate', 'V3', 'V3', 0.11677574922493972, 0.11122918128967285]
['BV', 35, 'CV', 73, 'libvlccore.so', 'shred', 'V2', 'V2', 0.15850089681865387, 3.3522043228149414]
['UV', 44, 'CV', 272, 'diff3', 'printenv', 'V1', 'V1', 0.11874533233756535, 0.02576732635498047]
['CV', 233, 'BV', 72, 'head', 'perl', 'V0', 'V1', 0.09248092747443115, 2.1312460899353027]
['BV', 30, 'UV', 14, 'bash', 'objcopy', 'V0', 'V2', 0.025160714834978948, 6.141096591949463]
['BV', 45, 'CV', 104, 'svn', 'mkfifo', 'V3', 'V3', 0.21941693402148132, 0.572725772857666]
['CV', 239, 'BV', 45, 'env', 'svn', 'V0', 'V3', 0.2326086956521739, 0.5310494899749756]
