['BV', 27, 'CV', 52, 'libSDL2-2.0.so', 'logname', 'V1', 'V2', 0.19563648476100592, 3.4219634532928467]
['UV', 66, 'CV', 210, 'diff3', 'chroot', 'V0', 'V0', 0.11044776119402988, 0.0255277156829834]
['UV', 40, 'CV', 218, 'diff3', 'true', 'V3', 'V0', 0.125, 0.025153398513793945]
['BV', 36, 'UV', 5, 'libvlc.so', 'diff', 'V2', 'V2', 0.11315560707041439, 0.5298440456390381]
['BV', 12, 'CV', 294, 'sort', 'sync', 'V2', 'V1', 0.14073694984646878, 0.04440903663635254]
['CV', 269, 'UV', 54, 'du', 'as', 'V1', 'V1', 0.11891891891891893, 1.7276666164398193]
['UV', 44, 'CV', 161, 'diff3', 'pathchk', 'V1', 'V3', 0.06975345760673479, 0.03389120101928711]
['UV', 59, 'BV', 2, 'ld', 'cmp', 'V1', 'V1', 0.12953211064705528, 1.5317647457122803]
['BV', 44, 'CV', 73, 'make', 'shred', 'V0', 'V2', 0.09935768767563224, 0.19806599617004395]
['CV', 127, 'UV', 82, 'ls', 'gprof', 'V3', 'V0', 0.10479654466924304, 1.2526662349700928]
['UV', 2, 'CV', 2, 'find', 'unlink', 'V2', 'V2', 0.15604283528811824, 0.13813304901123047]
['CV', 274, 'BV', 37, 'join', 'geany', 'V1', 'V1', 0.1841271703425622, 18.984119415283203]
['UV', 76, 'CV', 82, 'as', 'sort', 'V0', 'V2', 0.1141750227894257, 1.7395412921905518]
['UV', 8, 'CV', 118, 'strip', 'sha1sum', 'V2', 'V3', 0.13525401363536393, 1.1486244201660156]
['UV', 21, 'CV', 334, 'objdump', 'shred', 'V2', 'V1', 0.13124432334241598, 1.4590349197387695]
['BV', 3, 'CV', 291, 'diff', 'pinky', 'V1', 'V1', 0.11102139685102952, 0.0700063705444336]
['CV', 36, 'UV', 21, 'chroot', 'objdump', 'V2', 'V2', 0.13814188967058982, 1.407562255859375]
['CV', 260, 'BV', 9, 'ln', 'dot', 'V0', 'V2', 0.1572327044025157, 0.013417720794677734]
['CV', 5, 'BV', 46, 'mkdir', 'cluster', 'V2', 'V3', 0.12020460358056262, 0.12602710723876953]
['BV', 65, 'CV', 133, 'ssh', 'cut', 'V1', 'V3', 0.11591022443890275, 3.491312265396118]
['UV', 11, 'BV', 12, 'ranlib', 'sort', 'V2', 'V2', 0.12166679623726973, 1.2012367248535156]
['BV', 49, 'CV', 259, 'make', 'mknod', 'V3', 'V0', 0.14415634674922595, 0.1929776668548584]
['CV', 101, 'BV', 53, 'dirname', 'ssh', 'V3', 'V2', 0.11940447641886487, 3.5292210578918457]
['UV', 85, 'CV', 101, 'elfedit', 'dirname', 'V0', 'V3', 0.059856344772545866, 0.023830890655517578]
['UV', 18, 'BV', 83, 'ar', 'git', 'V2', 'V2', 0.05051720772884005, 12.604176044464111]
['CV', 284, 'UV', 20, 'wc', 'size', 'V1', 'V2', 0.14762032804517344, 0.9015529155731201]
['BV', 22, 'CV', 202, 'cmp', 'chown', 'V3', 'V0', 0.036553524804177506, 0.035888671875]
['CV', 112, 'BV', 67, 'expand', 'cluster', 'V3', 'V0', 0.12240994580809694, 0.099945068359375]
['CV', 97, 'UV', 13, 'ptx', 'strings', 'V3', 'V2', 0.13163952596129258, 0.9879543781280518]
