['UO', 27, 'CO', 332, 'strip', 'mkfifo', 'O2', 'O0', 0.11341215979850272, 1.5709848403930664]
['UO', 65, 'CO', 379, 'sdiff', 'nohup', 'O3', 'O0', 0.04508670520231217, 0.05377912521362305]
['CO', 31, 'BO', 50, 'date', 'perl', 'O3', 'O2', 0.08365695313194799, 2.7109954357147217]
['BO', 16, 'CO', 363, 'make', 'realpath', 'O0', 'O0', 0.10136132524192232, 0.3320639133453369]
['UO', 21, 'BO', 51, 'sdiff', 'lua', 'O1', 'O1', 0.11722891566265059, 0.5006556510925293]
['UO', 56, 'CO', 127, 'elfedit', 'pr', 'O3', 'O1', 0.08855291576673863, 0.05714678764343262]
['CO', 5, 'BO', 0, 'basename', 'codeblocks', 'O3', 'O1', 0.18668581125179484, 10.845977544784546]
['UO', 51, 'CO', 122, 'objcopy', 'uptime', 'O3', 'O1', 0.12448257695491838, 1.1300535202026367]
['UO', 14, 'CO', 390, 'ar', 'chcon', 'O1', 'O0', 0.12167906482465463, 1.5168261528015137]
['CO', 0, 'UO', 34, 'sha384sum', 'ld', 'O3', 'O2', 0.13958592869431097, 1.9598026275634766]
['CO', 282, 'BO', 17, 'unexpand', 'codeblocks', 'O2', 'O2', 0.1880860595957491, 11.0116708278656]
['BO', 35, 'CO', 358, 'make', 'whoami', 'O3', 'O0', 0.1241635687732342, 0.251659631729126]
['CO', 31, 'BO', 48, 'date', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.17785215534652887, 11.447445154190063]
['CO', 180, 'BO', 19, 'md5sum', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.16112490986299177, 4.960151195526123]
['CO', 364, 'UO', 46, 'sha256sum', 'readelf', 'O0', 'O3', 0.08825707093143786, 0.2966744899749756]
['BO', 20, 'CO', 207, 'sort', 'ln', 'O1', 'O1', 0.06209343583678295, 0.17948174476623535]
['UO', 10, 'BO', 60, 'objcopy', 'openssl', 'O1', 'O0', 0.13371467555298988, 18.893620491027832]
['CO', 229, 'UO', 19, 'mktemp', 'cmp', 'O2', 'O1', 0.03733333333333333, 0.044451236724853516]
['CO', 101, 'UO', 86, 'rmdir', 'xargs', 'O3', 'O0', 0.1348122866894198, 0.09741663932800293]
['BO', 83, 'CO', 139, 'lua', 'base32', 'O2', 'O1', 0.12472043152216816, 0.41971588134765625]
['CO', 91, 'BO', 50, 'comm', 'perl', 'O3', 'O2', 0.08647676161919038, 2.5313332080841064]
['CO', 363, 'BO', 24, 'realpath', 'cluster', 'O0', 'O3', 0.08695652173913038, 0.16840195655822754]
