['UO', 78, 'CO', 233, 'elfedit', 'chgrp', 'O0', 'O2', 0.060353798126951075, 0.055899858474731445]
['CO', 73, 'UO', 5, 'hostid', 'readelf', 'O3', 'O1', 0.1224614444953428, 0.2632598876953125]
['UO', 20, 'CO', 84, 'diff', 'vdir', 'O1', 'O3', 0.025897319400272623, 0.22133374214172363]
['CO', 372, 'UO', 45, 'base64', 'strip', 'O0', 'O3', 0.12288613303269447, 1.0717504024505615]
['BO', 27, 'UO', 74, 'perl', 'ld', 'O3', 'O0', 0.02008492045314403, 12.600122451782227]
['BO', 55, 'CO', 213, 'make', 'basename', 'O1', 'O2', 0.1411554496724241, 0.20570588111877441]
['BO', 29, 'CO', 209, 'libvlc.so.12.0.0', 'touch', 'O2', 'O2', 0.19213174748398898, 0.4548759460449219]
['CO', 26, 'UO', 22, 'kill', 'diff3', 'O3', 'O2', 0.06909547738693467, 0.03690481185913086]
['UO', 3, 'CO', 398, 'nm', 'timeout', 'O1', 'O0', 0.13966248233435863, 1.2115256786346436]
['BO', 16, 'CO', 254, 'make', 'whoami', 'O0', 'O2', 0.1364529380246473, 0.21931695938110352]
['CO', 176, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1913510786900512, 27.525906562805176]
['UO', 32, 'BO', 72, 'strings', 'make', 'O2', 'O2', 0.067036523347203, 1.6872096061706543]
['UO', 53, 'CO', 31, 'gprof', 'date', 'O3', 'O3', 0.12368334430546413, 0.9067158699035645]
['UO', 38, 'CO', 221, 'elfedit', 'printenv', 'O2', 'O2', 0.08206429780033841, 0.025487422943115234]
['BO', 4, 'CO', 294, 'libgeany.so.0.0.0', 'timeout', 'O2', 'O2', 0.17740269235048234, 27.102039337158203]
['CO', 149, 'UO', 47, 'split', 'as', 'O1', 'O3', 0.11564155724487446, 1.5546588897705078]
['CO', 27, 'BO', 37, 'wc', 'gvmap', 'O3', 'O2', 0.11248322147651002, 0.13757967948913574]
['BO', 72, 'CO', 58, 'make', 'df', 'O2', 'O3', 0.09241668008372239, 0.30121850967407227]
['UO', 51, 'CO', 277, 'objcopy', 'who', 'O3', 'O2', 0.12757888349514568, 1.0039992332458496]
['BO', 45, 'CO', 337, 'diff', 'chgrp', 'O2', 'O0', 0.05270457697642161, 0.17714428901672363]
['BO', 34, 'CO', 388, 'cp', 'md5sum', 'O2', 'O0', 0.08677098150782359, 0.11153149604797363]
['CO', 307, 'UO', 74, 'sort', 'ld', 'O2', 'O0', 0.13342040687089374, 4.749351501464844]
['UO', 87, 'CO', 4, 'find', 'test', 'O0', 'O3', 0.16776837652035959, 0.6008810997009277]
['BO', 30, 'UO', 87, 'libvlccore.so.9.0.0', 'find', 'O2', 'O0', 0.09275046471380044, 8.015156030654907]
['BO', 5, 'CO', 120, 'libgeany.so.0.0.0', 'dirname', 'O1', 'O1', 0.17490184812793252, 27.173308610916138]
['CO', 259, 'UO', 34, 'realpath', 'ld', 'O2', 'O2', 0.13931354470287316, 1.8532450199127197]
['CO', 173, 'UO', 22, 'who', 'diff3', 'O1', 'O2', 0.035239745811669554, 0.04973411560058594]
['CO', 270, 'BO', 45, 'printf', 'diff', 'O2', 'O2', 0.12259194395796846, 0.10124373435974121]
['UO', 24, 'BO', 8, 'diff', 'cp', 'O2', 'O0', 0.06667915339951302, 0.3456532955169678]
['UO', 58, 'BO', 54, 'objdump', 'lua', 'O3', 'O3', 0.06115015426808368, 2.8265023231506348]
['CO', 202, 'BO', 23, 'sleep', 'git', 'O1', 'O2', 0.09304196009965282, 6.391296863555908]
['UO', 1, 'CO', 84, 'xargs', 'vdir', 'O1', 'O3', 0.04195205479452058, 0.16653203964233398]
['BO', 29, 'CO', 87, 'libvlc.so.12.0.0', 'id', 'O2', 'O3', 0.21308016877637126, 0.4004781246185303]
['CO', 350, 'UO', 72, 'sha1sum', 'strings', 'O0', 'O0', 0.14600373919139986, 2.2309887409210205]
