['BO', 37, 'CO', 402, 'gvmap', 'tr', 'O2', 'O0', 0.09424629002863838, 0.16825461387634277]
['CO', 170, 'UO', 83, 'runcon', 'diff', 'O1', 'O0', 0.1651119402985075, 0.15409326553344727]
['UO', 9, 'CO', 390, 'strings', 'chcon', 'O1', 'O0', 0.1212072563814417, 1.4038188457489014]
['CO', 342, 'UO', 28, 'expand', 'readelf', 'O0', 'O2', 0.09995386744579426, 0.29023051261901855]
['CO', 285, 'UO', 26, 'env', 'nm', 'O2', 'O2', 0.14805520702634878, 0.9678366184234619]
['BO', 30, 'CO', 169, 'libvlccore.so.9.0.0', 'false', 'O2', 'O1', 0.16166726900373452, 4.690008640289307]
['BO', 58, 'CO', 324, 'svn', 'ptx', 'O1', 'O0', 0.17843704775687408, 0.6623995304107666]
['UO', 61, 'CO', 55, 'find', 'cp', 'O3', 'O3', 0.08874892642427712, 0.48537468910217285]
['CO', 42, 'BO', 50, 'sum', 'perl', 'O3', 'O2', 0.08605759146615521, 2.5868747234344482]
['CO', 119, 'BO', 43, 'join', 'diff', 'O1', 'O1', 0.1059878322126161, 0.1380927562713623]
['CO', 36, 'UO', 9, 'pinky', 'strings', 'O3', 'O1', 0.14647331388364515, 1.1205332279205322]
['BO', 53, 'UO', 1, 'bash', 'xargs', 'O0', 'O1', 0.11586043925493472, 4.291146516799927]
['CO', 236, 'BO', 65, 'factor', 'gvmap', 'O2', 'O0', 0.11478637527072255, 0.23528146743774414]
['CO', 27, 'BO', 72, 'wc', 'make', 'O3', 'O2', 0.11618404689998219, 0.2585489749908447]
['UO', 19, 'CO', 319, 'cmp', 'fmt', 'O1', 'O0', 0.055837563451776706, 0.050347089767456055]
['CO', 104, 'UO', 21, 'sha384sum', 'sdiff', 'O1', 'O1', 0.05317919075144506, 0.05361175537109375]
['BO', 12, 'CO', 171, 'libgeany.so.0.0.0', 'nohup', 'O0', 'O1', 0.19205555663625573, 29.198619842529297]
