['UV', 82, 'CV', 96, 'gprof', 'users', 'V0', 'V3', 0.13800153335037058, 0.8766880035400391]
['BV', 38, 'CV', 44, 'ruby', 'true', 'V2', 'V2', 0.2076190476190476, 0.005507946014404297]
['CV', 101, 'UV', 17, 'dirname', 'addr2line', 'V3', 'V2', 0.1473768880150148, 0.8943355083465576]
['CV', 87, 'BV', 67, 'touch', 'cluster', 'V3', 'V0', 0.09045085410249232, 0.12890267372131348]
['CV', 70, 'BV', 2, 'vdir', 'cmp', 'V2', 'V1', 0.10152284263959388, 0.07409477233886719]
['UV', 57, 'CV', 211, 'strings', 'seq', 'V1', 'V0', 0.14851574483443108, 0.8077995777130127]
['CV', 130, 'UV', 38, 'chmod', 'xargs', 'V3', 'V3', 0.0672997522708505, 0.07982349395751953]
['CV', 77, 'UV', 66, 'nl', 'diff3', 'V2', 'V0', 0.030594405594405627, 0.05023479461669922]
['CV', 194, 'BV', 0, 'tee', 'bash', 'V0', 'V2', 0.12920743200789875, 2.2515172958374023]
['BV', 18, 'CV', 151, 'sort', 'md5sum', 'V3', 'V3', 0.10249307479224379, 0.09046506881713867]
['UV', 68, 'BV', 45, 'diff', 'svn', 'V0', 'V3', 0.1649131102967254, 0.8275146484375]
['BV', 28, 'CV', 149, 'openssl', 'unexpand', 'V1', 'V3', 0.10251124853159566, 6.139628171920776]
['UV', 8, 'CV', 96, 'strip', 'users', 'V2', 'V3', 0.13716096698113212, 1.1358668804168701]
['UV', 37, 'BV', 75, 'locate', 'cmp', 'V3', 'V2', 0.11756473058082573, 0.1081547737121582]
['UV', 76, 'CV', 289, 'as', 'chown', 'V0', 'V1', 0.12612505215473568, 1.5733962059020996]
['CV', 192, 'UV', 59, 'pwd', 'ld', 'V0', 'V1', 0.13539675689006714, 1.487729549407959]
['UV', 63, 'CV', 322, 'elfedit', 'ginstall', 'V1', 'V1', 0.10795454545454541, 0.05685758590698242]
['CV', 239, 'UV', 37, 'env', 'locate', 'V0', 'V3', 0.17421460628314978, 0.08280253410339355]
['CV', 55, 'UV', 9, 'nohup', 'readelf', 'V2', 'V2', 0.09951573849878936, 0.10400986671447754]
['CV', 323, 'BV', 43, 'unexpand', 'lua', 'V1', 'V0', 0.144586415601883, 0.26079630851745605]
['CV', 127, 'BV', 49, 'ls', 'make', 'V3', 'V3', 0.06523318320499782, 0.405409574508667]
['UV', 14, 'BV', 46, 'objcopy', 'cluster', 'V2', 'V3', 0.09804297774366844, 1.6761457920074463]
['UV', 44, 'BV', 57, 'diff3', 'svn', 'V1', 'V2', 0.19133818304855355, 0.42736291885375977]
