['BO', 32, 'CO', 367, 'ruby', 'cp', 'O2', 'O0', 0.11219074058953216, 18.54658031463623]
['CO', 58, 'UO', 60, 'df', 'xargs', 'O3', 'O3', 0.03926512968299711, 0.1176295280456543]
['CO', 383, 'BO', 71, 'readlink', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.19419745355875606, 7.5012595653533936]
['CO', 55, 'BO', 22, 'cp', 'perl', 'O3', 'O0', 0.09993145173307905, 4.810888290405273]
['CO', 401, 'UO', 21, 'pathchk', 'sdiff', 'O0', 'O1', 0.0636147443519619, 0.05589556694030762]
['CO', 308, 'UO', 2, 'tac', 'find', 'O2', 'O1', 0.16000000000000003, 0.41298699378967285]
['CO', 291, 'BO', 34, 'csplit', 'cp', 'O2', 'O2', 0.0957446808510638, 0.10993790626525879]
['BO', 0, 'CO', 395, 'codeblocks', 'csplit', 'O1', 'O0', 0.1804264063704084, 11.565160274505615]
['CO', 379, 'BO', 30, 'nohup', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.1584000637424804, 5.19758152961731]
['CO', 237, 'BO', 32, 'nproc', 'ruby', 'O2', 'O2', 0.12605142379416834, 15.589065790176392]
['CO', 399, 'BO', 52, 'id', 'svn', 'O0', 'O3', 0.19156388000609104, 0.5567913055419922]
['UO', 35, 'CO', 265, 'gprof', 'od', 'O2', 'O2', 0.13393442622950813, 1.0729694366455078]
['CO', 60, 'UO', 24, 'base64', 'diff', 'O3', 'O2', 0.12327348066298338, 0.10158061981201172]
['BO', 25, 'CO', 138, 'dot', 'tail', 'O3', 'O1', 0.19758351101634686, 0.0345613956451416]
['CO', 45, 'UO', 68, 'split', 'readelf', 'O3', 'O0', 0.11485419517843987, 0.5959188938140869]
['BO', 27, 'CO', 334, 'perl', 'pwd', 'O3', 'O0', 0.08069282307849845, 2.486191511154175]
['CO', 118, 'BO', 73, 'stty', 'cluster', 'O1', 'O1', 0.10932297447280803, 0.15218162536621094]
['CO', 32, 'UO', 13, 'expr', 'addr2line', 'O3', 'O1', 0.14592712137942754, 1.1575641632080078]
['BO', 21, 'CO', 390, 'cp', 'chcon', 'O1', 'O0', 0.03938309005783536, 0.2094714641571045]
['BO', 64, 'CO', 381, 'dot', 'who', 'O0', 'O0', 0.2136752136752137, 0.03209114074707031]
['CO', 380, 'BO', 13, 'yes', 'ruby', 'O0', 'O1', 0.10404333231614282, 13.499942779541016]
['UO', 13, 'CO', 86, 'addr2line', 'timeout', 'O1', 'O3', 0.14575519945448345, 1.1185710430145264]
['UO', 66, 'BO', 21, 'nm', 'cp', 'O0', 'O1', 0.12748103921252218, 3.02775239944458]
['UO', 14, 'CO', 251, 'ar', 'chroot', 'O1', 'O2', 0.14796335678063144, 1.201528549194336]
['CO', 5, 'UO', 79, 'basename', 'size', 'O3', 'O0', 0.15451378638483793, 2.2638397216796875]
['CO', 173, 'BO', 77, 'who', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.18660677827684768, 5.545231342315674]
['CO', 299, 'BO', 65, 'comm', 'gvmap', 'O2', 'O0', 0.13058996430820913, 0.208510160446167]
['CO', 323, 'UO', 63, 'groups', 'cmp', 'O0', 'O3', 0.06157965194109771, 0.04519534111022949]
['CO', 265, 'UO', 26, 'od', 'nm', 'O2', 'O2', 0.13765357328257488, 1.0547490119934082]
['BO', 31, 'CO', 146, 'bash', 'sum', 'O2', 'O1', 0.12208993085389308, 2.9182815551757812]
['UO', 27, 'CO', 384, 'strip', 'head', 'O2', 'O0', 0.12941521324930383, 1.305431842803955]
['UO', 84, 'CO', 395, 'sdiff', 'csplit', 'O0', 'O0', 0.020695364238410563, 0.09786820411682129]
['UO', 32, 'BO', 73, 'strings', 'cluster', 'O2', 'O1', 0.09746440264981349, 1.4236979484558105]
['BO', 79, 'CO', 233, 'bash', 'chgrp', 'O3', 'O2', 0.10799938109237195, 2.6609792709350586]
['BO', 55, 'CO', 88, 'make', 'shred', 'O1', 'O3', 0.10420315236427324, 0.2789275646209717]
