['CV', 38, 'UV', 80, 'split', 'objcopy', 'V2', 'V0', 0.12614067106556226, 1.1654911041259766]
['CV', 321, 'BV', 26, 'hostid', 'geany', 'V1', 'V2', 0.18448266119158396, 20.04687213897705]
['CV', 216, 'BV', 14, 'dircolors', 'openssl', 'V0', 'V3', 0.2911869374084153, 5.34039568901062]
['BV', 51, 'CV', 292, 'cp', 'sha1sum', 'V0', 'V1', 0.09347553324968638, 0.03659677505493164]
['CV', 332, 'UV', 54, '[', 'as', 'V1', 'V1', 0.1308982873121286, 1.5148646831512451]
['UV', 66, 'CV', 24, 'diff3', 'factor', 'V0', 'V2', 0.07849604221635886, 0.02953314781188965]
['UV', 68, 'CV', 208, 'diff', 'echo', 'V0', 'V0', 0.14443952148870176, 0.05388355255126953]
['CV', 317, 'BV', 47, 'yes', 'dot', 'V1', 'V3', 0.11683848797250862, 0.00883936882019043]
['CV', 279, 'UV', 47, 'pwd', 'sdiff', 'V1', 'V1', 0.10755616065350582, 0.031452178955078125]
['CV', 28, 'UV', 69, 'chown', 'sdiff', 'V2', 'V0', 0.03557504873294348, 0.062451839447021484]
['BV', 56, 'CV', 307, 'ssh', 'cut', 'V3', 'V1', 0.14817494245314045, 1.217574119567871]
['BV', 34, 'CV', 253, 'svn', 'fold', 'V0', 'V0', 0.22286744092911492, 0.28725433349609375]
['CV', 38, 'BV', 7, 'split', 'libSDL2-2.0.so', 'V2', 'V0', 0.2073531388627503, 3.0015785694122314]
['BV', 67, 'UV', 49, 'cluster', 'xargs', 'V0', 'V1', 0.11459627329192545, 0.10471391677856445]
['BV', 75, 'UV', 9, 'cmp', 'readelf', 'V2', 'V2', 0.08491439148542346, 0.11886191368103027]
['UV', 75, 'CV', 192, 'readelf', 'pwd', 'V0', 'V0', 0.10793554271815142, 0.0760200023651123]
['CV', 63, 'BV', 79, 'mv', 'bash', 'V2', 'V3', 0.11374077112387204, 2.906719446182251]
['UV', 71, 'BV', 52, 'xargs', 'libSDL2-2.0.so', 'V0', 'V2', 0.19080888060860113, 3.9608347415924072]
['BV', 66, 'CV', 264, 'lua', 'test', 'V1', 'V1', 0.13723371410929297, 0.28128671646118164]
['UV', 45, 'BV', 12, 'cmp', 'sort', 'V1', 'V2', 0.08372290692732687, 0.06604933738708496]
['CV', 49, 'BV', 38, 'tsort', 'ruby', 'V2', 'V2', 0.2064714946070878, 0.0071446895599365234]
['UV', 72, 'CV', 171, 'find', 'rmdir', 'V0', 'V3', 0.1329755515802027, 0.12179374694824219]
['CV', 225, 'UV', 79, 'printf', 'strings', 'V0', 'V0', 0.14599981197706113, 0.792898416519165]
['BV', 48, 'CV', 261, 'gvmap', 'touch', 'V3', 'V1', 0.12722646310432573, 0.1230778694152832]
['BV', 40, 'CV', 345, 'lua', 'rmdir', 'V2', 'V1', 0.139802389028167, 0.29593992233276367]
['CV', 82, 'BV', 47, 'sort', 'dot', 'V2', 'V3', 0.18455640744797375, 0.04036283493041992]
['UV', 0, 'CV', 49, 'locate', 'tsort', 'V2', 'V2', 0.12004230565838181, 0.04663729667663574]
['BV', 1, 'CV', 120, 'libSDL2-2.0.so', 'sync', 'V3', 'V3', 0.19189495132442835, 4.969525337219238]
['BV', 1, 'CV', 139, 'libSDL2-2.0.so', 'logname', 'V3', 'V3', 0.19281045751633985, 4.897778511047363]
['CV', 346, 'UV', 20, 'mknod', 'size', 'V1', 'V2', 0.150627993132737, 0.8744957447052002]
['BV', 66, 'CV', 281, 'lua', 'tee', 'V1', 'V1', 0.1379149860378529, 0.2900876998901367]
['BV', 9, 'CV', 254, 'dot', 'uniq', 'V2', 'V0', 0.15032679738562094, 0.01273655891418457]
['CV', 17, 'BV', 21, 'mkfifo', 'cp', 'V2', 'V1', 0.1061073411474398, 0.035382747650146484]
['CV', 218, 'UV', 9, 'true', 'readelf', 'V0', 'V2', 0.11377091377091375, 0.08651971817016602]
