['CV', 257, 'BV', 8, 'tac', 'cluster', 'V0', 'V2', 0.09696969696969693, 0.1517772674560547]
['CV', 185, 'BV', 57, 'printenv', 'svn', 'V0', 'V2', 0.23160296634341127, 0.3489058017730713]
['BV', 0, 'UV', 53, 'bash', 'readelf', 'V2', 'V1', 0.10265899674162271, 3.123584508895874]
['BV', 76, 'CV', 235, 'diff', 'ginstall', 'V2', 'V0', 0.06997677119628343, 0.14156031608581543]
['CV', 19, 'BV', 75, 'pr', 'cmp', 'V2', 'V2', 0.02704363859864778, 0.0386812686920166]
['CV', 194, 'BV', 1, 'tee', 'libSDL2-2.0.so', 'V0', 'V3', 0.19503610933357707, 5.240813732147217]
['BV', 31, 'CV', 12, 'codeblocks', 'stty', 'V0', 'V2', 0.18565226948016267, 9.725517988204956]
['CV', 100, 'BV', 28, 'join', 'openssl', 'V3', 'V1', 0.10109735137279097, 7.169000864028931]
['BV', 32, 'CV', 339, 'perl', 'rm', 'V0', 'V1', 0.10661795233745741, 2.0760271549224854]
['UV', 13, 'BV', 39, 'strings', 'svn', 'V2', 'V1', 0.06556424003617334, 2.250781536102295]
['CV', 17, 'UV', 80, 'mkfifo', 'objcopy', 'V2', 'V0', 0.13674344256339466, 1.1471431255340576]
['UV', 53, 'CV', 259, 'readelf', 'mknod', 'V1', 'V0', 0.10798946444249347, 0.08387637138366699]
['CV', 303, 'BV', 20, 'dircolors', 'sort', 'V1', 'V1', 0.09794135995009356, 0.039550065994262695]
['CV', 19, 'BV', 35, 'pr', 'libvlccore.so', 'V2', 'V2', 0.16060606060606064, 3.5117619037628174]
['CV', 186, 'BV', 21, 'stty', 'cp', 'V0', 'V1', 0.08869047619047621, 0.04323863983154297]
['CV', 101, 'UV', 11, 'dirname', 'ranlib', 'V3', 'V2', 0.14633322068266308, 1.0243799686431885]
['UV', 8, 'CV', 158, 'strip', '[', 'V2', 'V3', 0.13497515346389943, 1.199599266052246]
['BV', 29, 'CV', 271, 'perl', 'ptx', 'V3', 'V1', 0.0980195277335365, 2.5727062225341797]
['CV', 210, 'BV', 29, 'chroot', 'perl', 'V0', 'V3', 0.10545896830507262, 2.3942160606384277]
['BV', 57, 'CV', 12, 'svn', 'stty', 'V2', 'V2', 0.203243433809272, 0.39782238006591797]
['UV', 14, 'BV', 25, 'objcopy', 'git', 'V2', 'V3', 0.04999869727208772, 17.941692113876343]
['CV', 60, 'UV', 68, 'hostid', 'diff', 'V2', 'V0', 0.13123689727463317, 0.06233072280883789]
['CV', 27, 'BV', 17, 'expr', 'codeblocks', 'V2', 'V2', 0.18027759006082023, 10.848966121673584]
['UV', 7, 'CV', 266, 'nm', 'mkdir', 'V2', 'V1', 0.14604373408272586, 0.9806225299835205]
['CV', 119, 'BV', 13, 'paste', 'cp', 'V3', 'V2', 0.10574905581200167, 0.06733894348144531]
['UV', 42, 'CV', 228, 'diff', 'false', 'V3', 'V0', 0.1596899224806202, 0.07999658584594727]
['BV', 40, 'CV', 115, 'lua', 'chown', 'V2', 'V3', 0.11000523834468312, 0.4104745388031006]
['CV', 272, 'UV', 43, 'printenv', 'sdiff', 'V1', 'V3', 0.13171449595290652, 0.029639482498168945]
['CV', 145, 'UV', 51, 'readlink', 'nm', 'V3', 'V1', 0.13805491403643833, 1.0119590759277344]
['UV', 38, 'CV', 290, 'xargs', 'tail', 'V3', 'V1', 0.10076775431861806, 0.07291817665100098]
['UV', 73, 'BV', 54, 'nm', 'lua', 'V0', 'V3', 0.04190575552077902, 2.181353807449341]
['BV', 34, 'CV', 172, 'svn', 'mknod', 'V0', 'V3', 0.2057761732851986, 0.33774685859680176]
['UV', 19, 'CV', 46, 'elfedit', 'cut', 'V2', 'V2', 0.036002939015429836, 0.03063368797302246]
['CV', 59, 'BV', 53, 'head', 'ssh', 'V2', 'V2', 0.11891712340142835, 3.8260772228240967]
['CV', 240, 'UV', 83, 'link', 'addr2line', 'V0', 'V0', 0.15164751685499955, 0.8043792247772217]
['BV', 23, 'CV', 265, 'diff', 'basename', 'V3', 'V1', 0.15003779289493568, 0.0757606029510498]
['UV', 77, 'CV', 98, 'ranlib', 'printenv', 'V0', 'V3', 0.14451273046532043, 0.9054265022277832]
['CV', 314, 'BV', 44, 'tty', 'make', 'V1', 'V0', 0.1411070780399274, 0.15070343017578125]
['BV', 74, 'CV', 51, 'git', 'printf', 'V1', 'V2', 0.09271214487146617, 4.75988245010376]
['BV', 72, 'CV', 324, 'perl', 'mv', 'V1', 'V1', 0.08524259855058336, 2.5917623043060303]
['UV', 71, 'CV', 169, 'xargs', 'sort', 'V0', 'V3', 0.11588921282798836, 0.08938384056091309]
['UV', 28, 'CV', 121, 'strings', 'echo', 'V3', 'V3', 0.14827995255041515, 0.904829740524292]
['CV', 319, 'UV', 29, 'readlink', 'objcopy', 'V1', 'V3', 0.1438810522302707, 1.1432106494903564]
['CV', 55, 'BV', 50, 'nohup', 'sort', 'V2', 'V0', 0.07195696032279764, 0.03268265724182129]
['CV', 97, 'UV', 35, 'ptx', 'size', 'V3', 'V3', 0.13239969069507684, 1.0610778331756592]
['CV', 267, 'BV', 19, 'fmt', 'cp', 'V1', 'V3', 0.13824701195219125, 0.07390117645263672]
['CV', 249, 'UV', 42, 'tr', 'diff', 'V0', 'V3', 0.12939921791681486, 0.08358001708984375]
['CV', 205, 'UV', 33, 'sha1sum', 'ar', 'V0', 'V3', 0.14809068183777263, 1.018399953842163]
['BV', 54, 'CV', 299, 'lua', 'split', 'V3', 'V1', 0.1333782872555631, 0.37764954566955566]
['BV', 18, 'CV', 299, 'sort', 'split', 'V3', 'V1', 0.12861978187288448, 0.08022594451904297]
['UV', 74, 'CV', 253, 'strip', 'fold', 'V0', 'V0', 0.1379688528186006, 1.1104722023010254]
['BV', 14, 'UV', 14, 'openssl', 'objcopy', 'V3', 'V2', 0.11987311657414745, 12.655540466308594]
['CV', 253, 'BV', 69, 'fold', 'gvmap', 'V0', 'V0', 0.14477211796246647, 0.09479236602783203]
['BV', 41, 'CV', 136, 'libvlccore.so', 'tsort', 'V1', 'V3', 0.16128860489882857, 2.6778831481933594]
['UV', 65, 'CV', 147, 'objdump', 'hostid', 'V1', 'V3', 0.13609958506224062, 1.4892570972442627]
['UV', 59, 'CV', 51, 'ld', 'printf', 'V1', 'V2', 0.1309033664325503, 1.582792043685913]
['CV', 302, 'BV', 59, 'nice', 'make', 'V1', 'V1', 0.14270855003120453, 0.18450117111206055]
