['BO', 56, 'CO', 114, 'libvlc.so.12.0.0', 'users', 'O3', 'O1', 0.20698159741984445, 0.4255850315093994]
['UO', 10, 'BO', 6, 'objcopy', 'codeblocks', 'O1', 'O0', 0.14025613564026362, 45.78904414176941]
['UO', 18, 'CO', 311, 'diff3', 'ln', 'O1', 'O2', 0.05203816131830008, 0.08482003211975098]
['UO', 64, 'CO', 123, 'diff', 'dd', 'O3', 'O1', 0.06264434180138567, 0.14000749588012695]
['BO', 60, 'CO', 330, 'openssl', 'uptime', 'O0', 'O0', 0.2641465766634523, 9.94420838356018]
['BO', 79, 'CO', 248, 'bash', 'sync', 'O3', 'O2', 0.11510420794040732, 2.4700615406036377]
['BO', 56, 'CO', 155, 'libvlc.so.12.0.0', 'realpath', 'O3', 'O1', 0.19354246927169327, 0.45420336723327637]
['BO', 70, 'CO', 151, 'diff', 'numfmt', 'O3', 'O1', 0.09269391696169937, 0.11231827735900879]
['CO', 2, 'BO', 15, 'stat', 'diff', 'O3', 'O0', 0.105209914011128, 0.21873235702514648]
['UO', 7, 'CO', 267, 'ranlib', 'tsort', 'O1', 'O2', 0.14936667215002464, 1.1664869785308838]
['CO', 6, 'BO', 43, 'mkdir', 'diff', 'O3', 'O1', 0.11321948134092352, 0.1346728801727295]
['CO', 286, 'UO', 54, 'chcon', 'addr2line', 'O2', 'O3', 0.12339559175002213, 0.9861674308776855]
['CO', 258, 'UO', 3, 'dircolors', 'nm', 'O2', 'O1', 0.1494576821248612, 1.168771743774414]
['UO', 33, 'BO', 15, 'objcopy', 'diff', 'O2', 'O0', 0.09465877301411751, 1.9521033763885498]
['CO', 375, 'UO', 30, 'logname', 'ranlib', 'O0', 'O2', 0.14256462759150246, 1.0885324478149414]
['UO', 66, 'BO', 70, 'nm', 'diff', 'O0', 'O3', 0.12737703176458093, 2.8286705017089844]
['UO', 79, 'CO', 193, 'size', 'pathchk', 'O0', 'O1', 0.15347764371894956, 2.222092866897583]
['BO', 63, 'UO', 68, 'cluster', 'readelf', 'O0', 'O0', 0.05189812590100917, 1.119994878768921]
['UO', 22, 'BO', 61, 'diff3', 'git', 'O2', 'O1', 0.09121200311769295, 6.912861347198486]
['CO', 251, 'BO', 14, 'chroot', 'cmp', 'O2', 'O0', 0.0784939374601149, 0.04950451850891113]
['BO', 48, 'CO', 224, 'libvlccore.so.9.0.0', 'dirname', 'O0', 'O2', 0.18402307647024196, 10.933372735977173]
['UO', 24, 'CO', 168, 'diff', 'tty', 'O2', 'O1', 0.1331145149525894, 0.10375308990478516]
