['CV', 141, 'UV', 53, 'false', 'readelf', 'V3', 'V1', 0.1000563697857948, 0.08925390243530273]
['UV', 22, 'CV', 232, 'nm', 'readlink', 'V3', 'V0', 0.1523783686019171, 0.9062738418579102]
['UV', 57, 'CV', 297, 'strings', 'chroot', 'V1', 'V1', 0.14955640050697083, 0.8491249084472656]
['CV', 120, 'UV', 50, 'sync', 'find', 'V3', 'V1', 0.13997078870496593, 0.16404128074645996]
['CV', 217, 'BV', 7, 'chmod', 'libSDL2-2.0.so', 'V0', 'V0', 0.21446709216937754, 3.1469388008117676]
['BV', 62, 'CV', 82, 'diff', 'sort', 'V0', 'V2', 0.04235792446170139, 0.09807205200195312]
['BV', 34, 'CV', 205, 'svn', 'sha1sum', 'V0', 'V0', 0.21518489378442174, 0.3208937644958496]
['BV', 44, 'UV', 42, 'make', 'diff', 'V0', 'V3', 0.050111005391690444, 0.33152151107788086]
['CV', 127, 'BV', 38, 'ls', 'ruby', 'V3', 'V2', 0.21897482014388492, 0.05428123474121094]
['BV', 9, 'CV', 243, 'dot', 'csplit', 'V2', 'V0', 0.1563260340632604, 0.030884742736816406]
['CV', 182, 'UV', 71, 'du', 'xargs', 'V0', 'V0', 0.08552631578947367, 0.04710578918457031]
['CV', 146, 'UV', 81, 'head', 'ld', 'V3', 'V0', 0.13071519795657727, 1.4540002346038818]
['CV', 62, 'UV', 77, 'unexpand', 'ranlib', 'V2', 'V0', 0.1462297392529951, 0.8969488143920898]
['BV', 15, 'CV', 303, 'libvlccore.so', 'dircolors', 'V3', 'V1', 0.16573816155988852, 3.4379284381866455]
['BV', 41, 'UV', 87, 'libvlccore.so', 'objdump', 'V1', 'V0', 0.03345280764635605, 8.12922191619873]
['BV', 68, 'CV', 173, 'dot', 'ln', 'V0', 'V3', 0.18742442563482464, 0.0389554500579834]
['UV', 66, 'CV', 323, 'diff3', 'unexpand', 'V0', 'V1', 0.09756097560975607, 0.02908158302307129]
['UV', 59, 'BV', 59, 'ld', 'make', 'V1', 'V1', 0.07969075230449008, 2.551687002182007]
['UV', 43, 'CV', 210, 'sdiff', 'chroot', 'V3', 'V0', 0.1285403050108933, 0.02994823455810547]
['BV', 77, 'UV', 34, 'perl', 'elfedit', 'V2', 'V3', 0.08934108527131779, 2.3722167015075684]
['CV', 279, 'UV', 57, 'pwd', 'strings', 'V1', 'V1', 0.14638749101365922, 0.8906736373901367]
['BV', 35, 'CV', 13, 'libvlccore.so', 'join', 'V2', 'V2', 0.1626290990433582, 3.4977805614471436]
['CV', 83, 'BV', 22, 'tac', 'cmp', 'V2', 'V3', 0.04918815663801335, 0.051882266998291016]
['BV', 48, 'CV', 306, 'gvmap', 'cp', 'V3', 'V1', 0.09576837416481065, 0.1680135726928711]
['UV', 70, 'CV', 121, 'locate', 'echo', 'V0', 'V3', 0.10955710955710951, 0.05790400505065918]
['UV', 61, 'CV', 126, 'addr2line', 'whoami', 'V1', 'V3', 0.14402125775022145, 0.8944973945617676]
['CV', 104, 'BV', 15, 'mkfifo', 'libvlccore.so', 'V3', 'V3', 0.1645424602606329, 3.442021131515503]
['BV', 65, 'CV', 53, 'ssh', 'tty', 'V1', 'V2', 0.11889496827901047, 3.5569398403167725]
['CV', 1, 'UV', 31, 'stat', 'gprof', 'V2', 'V3', 0.14321755949878057, 1.0137097835540771]
['BV', 7, 'CV', 253, 'libSDL2-2.0.so', 'fold', 'V0', 'V0', 0.22174854986372217, 2.9906702041625977]
['BV', 47, 'UV', 73, 'dot', 'nm', 'V3', 'V0', 0.15675165250236067, 0.793081521987915]
['CV', 191, 'BV', 36, 'mkfifo', 'libvlc.so', 'V0', 'V2', 0.20118694362017808, 0.31935596466064453]
['CV', 5, 'UV', 28, 'mkdir', 'strings', 'V2', 'V3', 0.14184651204441656, 0.9924836158752441]
['CV', 9, 'UV', 57, 'users', 'strings', 'V2', 'V1', 0.14497015058362295, 0.916449785232544]
['CV', 3, 'BV', 77, 'test', 'perl', 'V2', 'V2', 0.09123376623376622, 2.3377225399017334]
['CV', 197, 'BV', 59, 'wc', 'make', 'V0', 'V1', 0.13953009068425393, 0.18694353103637695]
['CV', 55, 'UV', 7, 'nohup', 'nm', 'V2', 'V2', 0.14742857142857146, 0.9728562831878662]
['BV', 47, 'CV', 185, 'dot', 'printenv', 'V3', 'V0', 0.11367673179396087, 0.00909280776977539]
['CV', 184, 'BV', 7, 'ptx', 'libSDL2-2.0.so', 'V0', 'V0', 0.20210664911125742, 3.2490522861480713]
['BV', 8, 'CV', 78, 'cluster', 'rm', 'V2', 'V2', 0.10299179242785284, 0.15427041053771973]
['BV', 36, 'CV', 136, 'libvlc.so', 'tsort', 'V2', 'V3', 0.18074074074074076, 0.34663844108581543]
['CV', 287, 'BV', 50, 'date', 'sort', 'V1', 'V0', 0.055022392834293, 0.03917050361633301]
['BV', 83, 'CV', 180, 'git', 'fmt', 'V2', 'V0', 0.09422006395830862, 6.468792200088501]
['CV', 211, 'BV', 67, 'seq', 'cluster', 'V0', 'V0', 0.1476674850929498, 0.0919640064239502]
['BV', 11, 'CV', 125, 'bash', 'split', 'V1', 'V3', 0.12167474174970294, 2.4196712970733643]
['UV', 60, 'CV', 83, 'gprof', 'tac', 'V1', 'V2', 0.12450699868532977, 1.1231491565704346]
['UV', 69, 'CV', 304, 'sdiff', 'chmod', 'V0', 'V1', 0.04935622317596566, 0.04890751838684082]
['UV', 60, 'CV', 44, 'gprof', 'true', 'V1', 'V2', 0.14437791084497675, 0.9482941627502441]
['BV', 25, 'UV', 57, 'git', 'strings', 'V3', 'V1', 0.05487281313727599, 16.771785020828247]
['UV', 42, 'CV', 282, 'diff', 'chgrp', 'V3', 'V1', 0.10419397116644824, 0.1050729751586914]
['CV', 228, 'BV', 9, 'false', 'dot', 'V0', 'V2', 0.10989010989010994, 0.008823394775390625]
['UV', 64, 'CV', 345, 'size', 'rmdir', 'V1', 'V1', 0.14924433249370272, 0.8789067268371582]
['CV', 52, 'UV', 81, 'logname', 'ld', 'V2', 'V0', 0.13703365510044352, 1.412266731262207]
['BV', 73, 'CV', 341, 'geany', 'uniq', 'V0', 'V1', 0.18527011533014093, 15.062705993652344]
['BV', 65, 'CV', 158, 'ssh', '[', 'V1', 'V3', 0.11589436970602884, 3.7556955814361572]
['CV', 281, 'UV', 78, 'tee', 'c++filt', 'V1', 'V0', 0.14791825821237592, 0.803579568862915]
['CV', 212, 'BV', 65, 'split', 'ssh', 'V0', 'V1', 0.1181321444135296, 3.703843116760254]
['BV', 15, 'CV', 186, 'libvlccore.so', 'stty', 'V3', 'V0', 0.16475939669619344, 3.4209630489349365]
['UV', 16, 'CV', 168, 'gprof', 'sleep', 'V2', 'V3', 0.1423010022363953, 1.0158445835113525]
['CV', 81, 'UV', 11, 'sleep', 'ranlib', 'V2', 'V2', 0.1477870103442428, 1.015519142150879]
['CV', 11, 'BV', 4, 'printenv', 'geany', 'V2', 'V3', 0.1827184601436641, 24.781297206878662]
['UV', 28, 'CV', 242, 'strings', 'cat', 'V3', 'V0', 0.15217189960174116, 0.9011819362640381]
['UV', 23, 'CV', 109, 'strip', 'kill', 'V3', 'V3', 0.13850187265917602, 1.1788780689239502]
['UV', 62, 'CV', 252, 'ar', 'rm', 'V1', 'V0', 0.13808187520633874, 1.0359394550323486]
['BV', 15, 'UV', 18, 'libvlccore.so', 'ar', 'V3', 'V2', 0.05675667120382388, 8.33953046798706]
['CV', 28, 'BV', 21, 'chown', 'cp', 'V2', 'V1', 0.035681186283595956, 0.06228351593017578]
['BV', 7, 'CV', 328, 'libSDL2-2.0.so', 'uname', 'V0', 'V1', 0.22332071238255502, 2.938021183013916]
['CV', 3, 'UV', 1, 'test', 'xargs', 'V2', 'V2', 0.1000537923614847, 0.044156551361083984]
['CV', 336, 'BV', 26, 'tr', 'geany', 'V1', 'V2', 0.18304124291665103, 21.44472098350525]
['BV', 33, 'CV', 305, 'openssl', 'true', 'V0', 'V1', 0.10443703756234779, 5.607022762298584]
['BV', 47, 'UV', 58, 'dot', 'objcopy', 'V3', 'V1', 0.14337632722867522, 1.1880850791931152]
['CV', 77, 'UV', 30, 'nl', 'ld', 'V2', 'V3', 0.13247544091457453, 2.029121160507202]
['UV', 40, 'CV', 259, 'diff3', 'mknod', 'V3', 'V0', 0.10302197802197799, 0.03084731101989746]
['BV', 43, 'UV', 13, 'lua', 'strings', 'V0', 'V2', 0.05798993100876371, 2.0554072856903076]
['UV', 21, 'CV', 110, 'objdump', 'wc', 'V2', 'V3', 0.13164360532781583, 1.521761178970337]
['UV', 29, 'CV', 30, 'objcopy', 'pinky', 'V3', 'V2', 0.13828990715783163, 1.1680572032928467]
['UV', 72, 'CV', 317, 'find', 'yes', 'V0', 'V1', 0.16954787234042556, 0.10520744323730469]
