['UV', 58, 'CV', 153, 'objcopy', 'link', 'V1', 'V3', 0.13463407860019438, 1.2577147483825684]
['BV', 15, 'CV', 260, 'libvlccore.so', 'ln', 'V3', 'V0', 0.16450547873103982, 3.428011178970337]
['UV', 33, 'BV', 32, 'ar', 'perl', 'V3', 'V0', 0.028578904523781867, 5.939129114151001]
['CV', 61, 'UV', 14, 'ginstall', 'objcopy', 'V2', 'V2', 0.11539518900343637, 1.5641648769378662]
['UV', 67, 'CV', 48, 'cmp', 'df', 'V0', 'V2', 0.046389035318924576, 0.050173044204711914]
['UV', 40, 'BV', 66, 'diff3', 'lua', 'V3', 'V1', 0.11445185080130482, 0.37240052223205566]
['BV', 33, 'CV', 206, 'openssl', 'paste', 'V0', 'V0', 0.10405552145791042, 5.7304768562316895]
['BV', 37, 'CV', 189, 'geany', 'uptime', 'V1', 'V0', 0.18498549133401299, 19.67546820640564]
['CV', 190, 'BV', 2, 'dd', 'cmp', 'V0', 'V1', 0.03202614379084967, 0.037590980529785156]
['CV', 291, 'UV', 26, 'pinky', 'ranlib', 'V1', 'V3', 0.14639581726236395, 1.0425097942352295]
['CV', 335, 'BV', 46, 'pathchk', 'cluster', 'V1', 'V3', 0.15237488045903724, 0.10401582717895508]
['UV', 80, 'CV', 185, 'objcopy', 'printenv', 'V0', 'V0', 0.14017935901205525, 1.0733587741851807]
['CV', 325, 'BV', 1, 'md5sum', 'libSDL2-2.0.so', 'V1', 'V3', 0.19390127170791738, 5.365086555480957]
['CV', 64, 'UV', 45, 'md5sum', 'cmp', 'V2', 'V1', 0.06198655713218826, 0.039461612701416016]
['UV', 86, 'CV', 55, 'size', 'nohup', 'V0', 'V2', 0.12467886962106611, 0.8233399391174316]
['CV', 84, 'UV', 27, 'rmdir', 'c++filt', 'V2', 'V3', 0.14733944954128442, 0.8926622867584229]
['CV', 316, 'UV', 39, 'nohup', 'find', 'V1', 'V3', 0.16162553349415476, 0.2918868064880371]
['CV', 69, 'BV', 32, 'csplit', 'perl', 'V2', 'V0', 0.09972611567584988, 2.3468565940856934]
['CV', 284, 'BV', 13, 'wc', 'cp', 'V1', 'V2', 0.11809609339919169, 0.06602668762207031]
['BV', 48, 'CV', 116, 'gvmap', 'tail', 'V3', 'V3', 0.09403780901599612, 0.16301298141479492]
['BV', 34, 'UV', 65, 'svn', 'objdump', 'V0', 'V1', 0.079440914866582, 3.087688446044922]
['CV', 253, 'BV', 24, 'fold', 'git', 'V0', 'V0', 0.09597708986772124, 3.545882225036621]
['CV', 190, 'BV', 74, 'dd', 'git', 'V0', 'V1', 0.09210526315789469, 4.825185537338257]
['CV', 217, 'BV', 70, 'chmod', 'ssh', 'V0', 'V0', 0.11549702575387688, 3.5062308311462402]
['CV', 114, 'UV', 34, 'expr', 'elfedit', 'V3', 'V3', 0.03717472118959109, 0.03632664680480957]
['CV', 275, 'UV', 50, 'dirname', 'find', 'V1', 'V1', 0.15916149068322982, 0.1471571922302246]
['CV', 327, 'BV', 54, 'link', 'lua', 'V1', 'V3', 0.14021784089342337, 0.35564208030700684]
['CV', 116, 'UV', 79, 'tail', 'strings', 'V3', 'V0', 0.12804232804232807, 0.9605081081390381]
['BV', 30, 'CV', 253, 'bash', 'fold', 'V0', 'V0', 0.13181545835829844, 1.967038869857788]
['BV', 18, 'UV', 77, 'sort', 'ranlib', 'V3', 'V0', 0.1080851720413516, 1.3017520904541016]
['UV', 78, 'CV', 32, 'c++filt', 'paste', 'V0', 'V2', 0.14713974006261266, 0.8038442134857178]
