['CO', 55, 'UO', 58, 'cp', 'objdump', 'O3', 'O3', 0.10453839146975297, 1.9939634799957275]
['CO', 90, 'UO', 14, 'tr', 'ar', 'O3', 'O1', 0.14607105284454158, 1.141502857208252]
['CO', 65, 'BO', 49, 'false', 'svn', 'O3', 'O0', 0.21687107388573135, 0.4980463981628418]
['UO', 76, 'CO', 277, 'addr2line', 'who', 'O0', 'O2', 0.1512971698113208, 2.1055049896240234]
['CO', 213, 'UO', 28, 'basename', 'readelf', 'O2', 'O2', 0.11651110395880271, 0.22649002075195312]
['CO', 112, 'BO', 58, 'dir', 'svn', 'O1', 'O1', 0.14691632840120472, 0.7703258991241455]
['BO', 64, 'CO', 171, 'dot', 'nohup', 'O0', 'O1', 0.18843930635838146, 0.017894268035888672]
['UO', 67, 'CO', 405, 'strip', 'nl', 'O0', 'O0', 0.14064049177077131, 2.726865530014038]
['UO', 2, 'CO', 349, 'find', 'truncate', 'O1', 'O0', 0.15097779250911503, 0.4038670063018799]
['CO', 116, 'BO', 32, 'ptx', 'ruby', 'O1', 'O2', 0.12302572678592538, 16.063599824905396]
['BO', 29, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O2', 'O1', 0.19358407079646023, 0.45845484733581543]
['BO', 24, 'CO', 294, 'cluster', 'timeout', 'O3', 'O2', 0.11846381093057612, 0.12289118766784668]
['CO', 273, 'BO', 69, 'false', 'cmp', 'O2', 'O3', 0.08389830508474572, 0.026055574417114258]
['CO', 220, 'UO', 5, 'ptx', 'readelf', 'O2', 'O1', 0.10065583119475341, 0.3301570415496826]
['CO', 7, 'UO', 43, 'fmt', 'find', 'O3', 'O2', 0.1602553044678282, 0.35688138008117676]
['CO', 94, 'BO', 48, 'rm', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.17689499554456867, 10.996664047241211]
['BO', 28, 'CO', 217, 'ruby', 'du', 'O0', 'O2', 0.09983586988958515, 14.627644538879395]
['UO', 20, 'BO', 4, 'diff', 'libgeany.so.0.0.0', 'O1', 'O2', 0.1690603964388746, 30.614998817443848]
['CO', 340, 'UO', 19, 'factor', 'cmp', 'O0', 'O1', 0.09936189608021873, 0.0783083438873291]
['CO', 351, 'UO', 35, 'paste', 'gprof', 'O0', 'O2', 0.13686662783925452, 1.0372495651245117]
['CO', 67, 'BO', 51, 'nohup', 'lua', 'O3', 'O1', 0.1297432686286788, 0.4153401851654053]
['BO', 70, 'CO', 204, 'diff', 'tac', 'O3', 'O1', 0.09849749582637735, 0.10251331329345703]
['BO', 56, 'CO', 266, 'libvlc.so.12.0.0', 'df', 'O3', 'O2', 0.16505662891405726, 0.5085222721099854]
['BO', 21, 'CO', 371, 'cp', 'tsort', 'O1', 'O0', 0.10471765546819156, 0.11502981185913086]
['UO', 53, 'CO', 106, 'gprof', 'stat', 'O3', 'O1', 0.11593495934959352, 1.0222923755645752]
['CO', 66, 'BO', 40, 'runcon', 'lua', 'O3', 'O0', 0.1445982235075398, 0.6413483619689941]
['BO', 64, 'CO', 319, 'dot', 'fmt', 'O0', 'O0', 0.2048309178743961, 0.024909019470214844]
['BO', 39, 'UO', 54, 'codeblocks', 'addr2line', 'O3', 'O3', 0.12093598598082678, 17.309287786483765]
