['CO', 282, 'BO', 46, 'unexpand', 'ruby', 'O2', 'O3', 0.10465719957245379, 12.550491094589233]
['CO', 294, 'UO', 22, 'timeout', 'diff3', 'O2', 'O2', 0.04622871046228716, 0.04588913917541504]
['CO', 261, 'BO', 61, 'chmod', 'git', 'O2', 'O1', 0.09111253819059295, 6.680081605911255]
['CO', 14, 'BO', 68, 'stty', 'git', 'O3', 'O3', 0.09186638326085683, 6.501171350479126]
['UO', 37, 'CO', 63, 'ar', 'logname', 'O2', 'O3', 0.1472981073905969, 0.9614627361297607]
['UO', 2, 'CO', 178, 'find', 'unexpand', 'O1', 'O1', 0.15717387673292138, 0.3802647590637207]
['BO', 70, 'CO', 385, 'diff', 'hostid', 'O3', 'O0', 0.11300417246175243, 0.09686136245727539]
['CO', 66, 'BO', 26, 'runcon', 'gvmap', 'O3', 'O3', 0.13493693165151077, 0.10357356071472168]
['BO', 82, 'CO', 357, 'cp', 'split', 'O3', 'O0', 0.05362011511663134, 0.13508892059326172]
['UO', 79, 'BO', 71, 'size', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.05736268759046237, 16.751631259918213]
['CO', 346, 'BO', 29, 'tail', 'libvlc.so.12.0.0', 'O0', 'O2', 0.15248637039484558, 0.6031956672668457]
['UO', 10, 'CO', 380, 'objcopy', 'yes', 'O1', 'O0', 0.14090346984796687, 1.3068616390228271]
['CO', 330, 'UO', 36, 'uptime', 'addr2line', 'O0', 'O2', 0.1341720922048214, 1.064955234527588]
['UO', 55, 'CO', 147, 'ar', 'chroot', 'O3', 'O1', 0.13232628398791535, 0.8859810829162598]
['CO', 115, 'BO', 51, 'groups', 'lua', 'O1', 'O1', 0.12873157828441872, 0.4307403564453125]
['UO', 82, 'CO', 93, 'cmp', 'nl', 'O0', 'O3', 0.07828746177370027, 0.04349207878112793]
['CO', 413, 'BO', 17, 'rmdir', 'codeblocks', 'O0', 'O2', 0.18604288903889088, 10.634373664855957]
['BO', 4, 'CO', 89, 'libgeany.so.0.0.0', 'pathchk', 'O2', 'O3', 0.1780778345022822, 26.938683032989502]
['CO', 140, 'UO', 29, 'pinky', 'as', 'O1', 'O2', 0.12686524498313423, 1.7321336269378662]
['BO', 23, 'CO', 323, 'git', 'groups', 'O2', 'O0', 0.09192075257671473, 6.493055820465088]
['UO', 3, 'CO', 275, 'nm', 'nohup', 'O1', 'O2', 0.1513225695637238, 1.0332705974578857]
['UO', 68, 'CO', 209, 'readelf', 'touch', 'O0', 'O2', 0.1138487680543755, 0.572563886642456]
['CO', 347, 'UO', 44, 'base32', 'nm', 'O0', 'O3', 0.1292941911305434, 0.8858778476715088]
['CO', 302, 'BO', 38, 'rm', 'acyclic', 'O2', 'O2', 0.1743308167467399, 0.03069925308227539]
['BO', 63, 'CO', 363, 'cluster', 'realpath', 'O0', 'O0', 0.10027744748315492, 0.24846553802490234]
['UO', 56, 'BO', 80, 'elfedit', 'ssh', 'O3', 'O3', 0.13738140417457312, 1.2907025814056396]
['CO', 255, 'UO', 72, 'numfmt', 'strings', 'O2', 'O0', 0.15054712319096364, 2.146559000015259]
['BO', 14, 'CO', 161, 'cmp', 'od', 'O0', 'O1', 0.032863849765258246, 0.060594797134399414]
['CO', 329, 'UO', 85, 'stdbuf', 'locate', 'O0', 'O0', 0.12683681361175558, 0.21932101249694824]
