['BO', 17, 'CO', 379, 'codeblocks', 'nohup', 'O2', 'O0', 0.18607065908677933, 11.237191438674927]
['UO', 45, 'CO', 409, 'strip', 'uniq', 'O3', 'O0', 0.12086599477416948, 1.151759147644043]
['BO', 72, 'CO', 395, 'make', 'csplit', 'O2', 'O0', 0.09434593509534961, 0.3159053325653076]
['CO', 80, 'BO', 7, 'uname', 'sort', 'O3', 'O0', 0.16878290492412518, 0.1463313102722168]
['CO', 26, 'UO', 21, 'kill', 'sdiff', 'O3', 'O1', 0.0822328931572629, 0.04338979721069336]
['UO', 38, 'BO', 61, 'elfedit', 'git', 'O2', 'O1', 0.09216779114109708, 6.793727397918701]
['CO', 105, 'BO', 22, 'touch', 'perl', 'O1', 'O0', 0.1070222822417286, 4.312882423400879]
['BO', 58, 'CO', 244, 'svn', 'pinky', 'O1', 'O2', 0.21959459459459463, 0.5085654258728027]
['UO', 86, 'CO', 90, 'xargs', 'tr', 'O0', 'O3', 0.12628547922665567, 0.09704947471618652]
['CO', 297, 'UO', 11, 'pathchk', 'ld', 'O2', 'O1', 0.14826572604350385, 2.050560474395752]
['BO', 80, 'CO', 220, 'ssh', 'ptx', 'O3', 'O2', 0.13201933804388255, 1.4121136665344238]
['UO', 7, 'CO', 334, 'ranlib', 'pwd', 'O1', 'O0', 0.14178076642631454, 1.2386624813079834]
['BO', 31, 'CO', 59, 'bash', 'tsort', 'O2', 'O3', 0.12382862053443544, 2.770024061203003]
['CO', 19, 'UO', 84, 'dd', 'sdiff', 'O3', 'O0', 0.047184773988897755, 0.09059786796569824]
['UO', 60, 'CO', 356, 'xargs', 'seq', 'O3', 'O0', 0.07641819034224095, 0.09207677841186523]
['CO', 407, 'BO', 44, 'sha224sum', 'cmp', 'O0', 'O2', 0.06879903439951718, 0.05498695373535156]
['CO', 383, 'UO', 35, 'readlink', 'gprof', 'O0', 'O2', 0.12992125984251968, 1.2584915161132812]
['CO', 226, 'BO', 33, 'uptime', 'sort', 'O2', 'O2', 0.1175578308684111, 0.11304044723510742]
