['CO', 37, 'BO', 45, 'truncate', 'diff', 'O3', 'O2', 0.13023583245336146, 0.09480786323547363]
['UO', 7, 'CO', 393, 'ranlib', 'cat', 'O1', 'O0', 0.14206985979414866, 1.1974761486053467]
['BO', 70, 'CO', 364, 'diff', 'sha256sum', 'O3', 'O0', 0.08538899430740043, 0.12176108360290527]
['CO', 171, 'BO', 64, 'nohup', 'dot', 'O1', 'O0', 0.18843930635838146, 0.018085479736328125]
['CO', 25, 'UO', 67, 'chgrp', 'strip', 'O3', 'O0', 0.13798977853492334, 2.766291379928589]
['CO', 331, 'UO', 87, 'dd', 'find', 'O0', 'O0', 0.1322083282748574, 0.7945263385772705]
['CO', 399, 'BO', 74, 'id', 'dot', 'O0', 'O1', 0.21301247771836007, 0.02792954444885254]
['UO', 34, 'CO', 310, 'ld', 'mknod', 'O2', 'O2', 0.1429602888086643, 1.7147371768951416]
['UO', 55, 'CO', 102, 'ar', 'mknod', 'O3', 'O3', 0.13602430555555556, 0.8198184967041016]
['BO', 3, 'CO', 117, 'openssl', 'printenv', 'O1', 'O1', 0.28123648940769563, 7.277125120162964]
['BO', 40, 'CO', 295, 'lua', 'id', 'O0', 'O2', 0.1403293443796666, 0.6930654048919678]
['BO', 30, 'CO', 131, 'libvlccore.so.9.0.0', 'wc', 'O2', 'O1', 0.15713888999087555, 4.651731967926025]
['BO', 28, 'UO', 4, 'ruby', 'strip', 'O0', 'O1', 0.06408931419457731, 23.375232458114624]
['CO', 30, 'UO', 22, 'expand', 'diff3', 'O3', 'O2', 0.06441717791411039, 0.037956953048706055]
['UO', 64, 'BO', 13, 'diff', 'ruby', 'O3', 'O1', 0.09807191245440339, 14.400748491287231]
['CO', 128, 'BO', 66, 'tee', 'svn', 'O1', 'O2', 0.2148207171314741, 0.5073630809783936]
['UO', 8, 'CO', 163, 'c++filt', 'tsort', 'O1', 'O1', 0.14715660542432196, 1.007340908050537]
['CO', 415, 'BO', 10, 'ln', 'openssl', 'O0', 'O3', 0.25816562190696146, 8.586101055145264]
['BO', 12, 'CO', 294, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O2', 0.19185719003127366, 27.51690649986267]
['BO', 76, 'CO', 226, 'openssl', 'uptime', 'O2', 'O2', 0.27638491436381496, 7.456091642379761]
['CO', 414, 'UO', 37, 'mknod', 'ar', 'O0', 'O2', 0.11467314626116942, 1.3485691547393799]
['UO', 1, 'BO', 41, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.19171968474029055, 7.092311859130859]
['CO', 152, 'UO', 19, 'ls', 'cmp', 'O1', 'O1', 0.11857846586910625, 0.11475062370300293]
['BO', 49, 'CO', 145, 'svn', 'echo', 'O0', 'O1', 0.21314174524771734, 0.5135056972503662]
['CO', 195, 'UO', 82, 'comm', 'cmp', 'O1', 'O0', 0.06172839506172845, 0.04883575439453125]
['UO', 33, 'CO', 348, 'objcopy', 'pinky', 'O2', 'O0', 0.13001474926253687, 1.2416491508483887]
['UO', 51, 'CO', 152, 'objcopy', 'ls', 'O3', 'O1', 0.09885199697532143, 1.3869457244873047]
['BO', 50, 'CO', 118, 'perl', 'stty', 'O2', 'O1', 0.0848106185166363, 2.4812417030334473]
['UO', 68, 'BO', 46, 'readelf', 'ruby', 'O0', 'O3', 0.0787258713593888, 18.540963888168335]
['CO', 305, 'UO', 4, 'uniq', 'strip', 'O2', 'O1', 0.14022406938923027, 1.3673095703125]
['CO', 118, 'UO', 16, 'stty', 'size', 'O1', 'O1', 0.141995753715499, 1.1049797534942627]
['BO', 50, 'CO', 156, 'perl', 'sha256sum', 'O2', 'O1', 0.08560194495302698, 2.4307918548583984]
['UO', 51, 'CO', 331, 'objcopy', 'dd', 'O3', 'O0', 0.11104709779634159, 1.244718074798584]
['BO', 33, 'CO', 409, 'sort', 'uniq', 'O2', 'O0', 0.08747795414462078, 0.12222027778625488]
['CO', 103, 'BO', 44, 'ln', 'cmp', 'O3', 'O2', 0.07879065506184146, 0.06165146827697754]
['UO', 59, 'CO', 107, 'locate', 'unlink', 'O3', 'O1', 0.13665534163835413, 0.09759306907653809]
