['CO', 48, 'BO', 17, 'ls', 'codeblocks', 'O3', 'O2', 0.1755602854638788, 12.163048505783081]
['CO', 312, 'BO', 42, 'sha384sum', 'cmp', 'O0', 'O1', 0.065347721822542, 0.0523529052734375]
['CO', 329, 'BO', 83, 'stdbuf', 'lua', 'O0', 'O2', 0.1168730650154799, 0.43820810317993164]
['CO', 392, 'BO', 27, 'uname', 'perl', 'O0', 'O3', 0.0821801087116204, 2.3784358501434326]
['CO', 184, 'BO', 71, 'uname', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.20159274791375437, 6.366973876953125]
['BO', 61, 'CO', 229, 'git', 'mktemp', 'O1', 'O2', 0.09204709932324062, 6.30710244178772]
['UO', 40, 'CO', 110, 'objdump', 'mkdir', 'O2', 'O1', 0.13036492999770488, 1.7921090126037598]
['CO', 255, 'BO', 9, 'numfmt', 'git', 'O2', 'O0', 0.09224031750376349, 6.507040500640869]
['BO', 5, 'CO', 178, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O1', 0.1742017676566605, 27.337482929229736]
['UO', 53, 'CO', 229, 'gprof', 'mktemp', 'O3', 'O2', 0.12985354223433243, 0.9114787578582764]
['UO', 53, 'CO', 367, 'gprof', 'cp', 'O3', 'O0', 0.07861279841785562, 1.4965689182281494]
['UO', 36, 'CO', 90, 'addr2line', 'tr', 'O2', 'O3', 0.14239914507079887, 0.907365083694458]
['CO', 275, 'UO', 66, 'nohup', 'nm', 'O2', 'O0', 0.15351363981540977, 2.147857904434204]
['CO', 356, 'UO', 56, 'seq', 'elfedit', 'O0', 'O3', 0.06858262573481388, 0.04312705993652344]
['CO', 135, 'UO', 45, 'date', 'strip', 'O1', 'O3', 0.11866028708133969, 1.183239221572876]
['CO', 269, 'BO', 7, 'cksum', 'sort', 'O2', 'O0', 0.17198468410976386, 0.14351487159729004]
['CO', 352, 'UO', 75, 'sync', 'gprof', 'O0', 'O0', 0.14707536557930256, 2.3319952487945557]
['CO', 154, 'UO', 23, 'dircolors', 'cmp', 'O1', 'O2', 0.03216974674880224, 0.03924918174743652]
['UO', 47, 'CO', 128, 'as', 'tee', 'O3', 'O1', 0.12054329371816641, 1.4714674949645996]
['CO', 28, 'UO', 33, 'factor', 'objcopy', 'O3', 'O2', 0.13155782561109086, 1.2111413478851318]
['BO', 38, 'CO', 240, 'acyclic', 'expr', 'O2', 'O2', 0.1599616858237548, 0.019289731979370117]
['CO', 399, 'UO', 71, 'id', 'c++filt', 'O0', 'O0', 0.14562536699941275, 2.2447986602783203]
['UO', 68, 'CO', 247, 'readelf', 'paste', 'O0', 'O2', 0.12992390331244408, 0.4857518672943115]
['CO', 79, 'UO', 61, 'link', 'find', 'O3', 'O3', 0.156063077759652, 0.2831242084503174]
['BO', 40, 'CO', 318, 'lua', 'mkdir', 'O0', 'O0', 0.10453630876166087, 0.9844107627868652]
['CO', 262, 'UO', 44, 'true', 'nm', 'O2', 'O3', 0.14338609645468847, 0.7884869575500488]
['UO', 2, 'BO', 6, 'find', 'codeblocks', 'O1', 'O0', 0.17699463082657907, 35.14153575897217]
['CO', 378, 'UO', 35, 'runcon', 'gprof', 'O0', 'O2', 0.13637119574255774, 1.0701091289520264]
['UO', 39, 'BO', 81, 'size', 'sort', 'O2', 'O3', 0.11075848936845445, 1.2164268493652344]
['UO', 72, 'CO', 131, 'strings', 'wc', 'O0', 'O1', 0.14754482596976448, 2.1691200733184814]
['CO', 270, 'BO', 15, 'printf', 'diff', 'O2', 'O0', 0.1531800537473873, 0.15186691284179688]
['UO', 29, 'BO', 26, 'as', 'gvmap', 'O2', 'O3', 0.09932118613790641, 2.239090919494629]
['CO', 233, 'BO', 47, 'chgrp', 'libvlc.so.12.0.0', 'O2', 'O0', 0.20125984251968498, 0.6566970348358154]
