['BO', 4, 'CO', 339, 'libgeany.so.0.0.0', 'wc', 'O2', 'O0', 0.17542221307713002, 28.88219666481018]
['UO', 20, 'CO', 383, 'diff', 'readlink', 'O1', 'O0', 0.09499842717835794, 0.15204262733459473]
['UO', 81, 'CO', 240, 'diff3', 'expr', 'O0', 'O2', 0.08908467939304943, 0.06476283073425293]
['UO', 46, 'CO', 365, 'readelf', 'chmod', 'O3', 'O0', 0.07028531663187199, 0.33577728271484375]
['CO', 65, 'BO', 59, 'false', 'libgeany.so.0.0.0', 'O3', 'O3', 0.16895263802140548, 25.83296823501587]
['CO', 297, 'UO', 61, 'pathchk', 'find', 'O2', 'O3', 0.15776833548863844, 0.2935628890991211]
['CO', 198, 'BO', 18, 'rm', 'libvlc.so.12.0.0', 'O1', 'O1', 0.1763189551469324, 0.5443308353424072]
['CO', 307, 'BO', 50, 'sort', 'perl', 'O2', 'O2', 0.07663768115942027, 3.020907163619995]
['CO', 183, 'BO', 37, 'link', 'gvmap', 'O1', 'O2', 0.13280329799764434, 0.12311744689941406]
['CO', 362, 'UO', 72, 'dircolors', 'strings', 'O0', 'O0', 0.14749765037593987, 2.2520458698272705]
['UO', 3, 'CO', 177, 'nm', 'hostid', 'O1', 'O1', 0.15130165821805996, 1.0363776683807373]
['UO', 59, 'CO', 268, 'locate', 'base64', 'O3', 'O2', 0.13340807174887892, 0.09885740280151367]
['CO', 123, 'UO', 53, 'dd', 'gprof', 'O1', 'O3', 0.11961683314229576, 1.023254632949829]
['BO', 64, 'CO', 259, 'dot', 'realpath', 'O0', 'O2', 0.17921527041357366, 0.018477439880371094]
['BO', 9, 'CO', 76, 'git', 'md5sum', 'O0', 'O3', 0.09257629968522108, 6.334277629852295]
['UO', 47, 'CO', 93, 'as', 'nl', 'O3', 'O3', 0.1216989950923113, 1.430793046951294]
['CO', 205, 'UO', 10, 'rmdir', 'objcopy', 'O1', 'O1', 0.14094836976254443, 1.3381130695343018]
['BO', 53, 'CO', 43, 'bash', 'chroot', 'O0', 'O3', 0.12504879173911498, 3.5970773696899414]
['UO', 75, 'CO', 131, 'gprof', 'wc', 'O0', 'O1', 0.14463270538401518, 2.351332902908325]
['UO', 85, 'CO', 332, 'locate', 'mkfifo', 'O0', 'O0', 0.07621097954790101, 0.3304295539855957]
['CO', 269, 'UO', 83, 'cksum', 'diff', 'O2', 'O0', 0.17191435768261965, 0.14047789573669434]
['CO', 121, 'UO', 0, 'stdbuf', 'locate', 'O1', 'O1', 0.12228796844181455, 0.13229823112487793]
['CO', 319, 'UO', 4, 'fmt', 'strip', 'O0', 'O1', 0.1364550416546969, 1.3917315006256104]
