['CO', 223, 'BO', 57, 'join', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.15341247468932384, 4.3819544315338135]
['CO', 292, 'BO', 40, 'vdir', 'lua', 'O2', 'O0', 0.10348564204442834, 0.9961893558502197]
['UO', 75, 'BO', 13, 'gprof', 'ruby', 'O0', 'O1', 0.052034819926361164, 27.40582299232483]
['UO', 76, 'CO', 251, 'addr2line', 'chroot', 'O0', 'O2', 0.1525584146702159, 2.127135992050171]
['UO', 63, 'CO', 93, 'cmp', 'nl', 'O3', 'O3', 0.04523970290344359, 0.033220767974853516]
['CO', 340, 'BO', 67, 'factor', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.19116825041922858, 5.946230173110962]
['CO', 49, 'BO', 36, 'nice', 'cluster', 'O3', 'O2', 0.13715330691862238, 0.1119990348815918]
['CO', 101, 'BO', 14, 'rmdir', 'cmp', 'O3', 'O0', 0.08317815021725639, 0.04227399826049805]
['CO', 6, 'UO', 84, 'mkdir', 'sdiff', 'O3', 'O0', 0.08024987986544929, 0.06569075584411621]
['UO', 87, 'CO', 21, 'find', 'mktemp', 'O0', 'O3', 0.16050988553590007, 0.6167094707489014]
['BO', 5, 'CO', 319, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O0', 0.1732172088809778, 27.791813850402832]
['CO', 404, 'UO', 17, 'sha512sum', 'objdump', 'O0', 'O1', 0.13313462493790362, 2.1259186267852783]
['UO', 31, 'CO', 97, 'c++filt', 'uniq', 'O2', 'O3', 0.13978014121011706, 0.8882312774658203]
['CO', 324, 'UO', 85, 'ptx', 'locate', 'O0', 'O0', 0.09364319890635686, 0.2709164619445801]
['CO', 35, 'UO', 15, 'base32', 'elfedit', 'O3', 'O1', 0.050511945392491486, 0.03193235397338867]
['BO', 34, 'UO', 13, 'cp', 'addr2line', 'O2', 'O1', 0.1172349369453527, 1.4085557460784912]
['CO', 92, 'BO', 37, 'sha512sum', 'gvmap', 'O3', 'O2', 0.1209856035437431, 0.12463259696960449]
['BO', 78, 'CO', 171, 'ssh', 'nohup', 'O0', 'O1', 0.1399129025724124, 2.0108749866485596]
['UO', 54, 'CO', 411, 'addr2line', 'sort', 'O3', 'O0', 0.0856119030926229, 1.3120903968811035]
['BO', 66, 'UO', 37, 'svn', 'ar', 'O2', 'O2', 0.05928190373434039, 2.584252119064331]
['BO', 22, 'CO', 246, 'perl', 'sha1sum', 'O0', 'O2', 0.11156098168680706, 3.548164129257202]
['BO', 39, 'UO', 48, 'codeblocks', 'ranlib', 'O3', 'O3', 0.11818921668362159, 17.270885229110718]
['CO', 350, 'UO', 40, 'sha1sum', 'objdump', 'O0', 'O2', 0.12927429978807492, 1.875730037689209]
['UO', 49, 'CO', 166, 'c++filt', 'printf', 'O3', 'O1', 0.13290788013318533, 0.7813973426818848]
['CO', 336, 'UO', 62, 'tee', 'diff3', 'O0', 'O3', 0.0329851566794942, 0.05225348472595215]
['BO', 79, 'CO', 63, 'bash', 'logname', 'O3', 'O3', 0.11488487816436954, 2.333131790161133]
['CO', 81, 'UO', 54, 'cat', 'addr2line', 'O3', 'O3', 0.13711975002297583, 0.8010776042938232]
['CO', 167, 'UO', 31, 'logname', 'c++filt', 'O1', 'O2', 0.14674163517374872, 0.8832144737243652]
['BO', 79, 'CO', 389, 'bash', 'env', 'O3', 'O0', 0.11131150754753971, 2.487746477127075]
['BO', 27, 'CO', 283, 'perl', 'mv', 'O3', 'O2', 0.07105432742147877, 2.9185259342193604]
['CO', 203, 'BO', 74, 'sort', 'dot', 'O1', 'O1', 0.2211879432624113, 0.0753183364868164]
['CO', 63, 'BO', 65, 'logname', 'gvmap', 'O3', 'O0', 0.13620981387478848, 0.18138504028320312]
['BO', 64, 'CO', 80, 'dot', 'uname', 'O0', 'O3', 0.1442663378545006, 0.012698650360107422]
['BO', 72, 'CO', 177, 'make', 'hostid', 'O2', 'O1', 0.13212533031332585, 0.21128058433532715]
['BO', 76, 'CO', 345, 'openssl', 'chown', 'O2', 'O0', 0.26179225731575895, 8.295493602752686]
['BO', 31, 'CO', 139, 'bash', 'base32', 'O2', 'O1', 0.12295585884667404, 2.6881353855133057]
['UO', 71, 'CO', 119, 'c++filt', 'join', 'O0', 'O1', 0.1476510067114094, 2.1169824600219727]
['CO', 188, 'UO', 49, 'vdir', 'c++filt', 'O1', 'O3', 0.0992498557414887, 1.1535465717315674]
['CO', 365, 'UO', 51, 'chmod', 'objcopy', 'O0', 'O3', 0.11075697211155378, 1.254781723022461]
['CO', 287, 'BO', 19, 'link', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.16539162112932604, 4.542113542556763]
['CO', 157, 'BO', 82, 'chmod', 'cp', 'O1', 'O3', 0.06224198158145444, 0.11781835556030273]
['UO', 72, 'CO', 209, 'strings', 'touch', 'O0', 'O2', 0.14531648504521222, 2.2277991771698]
['BO', 72, 'CO', 154, 'make', 'dircolors', 'O2', 'O1', 0.12128984976181756, 0.23792076110839844]
['BO', 68, 'CO', 293, 'git', '[', 'O3', 'O2', 0.09280106505863694, 6.352473735809326]
['BO', 25, 'CO', 90, 'dot', 'tr', 'O3', 'O3', 0.15467980295566508, 0.017637252807617188]
['CO', 313, 'UO', 42, 'touch', 'xargs', 'O0', 'O2', 0.028804982483456643, 0.12376213073730469]
