['CV', 303, 'BV', 38, 'dircolors', 'ruby', 'V1', 'V2', 0.24444444444444446, 0.00783681869506836]
['CV', 14, 'UV', 3, 'dirname', 'diff3', 'V2', 'V2', 0.09410968178740686, 0.03067183494567871]
['UV', 6, 'BV', 50, 'sdiff', 'sort', 'V2', 'V0', 0.03669250645994837, 0.052496910095214844]
['UV', 65, 'CV', 7, 'objdump', 'dir', 'V1', 'V2', 0.11607303202633945, 1.877230167388916]
['CV', 55, 'UV', 13, 'nohup', 'strings', 'V2', 'V2', 0.14719626168224298, 0.9215502738952637]
['BV', 75, 'CV', 115, 'cmp', 'chown', 'V2', 'V3', 0.05767301905717148, 0.052597999572753906]
['UV', 84, 'BV', 42, 'ar', 'libvlc.so', 'V0', 'V1', 0.07269313304721026, 1.8675389289855957]
['BV', 2, 'UV', 51, 'cmp', 'nm', 'V1', 'V1', 0.13878392305049814, 1.0022759437561035]
['CV', 257, 'BV', 5, 'tac', 'libvlccore.so', 'V0', 'V0', 0.15979708306911855, 2.9867844581604004]
['UV', 66, 'CV', 257, 'diff3', 'tac', 'V0', 'V0', 0.02966681880419897, 0.05269455909729004]
['CV', 135, 'UV', 87, 'df', 'objdump', 'V3', 'V0', 0.11887850467289718, 1.6968457698822021]
['BV', 6, 'CV', 24, 'libvlc.so', 'factor', 'V0', 'V2', 0.19020310633213855, 0.23195505142211914]
['BV', 37, 'CV', 288, 'geany', 'expr', 'V1', 'V1', 0.18085414614359396, 20.45522379875183]
['BV', 60, 'CV', 322, 'codeblocks', 'ginstall', 'V1', 'V1', 0.17972046413502107, 11.027748107910156]
['CV', 273, 'BV', 34, 'stty', 'svn', 'V1', 'V0', 0.20951456310679606, 0.3410181999206543]
['UV', 24, 'CV', 209, 'readelf', 'sum', 'V3', 'V0', 0.11611450627211317, 0.23552799224853516]
['CV', 330, 'BV', 3, 'csplit', 'diff', 'V1', 'V1', 0.04984984984984986, 0.10967183113098145]
['CV', 301, 'BV', 15, 'ls', 'libvlccore.so', 'V1', 'V3', 0.15155010149474069, 4.061368227005005]
['CV', 94, 'BV', 51, 'dir', 'cp', 'V3', 'V0', 0.08148148148148149, 0.12576913833618164]
['UV', 12, 'CV', 346, 'c++filt', 'mknod', 'V2', 'V1', 0.1508533675903836, 0.8777947425842285]
['UV', 72, 'CV', 288, 'find', 'expr', 'V0', 'V1', 0.09946167649320681, 0.15336155891418457]
['BV', 38, 'CV', 246, 'ruby', 'id', 'V2', 'V0', 0.25, 0.007199287414550781]
['UV', 6, 'CV', 79, 'sdiff', 'fold', 'V2', 'V2', 0.09219858156028371, 0.03505682945251465]
['CV', 319, 'BV', 9, 'readlink', 'dot', 'V1', 'V2', 0.13476263399693722, 0.010769844055175781]
['UV', 44, 'BV', 52, 'diff3', 'libSDL2-2.0.so', 'V1', 'V2', 0.18476219481244605, 4.356701612472534]
['CV', 73, 'UV', 19, 'shred', 'elfedit', 'V2', 'V2', 0.07955251709136113, 0.04205799102783203]
['CV', 255, 'UV', 71, 'sleep', 'xargs', 'V0', 'V0', 0.08199999999999996, 0.019758224487304688]
['BV', 78, 'CV', 296, 'make', 'sum', 'V2', 'V1', 0.1354333868378812, 0.19913625717163086]
['UV', 20, 'CV', 229, 'size', 'nohup', 'V2', 'V0', 0.15015340191301207, 0.9004247188568115]
['BV', 63, 'CV', 73, 'ruby', 'shred', 'V0', 'V2', 0.1132806292706181, 9.739350080490112]
['CV', 276, 'BV', 31, 'uptime', 'codeblocks', 'V1', 'V0', 0.18795494173978022, 9.686049461364746]
