['CV', 28, 'BV', 46, 'chown', 'cluster', 'V2', 'V3', 0.10248940677966101, 0.1423492431640625]
['BV', 52, 'CV', 53, 'libSDL2-2.0.so', 'tty', 'V2', 'V2', 0.19466305310887577, 3.8257663249969482]
['BV', 55, 'CV', 151, 'codeblocks', 'md5sum', 'V3', 'V3', 0.18701211130994055, 10.518262386322021]
['UV', 27, 'CV', 112, 'c++filt', 'expand', 'V3', 'V3', 0.14483134830439126, 0.8770947456359863]
['BV', 24, 'UV', 20, 'git', 'size', 'V0', 'V2', 0.040747137465617644, 7.9425437450408936]
['CV', 306, 'BV', 14, 'cp', 'openssl', 'V1', 'V3', 0.2757782839787395, 5.77928352355957]
['CV', 310, 'UV', 67, 'tsort', 'cmp', 'V1', 'V0', 0.08164983164983164, 0.02333545684814453]
['UV', 6, 'CV', 247, 'sdiff', 'shred', 'V2', 'V0', 0.059710144927536235, 0.045351505279541016]
['BV', 35, 'CV', 70, 'libvlccore.so', 'vdir', 'V2', 'V2', 0.14828027808269306, 3.817227363586426]
['UV', 15, 'BV', 70, 'ld', 'ssh', 'V2', 'V0', 0.028425408742452696, 9.561753988265991]
['BV', 80, 'UV', 72, 'cluster', 'find', 'V1', 'V0', 0.029482662710921592, 0.3084218502044678]
['UV', 78, 'BV', 40, 'c++filt', 'lua', 'V0', 'V2', 0.045078476700328496, 1.836561918258667]
['CV', 346, 'UV', 67, 'mknod', 'cmp', 'V1', 'V0', 0.08525149190110826, 0.023160457611083984]
['UV', 7, 'CV', 79, 'nm', 'fold', 'V2', 'V2', 0.14824607791292088, 0.8813047409057617]
['BV', 12, 'CV', 244, 'sort', 'vdir', 'V2', 'V0', 0.02506868131868134, 0.10446763038635254]
['CV', 159, 'UV', 7, 'id', 'nm', 'V3', 'V2', 0.1422644770959378, 0.9557304382324219]
['CV', 109, 'UV', 86, 'kill', 'size', 'V3', 'V0', 0.12172389070341749, 0.8104531764984131]
['CV', 167, 'UV', 65, 'uniq', 'objdump', 'V3', 'V1', 0.13026340486767185, 1.4985294342041016]
['CV', 194, 'UV', 13, 'tee', 'strings', 'V0', 'V2', 0.15065999089667725, 0.8599824905395508]
['CV', 155, 'UV', 74, 'cat', 'strip', 'V3', 'V0', 0.13166571100917435, 1.127164602279663]
['BV', 53, 'CV', 71, 'ssh', '[', 'V2', 'V2', 0.11903811614448212, 3.474397897720337]
['BV', 57, 'CV', 196, 'svn', 'kill', 'V2', 'V0', 0.2246309101102597, 0.3315467834472656]
['BV', 75, 'CV', 342, 'cmp', 'sleep', 'V2', 'V1', 0.09443507588532885, 0.024184226989746094]
['CV', 43, 'BV', 32, 'chmod', 'perl', 'V2', 'V0', 0.10547826445939812, 2.004523515701294]
['UV', 6, 'CV', 342, 'sdiff', 'sleep', 'V2', 'V1', 0.11511789181692089, 0.03069591522216797]
['UV', 24, 'CV', 211, 'readelf', 'seq', 'V3', 'V0', 0.1221932964529775, 0.2093353271484375]
['CV', 186, 'UV', 32, 'stty', 'addr2line', 'V0', 'V3', 0.14788540245566173, 0.893162727355957]
['CV', 229, 'BV', 61, 'nohup', 'cmp', 'V0', 'V0', 0.06194690265486724, 0.013932228088378906]
['BV', 75, 'UV', 85, 'cmp', 'elfedit', 'V2', 'V0', 0.05427974947807934, 0.032907724380493164]
['UV', 35, 'CV', 240, 'size', 'link', 'V3', 'V0', 0.15462774801404033, 0.8675017356872559]
['CV', 84, 'UV', 17, 'rmdir', 'addr2line', 'V2', 'V2', 0.14647410180975307, 0.8903422355651855]
['CV', 220, 'BV', 31, 'cut', 'codeblocks', 'V0', 'V0', 0.1878960622077095, 9.158419847488403]
['BV', 30, 'CV', 68, 'bash', 'cat', 'V0', 'V2', 0.1253845027098286, 1.98844575881958]
['UV', 48, 'CV', 313, 'locate', 'logname', 'V1', 'V1', 0.14253495714930087, 0.05272555351257324]
['BV', 7, 'CV', 304, 'libSDL2-2.0.so', 'chmod', 'V0', 'V1', 0.21025501899077592, 2.9329710006713867]
['CV', 146, 'UV', 31, 'head', 'gprof', 'V3', 'V3', 0.13879239040529368, 0.9699065685272217]
['CV', 120, 'BV', 74, 'sync', 'git', 'V3', 'V1', 0.09357107803042697, 4.468561887741089]
['UV', 20, 'CV', 23, 'size', 'wc', 'V2', 'V2', 0.1428067078552515, 0.9046459197998047]
['CV', 9, 'BV', 25, 'users', 'git', 'V2', 'V3', 0.08753085078310541, 8.737426042556763]
['UV', 67, 'CV', 93, 'cmp', 'fmt', 'V0', 'V3', 0.03932203389830513, 0.030778884887695312]
['BV', 74, 'CV', 311, 'git', 'cksum', 'V1', 'V1', 0.09515749882463564, 4.241880416870117]
['UV', 76, 'BV', 30, 'as', 'bash', 'V0', 'V0', 0.015266531713900133, 6.868308067321777]
['UV', 59, 'CV', 243, 'ld', 'csplit', 'V1', 'V0', 0.1206585607074292, 1.6323463916778564]
['CV', 37, 'UV', 77, 'seq', 'ranlib', 'V2', 'V0', 0.1430942605049358, 0.8781673908233643]
