['UO', 77, 'CO', 392, 'ar', 'uname', 'O0', 'O0', 0.1503423301080744, 2.2925291061401367]
['UO', 58, 'CO', 378, 'objdump', 'runcon', 'O3', 'O0', 0.12252782102289106, 1.60335111618042]
['BO', 61, 'CO', 160, 'git', 'cut', 'O1', 'O1', 0.09201001682513599, 6.377539873123169]
['BO', 5, 'UO', 65, 'libgeany.so.0.0.0', 'sdiff', 'O1', 'O3', 0.17286121673003807, 27.57791829109192]
['UO', 24, 'BO', 14, 'diff', 'cmp', 'O2', 'O0', 0.08812136862491926, 0.1250154972076416]
['CO', 97, 'BO', 25, 'uniq', 'dot', 'O3', 'O3', 0.15591397849462363, 0.018195390701293945]
['BO', 51, 'CO', 384, 'lua', 'head', 'O1', 'O0', 0.11591569767441856, 0.4709501266479492]
['BO', 54, 'CO', 243, 'lua', 'base32', 'O3', 'O2', 0.11788840262582057, 0.3034946918487549]
['CO', 119, 'UO', 86, 'join', 'xargs', 'O1', 'O0', 0.10465116279069764, 0.1088705062866211]
['BO', 20, 'CO', 314, 'sort', 'stat', 'O1', 'O0', 0.04662068965517241, 0.20436668395996094]
['UO', 77, 'CO', 308, 'ar', 'tac', 'O0', 'O2', 0.1512804567810504, 2.264993667602539]
['CO', 155, 'BO', 55, 'realpath', 'make', 'O1', 'O1', 0.11807498601007271, 0.24840903282165527]
['BO', 4, 'CO', 45, 'libgeany.so.0.0.0', 'split', 'O2', 'O3', 0.1758005655697562, 27.34122085571289]
['UO', 18, 'CO', 131, 'diff3', 'wc', 'O1', 'O1', 0.03442711135018828, 0.061148643493652344]
['UO', 1, 'CO', 197, 'xargs', 'nl', 'O1', 'O1', 0.10062893081761004, 0.0792534351348877]
['UO', 70, 'CO', 236, 'ranlib', 'factor', 'O0', 'O2', 0.14742698191933234, 2.327409267425537]
['UO', 1, 'CO', 346, 'xargs', 'tail', 'O1', 'O0', 0.028600269179004045, 0.14476394653320312]
['CO', 66, 'BO', 82, 'runcon', 'cp', 'O3', 'O3', 0.12514307516215184, 0.07181572914123535]
['CO', 147, 'BO', 7, 'chroot', 'sort', 'O1', 'O0', 0.1455565397106584, 0.17085528373718262]
['BO', 34, 'CO', 345, 'cp', 'chown', 'O2', 'O0', 0.03724504877327817, 0.16025781631469727]
['CO', 66, 'UO', 12, 'runcon', 'gprof', 'O3', 'O1', 0.14922813036020588, 1.0647718906402588]
['CO', 139, 'BO', 75, 'base32', 'gvmap', 'O1', 'O1', 0.11882287617990006, 0.13263320922851562]
['BO', 18, 'UO', 0, 'libvlc.so.12.0.0', 'locate', 'O1', 'O1', 0.12296881862099251, 0.7123022079467773]
['CO', 192, 'BO', 81, 'shred', 'sort', 'O1', 'O3', 0.05992509363295884, 0.12569832801818848]
['UO', 47, 'BO', 73, 'as', 'cluster', 'O3', 'O1', 0.09194020489232702, 1.9769763946533203]
['UO', 29, 'CO', 208, 'as', 'sha384sum', 'O2', 'O2', 0.12945170013232843, 1.6257820129394531]
['BO', 40, 'CO', 325, 'lua', 'printenv', 'O0', 'O0', 0.13760147980680304, 0.6855194568634033]
['BO', 28, 'CO', 140, 'ruby', 'pinky', 'O0', 'O1', 0.10414930844859194, 12.9434974193573]
['UO', 34, 'CO', 165, 'ld', 'cksum', 'O2', 'O1', 0.14170113288976804, 1.7731437683105469]
['UO', 27, 'BO', 38, 'strip', 'acyclic', 'O2', 'O2', 0.149347137448814, 1.0198359489440918]
['UO', 24, 'BO', 46, 'diff', 'ruby', 'O2', 'O3', 0.09782236067430805, 14.457711935043335]
['BO', 54, 'CO', 382, 'lua', 'b2sum', 'O3', 'O0', 0.096550839851263, 0.4014146327972412]
['UO', 72, 'CO', 73, 'strings', 'hostid', 'O0', 'O3', 0.1551180634033189, 2.0281901359558105]
['UO', 25, 'CO', 307, 'sdiff', 'sort', 'O2', 'O2', 0.08974358974358976, 0.11534667015075684]
['BO', 60, 'CO', 270, 'openssl', 'printf', 'O0', 'O2', 0.2703503097845147, 8.69385027885437]
['BO', 8, 'CO', 34, 'cp', 'tail', 'O0', 'O3', 0.1200091785222579, 0.22162175178527832]
['UO', 71, 'CO', 400, 'c++filt', 'shred', 'O0', 'O0', 0.1367364496702036, 2.486379623413086]
['CO', 216, 'BO', 79, 'dir', 'bash', 'O2', 'O3', 0.09792462725706153, 3.0816264152526855]
['CO', 184, 'BO', 56, 'uname', 'libvlc.so.12.0.0', 'O1', 'O3', 0.21152737752161377, 0.4034554958343506]
['UO', 10, 'CO', 390, 'objcopy', 'chcon', 'O1', 'O0', 0.1188858695652174, 1.628495693206787]
['CO', 118, 'UO', 12, 'stty', 'gprof', 'O1', 'O1', 0.13892874222859875, 1.1707892417907715]
['CO', 225, 'UO', 77, 'stdbuf', 'ar', 'O2', 'O0', 0.1517892475549777, 2.328767776489258]
['UO', 59, 'CO', 394, 'locate', 'shuf', 'O3', 'O0', 0.050321825629022765, 0.18793106079101562]
