['CO', 50, 'BO', 19, 'dircolors', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.16206372078130005, 4.622178077697754]
['BO', 7, 'UO', 5, 'sort', 'readelf', 'O0', 'O1', 0.0462984451148758, 0.6226279735565186]
['CO', 103, 'UO', 22, 'ln', 'diff3', 'O3', 'O2', 0.06106870229007633, 0.06991338729858398]
['BO', 40, 'CO', 259, 'lua', 'realpath', 'O0', 'O2', 0.13755968708727018, 0.6944320201873779]
['CO', 240, 'UO', 27, 'expr', 'strip', 'O2', 'O2', 0.1355102040816326, 1.1996643543243408]
['CO', 121, 'BO', 66, 'stdbuf', 'svn', 'O1', 'O2', 0.21167536782154728, 0.5153894424438477]
['UO', 48, 'CO', 158, 'ranlib', 'true', 'O3', 'O1', 0.1381798979052984, 0.8253414630889893]
['CO', 321, 'UO', 82, 'du', 'cmp', 'O0', 'O0', 0.11469648562300316, 0.15534687042236328]
['CO', 292, 'BO', 3, 'vdir', 'openssl', 'O2', 'O1', 0.25580542654607674, 8.866142749786377]
['CO', 184, 'UO', 38, 'uname', 'elfedit', 'O1', 'O2', 0.05134099616858234, 0.03189587593078613]
['UO', 73, 'CO', 250, 'objcopy', 'sum', 'O0', 'O2', 0.14515967564320753, 2.6509199142456055]
['UO', 64, 'CO', 275, 'diff', 'nohup', 'O3', 'O2', 0.12166488794023478, 0.08881306648254395]
['UO', 51, 'CO', 393, 'objcopy', 'cat', 'O3', 'O0', 0.12377284398127175, 1.065934658050537]
['BO', 80, 'UO', 51, 'ssh', 'objcopy', 'O3', 'O3', 0.020967858956685737, 4.270263433456421]
['CO', 121, 'UO', 63, 'stdbuf', 'cmp', 'O1', 'O3', 0.038203753351206404, 0.03959059715270996]
['UO', 52, 'CO', 46, 'ld', 'whoami', 'O3', 'O3', 0.13523453515012662, 1.5560154914855957]
['CO', 257, 'BO', 25, 'nice', 'dot', 'O2', 'O3', 0.17110799438990187, 0.013215780258178711]
['CO', 394, 'UO', 84, 'shuf', 'sdiff', 'O0', 'O0', 0.05025927403270847, 0.11774468421936035]
['BO', 78, 'CO', 113, 'ssh', 'du', 'O0', 'O1', 0.12161581435324453, 3.588813304901123]
['BO', 51, 'CO', 169, 'lua', 'false', 'O1', 'O1', 0.13236986826959973, 0.4153738021850586]
['UO', 1, 'CO', 6, 'xargs', 'mkdir', 'O1', 'O3', 0.08966431095406358, 0.07928752899169922]
['BO', 34, 'CO', 304, 'cp', 'fold', 'O2', 'O2', 0.12872083668543843, 0.08339810371398926]
['BO', 29, 'CO', 307, 'libvlc.so.12.0.0', 'sort', 'O2', 'O2', 0.14395725286814398, 0.6211197376251221]
['UO', 5, 'CO', 208, 'readelf', 'sha384sum', 'O1', 'O2', 0.11609977324263043, 0.2875814437866211]
['CO', 213, 'UO', 25, 'basename', 'sdiff', 'O2', 'O2', 0.10212474297464014, 0.03611111640930176]
['UO', 56, 'CO', 389, 'elfedit', 'env', 'O3', 'O0', 0.061694915254237315, 0.040487051010131836]
['UO', 68, 'CO', 139, 'readelf', 'base32', 'O0', 'O1', 0.12262179698669307, 0.5337166786193848]
['BO', 28, 'CO', 4, 'ruby', 'test', 'O0', 'O3', 0.10465873797439584, 12.821938753128052]
['UO', 72, 'BO', 19, 'strings', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.03865247351132406, 13.666333198547363]
['CO', 205, 'UO', 68, 'rmdir', 'readelf', 'O1', 'O0', 0.12436548223350252, 0.5338728427886963]
['CO', 47, 'BO', 2, 'numfmt', 'perl', 'O3', 'O1', 0.07581445409917831, 2.4582977294921875]
['BO', 31, 'UO', 67, 'bash', 'strip', 'O2', 'O0', 0.004784911270091952, 10.729753494262695]
['UO', 23, 'BO', 72, 'cmp', 'make', 'O2', 'O2', 0.12152588555858312, 0.2428903579711914]
['UO', 22, 'CO', 377, 'diff3', 'false', 'O2', 'O0', 0.05932762030323002, 0.04189753532409668]
['BO', 1, 'CO', 343, 'ssh', 'date', 'O2', 'O0', 0.129872495446266, 1.6469025611877441]
['CO', 331, 'BO', 82, 'dd', 'cp', 'O0', 'O3', 0.03966657085369363, 0.15009808540344238]
['UO', 15, 'CO', 378, 'elfedit', 'runcon', 'O1', 'O0', 0.06924101198402133, 0.044617414474487305]
['UO', 65, 'CO', 89, 'sdiff', 'pathchk', 'O3', 'O3', 0.083184789067142, 0.035784244537353516]
['BO', 81, 'CO', 176, 'sort', 'head', 'O3', 'O1', 0.09621993127147765, 0.09267687797546387]
['BO', 53, 'CO', 360, 'bash', 'ls', 'O0', 'O0', 0.10107598079788116, 4.7890777587890625]
['UO', 34, 'CO', 282, 'ld', 'unexpand', 'O2', 'O2', 0.14231760685810202, 1.7771625518798828]
['CO', 321, 'BO', 25, 'du', 'dot', 'O0', 'O3', 0.2284429914180629, 0.0940713882446289]
['BO', 16, 'UO', 38, 'make', 'elfedit', 'O0', 'O2', 0.12132040156542456, 0.24565649032592773]
['CO', 336, 'BO', 0, 'tee', 'codeblocks', 'O0', 'O1', 0.18389938414364781, 10.43223524093628]
['UO', 40, 'CO', 330, 'objdump', 'uptime', 'O2', 'O0', 0.12809822958309536, 1.943713903427124]
['CO', 370, 'BO', 27, 'df', 'perl', 'O0', 'O3', 0.0736884033230909, 2.8810765743255615]
['CO', 265, 'UO', 58, 'od', 'objdump', 'O2', 'O3', 0.12085402751612717, 1.6245968341827393]
['CO', 393, 'BO', 20, 'cat', 'sort', 'O0', 'O1', 0.11202283267927227, 0.12334299087524414]
['UO', 7, 'CO', 209, 'ranlib', 'touch', 'O1', 'O2', 0.13824628348835355, 1.1942219734191895]
