['CO', 227, 'UO', 82, 'dd', 'cmp', 'O2', 'O0', 0.037018756169792666, 0.0659024715423584]
['BO', 40, 'UO', 50, 'lua', 'strings', 'O0', 'O3', 0.012717363093693201, 2.834003210067749]
['UO', 50, 'CO', 198, 'strings', 'rm', 'O3', 'O1', 0.1186915070410216, 2.0186073780059814]
['CO', 83, 'BO', 11, 'csplit', 'ssh', 'O3', 'O1', 0.14093462559417247, 1.615811824798584]
['BO', 47, 'CO', 301, 'libvlc.so.12.0.0', 'nl', 'O0', 'O2', 0.23196847695734113, 0.6016213893890381]
['UO', 21, 'BO', 11, 'sdiff', 'ssh', 'O1', 'O1', 0.13910680091420102, 1.6741352081298828]
['UO', 15, 'CO', 353, 'elfedit', 'echo', 'O1', 'O0', 0.037280701754385914, 0.03927445411682129]
['CO', 139, 'UO', 52, 'base32', 'ld', 'O1', 'O3', 0.13139604553624928, 1.7353119850158691]
['CO', 353, 'UO', 13, 'echo', 'addr2line', 'O0', 'O1', 0.14845378735232795, 1.1318752765655518]
['BO', 63, 'CO', 157, 'cluster', 'chmod', 'O0', 'O1', 0.10352167182662542, 0.25969934463500977]
