['BO', 9, 'CO', 76, 'git', 'md5sum', 'O0', 'O3', 0.9704381488650361, 8.78581714630127]
['UO', 47, 'CO', 93, 'as', 'nl', 'O3', 'O3', 0.9150502453844356, 1.9103589057922363]
['CO', 205, 'UO', 10, 'rmdir', 'objcopy', 'O1', 'O1', 0.9044368600682594, 1.9748690128326416]
['BO', 53, 'CO', 43, 'bash', 'chroot', 'O0', 'O3', 0.944856463574749, 5.006498336791992]
['UO', 75, 'CO', 131, 'gprof', 'wc', 'O0', 'O1', 0.9079255378441645, 3.1517860889434814]
['UO', 85, 'CO', 332, 'locate', 'mkfifo', 'O0', 'O0', 0.31625403659849294, 0.39391589164733887]
['CO', 269, 'UO', 83, 'cksum', 'diff', 'O2', 'O0', 0.690176322418136, 0.19779014587402344]
['CO', 121, 'UO', 0, 'stdbuf', 'locate', 'O1', 'O1', 0.5161078238001315, 0.17635035514831543]
['CO', 319, 'UO', 4, 'fmt', 'strip', 'O0', 'O1', 0.8835104854926745, 2.057788848876953]
['CO', 61, 'UO', 34, 'cksum', 'ld', 'O3', 'O2', 0.924304932735426, 2.711432695388794]
