['BO', 66, 'CO', 289, 'svn', 'cat', 'O2', 'O2', 0.8254046101029917, 0.5986087322235107]
['BO', 6, 'CO', 131, 'codeblocks', 'wc', 'O0', 'O1', 0.9689293782172351, 37.03733158111572]
['BO', 68, 'UO', 24, 'git', 'diff', 'O3', 'O2', 0.9166999486506533, 9.724234580993652]
['UO', 45, 'CO', 252, 'strip', 'seq', 'O3', 'O2', 0.9014943580359865, 1.288210391998291]
['CO', 387, 'UO', 27, 'mv', 'strip', 'O0', 'O2', 0.5946455505279035, 3.029716968536377]
['BO', 9, 'UO', 28, 'git', 'readelf', 'O0', 'O2', 0.795766366130929, 10.777074098587036]
['CO', 269, 'UO', 62, 'cksum', 'diff3', 'O2', 'O3', 0.3612018288700196, 0.03938555717468262]
['BO', 65, 'UO', 59, 'gvmap', 'locate', 'O0', 'O3', 0.33098704207326834, 0.429384708404541]
['CO', 283, 'BO', 51, 'mv', 'lua', 'O2', 'O1', 0.5275952008346374, 0.973503589630127]
['BO', 36, 'CO', 178, 'cluster', 'unexpand', 'O2', 'O1', 0.5945221792200059, 0.1516132354736328]
['CO', 283, 'BO', 60, 'mv', 'openssl', 'O2', 'O0', 0.8324415451147108, 18.874837398529053]
['UO', 44, 'CO', 23, 'nm', 'pr', 'O3', 'O3', 0.8011107254425547, 1.1942121982574463]
['UO', 52, 'BO', 49, 'ld', 'svn', 'O3', 'O0', 0.445684086905461, 4.627221345901489]
['UO', 39, 'CO', 186, 'size', 'shuf', 'O2', 'O1', 0.8166363084395871, 1.3372175693511963]
['CO', 32, 'BO', 31, 'expr', 'bash', 'O3', 'O2', 0.9292107404393816, 4.099092960357666]
['CO', 170, 'BO', 74, 'runcon', 'dot', 'O1', 'O1', 0.4557463672391018, 0.021747827529907227]
['BO', 70, 'CO', 157, 'diff', 'chmod', 'O3', 'O1', 0.351270553064275, 0.14765572547912598]
['UO', 46, 'CO', 203, 'readelf', 'sort', 'O3', 'O1', 0.4934652962821977, 0.542804479598999]
['UO', 75, 'CO', 38, 'gprof', 'sha1sum', 'O0', 'O3', 0.9163634327940435, 2.9472036361694336]
['BO', 22, 'CO', 96, 'perl', 'fold', 'O0', 'O3', 0.9580289134152029, 4.7463788986206055]
['CO', 363, 'BO', 36, 'realpath', 'cluster', 'O0', 'O2', 0.4722374931280924, 0.20694708824157715]
['CO', 234, 'UO', 23, 'kill', 'cmp', 'O2', 'O2', 0.16346891788181117, 0.036375999450683594]
['CO', 281, 'UO', 86, 'hostid', 'xargs', 'O2', 'O0', 0.5665871121718377, 0.10558485984802246]
['CO', 26, 'UO', 73, 'kill', 'objcopy', 'O3', 'O0', 0.9337165708572857, 3.87296724319458]
['UO', 75, 'BO', 20, 'gprof', 'sort', 'O0', 'O1', 0.791507808011699, 3.8665530681610107]
['UO', 76, 'BO', 36, 'addr2line', 'cluster', 'O0', 'O2', 0.7174418604651163, 3.46737003326416]
['UO', 68, 'CO', 195, 'readelf', 'comm', 'O0', 'O1', 0.8437911364633611, 0.6711764335632324]
['CO', 305, 'UO', 71, 'uniq', 'c++filt', 'O2', 'O0', 0.9143280925541383, 3.1575734615325928]
['UO', 3, 'CO', 53, 'nm', 'chmod', 'O1', 'O3', 0.8189867191342843, 1.4681487083435059]
['BO', 68, 'CO', 50, 'git', 'dircolors', 'O3', 'O3', 0.9712475061612487, 8.60382604598999]
['UO', 6, 'BO', 50, 'as', 'perl', 'O1', 'O2', 0.30552333719953606, 12.702086925506592]
['BO', 18, 'CO', 316, 'libvlc.so.12.0.0', 'test', 'O1', 'O0', 0.6780885349138729, 0.5993032455444336]
['CO', 101, 'UO', 49, 'rmdir', 'c++filt', 'O3', 'O3', 0.8692944129404109, 1.1075880527496338]
