['BO', 3, 'CO', 262, 'openssl', 'true', 'O1', 'O2', 0.962991920771436, 10.086169481277466]
['CO', 107, 'UO', 28, 'unlink', 'readelf', 'O1', 'O2', 0.8251592356687898, 0.3472716808319092]
['BO', 83, 'CO', 73, 'lua', 'hostid', 'O2', 'O3', 0.8468937875751503, 0.4772043228149414]
['CO', 164, 'BO', 59, 'base64', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9784225607942001, 39.52908706665039]
['CO', 323, 'BO', 9, 'groups', 'git', 'O0', 'O0', 0.9710547417418005, 9.825016975402832]
['CO', 185, 'UO', 41, 'cat', 'locate', 'O1', 'O2', 0.5650349650349651, 0.1549372673034668]
['CO', 183, 'BO', 76, 'link', 'openssl', 'O1', 'O2', 0.9527437056165268, 11.798087120056152]
['BO', 35, 'CO', 185, 'make', 'cat', 'O3', 'O1', 0.7674851190476191, 0.29218554496765137]
['BO', 16, 'CO', 251, 'make', 'chroot', 'O0', 'O2', 0.7724447513812155, 0.3295786380767822]
['UO', 40, 'BO', 24, 'objdump', 'cluster', 'O2', 'O3', 0.7226406274346855, 2.951064109802246]
['CO', 102, 'UO', 43, 'mknod', 'find', 'O3', 'O2', 0.767078046236746, 0.5004453659057617]
['BO', 41, 'CO', 299, 'libSDL2-2.0.so.0.16.0', 'comm', 'O2', 'O2', 0.9397103733622303, 6.804736614227295]
['CO', 212, 'UO', 11, 'test', 'ld', 'O2', 'O1', 0.9255201352060143, 2.9359688758850098]
['CO', 69, 'BO', 36, 'who', 'cluster', 'O3', 'O2', 0.5224304372515616, 0.16981172561645508]
['UO', 54, 'BO', 6, 'addr2line', 'codeblocks', 'O3', 'O0', 0.6778540433925049, 126.0087399482727]
['UO', 66, 'CO', 191, 'nm', 'id', 'O0', 'O1', 0.9142642555895777, 2.944711685180664]
['CO', 101, 'UO', 82, 'rmdir', 'cmp', 'O3', 'O0', 0.1843575418994413, 0.04999661445617676]
['BO', 25, 'UO', 65, 'dot', 'sdiff', 'O3', 'O3', 0.6437246963562753, 0.029779434204101562]
