['CV', 155, 'UV', 74, 'cat', 'strip', 'V3', 'V0', 0.9016628440366973, 1.5942418575286865]
['BV', 53, 'CV', 71, 'ssh', '[', 'V2', 'V2', 0.9590234816736513, 4.486217737197876]
['BV', 57, 'CV', 196, 'svn', 'kill', 'V2', 'V0', 0.8400299009530929, 0.4331974983215332]
['BV', 75, 'CV', 342, 'cmp', 'sleep', 'V2', 'V1', 0.281618887015177, 0.027816295623779297]
['CV', 43, 'BV', 32, 'chmod', 'perl', 'V2', 'V0', 0.9234611732650786, 3.0916709899902344]
['UV', 6, 'CV', 342, 'sdiff', 'sleep', 'V2', 'V1', 0.40915395284327327, 0.03618335723876953]
['UV', 24, 'CV', 211, 'readelf', 'seq', 'V3', 'V0', 0.8649528148389196, 0.2655336856842041]
['CV', 186, 'UV', 32, 'stty', 'addr2line', 'V0', 'V3', 0.8988631195998181, 1.245396614074707]
['CV', 229, 'BV', 61, 'nohup', 'cmp', 'V0', 'V0', 0.12010113780025289, 0.015490293502807617]
['BV', 75, 'UV', 85, 'cmp', 'elfedit', 'V2', 'V0', 0.13291579679888654, 0.03722071647644043]
['UV', 35, 'CV', 240, 'size', 'link', 'V3', 'V0', 0.9346018843524848, 1.0483887195587158]
['CV', 84, 'UV', 17, 'rmdir', 'addr2line', 'V2', 'V2', 0.8926629223500044, 1.2650938034057617]
['CV', 220, 'BV', 31, 'cut', 'codeblocks', 'V0', 'V0', 0.9727149459003238, 13.464388608932495]
['BV', 30, 'CV', 68, 'bash', 'cat', 'V0', 'V2', 0.915629119671891, 2.5311295986175537]
['UV', 48, 'CV', 313, 'locate', 'logname', 'V1', 'V1', 0.6716283265674334, 0.0630180835723877]
['BV', 7, 'CV', 304, 'libSDL2-2.0.so', 'chmod', 'V0', 'V1', 0.8855127509495387, 3.78261661529541]
['CV', 146, 'UV', 31, 'head', 'gprof', 'V3', 'V3', 0.8666666666666667, 1.4186108112335205]
['CV', 120, 'BV', 74, 'sync', 'git', 'V3', 'V1', 0.970554555864551, 6.385643482208252]
['UV', 20, 'CV', 23, 'size', 'wc', 'V2', 'V2', 0.8790820829655781, 1.1865487098693848]
['CV', 9, 'BV', 25, 'users', 'git', 'V2', 'V3', 0.9827701286807506, 11.773550510406494]
