['CV', 106, 'UV', 39, 'pr', 'find', 'V3', 'V3', 0.6250411861614498, 0.47353291511535645]
['BV', 76, 'CV', 147, 'diff', 'hostid', 'V2', 'V3', 0.5917201998572448, 0.09501314163208008]
['CV', 68, 'BV', 2, 'cat', 'cmp', 'V2', 'V1', 0.09102167182662535, 0.04040932655334473]
['UV', 32, 'BV', 74, 'addr2line', 'git', 'V3', 'V1', 0.6030798479087452, 19.120824813842773]
['BV', 2, 'CV', 246, 'cmp', 'id', 'V1', 'V0', 0.25771476230191825, 0.027889013290405273]
['UV', 10, 'CV', 122, 'as', 'sum', 'V2', 'V3', 0.9107539750384681, 2.1395814418792725]
['CV', 219, 'BV', 76, 'cp', 'diff', 'V0', 'V2', 0.34252322445310157, 0.14267373085021973]
['UV', 57, 'CV', 167, 'strings', 'uniq', 'V1', 'V3', 0.8458344147417597, 1.1659269332885742]
['CV', 93, 'UV', 16, 'fmt', 'gprof', 'V3', 'V2', 0.881329503487895, 1.395296335220337]
['UV', 63, 'CV', 75, 'elfedit', 'tr', 'V1', 'V2', 0.1492204899777283, 0.02976393699645996]
['UV', 41, 'CV', 250, 'cmp', 'comm', 'V3', 'V0', 0.25558312655086857, 0.02812361717224121]
['CV', 109, 'BV', 72, 'kill', 'perl', 'V3', 'V1', 0.9560111464968153, 3.1081087589263916]
['UV', 29, 'CV', 141, 'objcopy', 'false', 'V3', 'V3', 0.9171892708726861, 1.4053113460540771]
['CV', 73, 'UV', 22, 'shred', 'nm', 'V2', 'V3', 0.8384588804422944, 1.4504811763763428]
['CV', 182, 'BV', 33, 'du', 'openssl', 'V0', 'V0', 0.9507331923497013, 8.980018377304077]
['CV', 186, 'BV', 4, 'stty', 'geany', 'V0', 'V3', 0.9806480804705718, 34.335206747055054]
['CV', 329, 'UV', 46, 'cat', 'diff', 'V1', 'V1', 0.7259914782038676, 0.10731124877929688]
['CV', 319, 'BV', 42, 'readlink', 'libvlc.so', 'V1', 'V1', 0.8101995565410199, 0.30495762825012207]
['CV', 181, 'BV', 17, 'dir', 'codeblocks', 'V0', 'V2', 0.9317365269461078, 18.54617214202881]
['BV', 43, 'CV', 175, 'lua', 'stat', 'V0', 'V0', 0.8274094891717639, 0.33826565742492676]
['CV', 102, 'UV', 23, 'uptime', 'strip', 'V3', 'V3', 0.8744182610622737, 1.720407485961914]
['BV', 12, 'CV', 269, 'sort', 'du', 'V2', 'V1', 0.1875463306152706, 0.0989217758178711]
['CV', 293, 'BV', 46, 'paste', 'cluster', 'V1', 'V3', 0.7449109414758269, 0.13149714469909668]
['CV', 242, 'BV', 29, 'cat', 'perl', 'V0', 'V3', 0.970922340501536, 3.161557197570801]
['UV', 41, 'CV', 200, 'cmp', 'date', 'V3', 'V0', 0.08934953538241597, 0.03778791427612305]
['UV', 25, 'CV', 86, 'as', 'ln', 'V3', 'V2', 0.9000170232083073, 2.1657767295837402]
['UV', 58, 'CV', 269, 'objcopy', 'du', 'V1', 'V1', 0.8528010734652801, 1.6909620761871338]
['UV', 64, 'BV', 7, 'size', 'libSDL2-2.0.so', 'V1', 'V0', 0.23517232980148584, 13.665324211120605]
['BV', 75, 'CV', 55, 'cmp', 'nohup', 'V2', 'V2', 0.16918429003021151, 0.030947208404541016]
['BV', 27, 'CV', 92, 'libSDL2-2.0.so', 'mkdir', 'V1', 'V3', 0.9031802887224574, 4.6280694007873535]
