['CO', 282, 'BO', 46, 'unexpand', 'ruby', 'O2', 'O3', 0.9820125209955718, 18.559730052947998]
['CO', 294, 'UO', 22, 'timeout', 'diff3', 'O2', 'O2', 0.13381995133819946, 0.05371403694152832]
['CO', 261, 'BO', 61, 'chmod', 'git', 'O2', 'O1', 0.9612353318932804, 10.523546695709229]
['CO', 14, 'BO', 68, 'stty', 'git', 'O3', 'O3', 0.9652892884304128, 10.093384742736816]
['UO', 37, 'CO', 63, 'ar', 'logname', 'O2', 'O3', 0.901173246553053, 1.2988708019256592]
['UO', 2, 'CO', 178, 'find', 'unexpand', 'O1', 'O1', 0.7715049273425756, 0.5079975128173828]
['BO', 70, 'CO', 385, 'diff', 'hostid', 'O3', 'O0', 0.5709318497913769, 0.12117648124694824]
['CO', 66, 'BO', 26, 'runcon', 'gvmap', 'O3', 'O3', 0.6761513640363743, 0.1466968059539795]
['BO', 82, 'CO', 357, 'cp', 'split', 'O3', 'O0', 0.25234777340199943, 0.16208267211914062]
['UO', 79, 'BO', 71, 'size', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.23750031741194988, 36.01821446418762]
['CO', 346, 'BO', 29, 'tail', 'libvlc.so.12.0.0', 'O0', 'O2', 0.4931438955889642, 0.8194282054901123]
['UO', 10, 'CO', 380, 'objcopy', 'yes', 'O1', 'O0', 0.9077616934603914, 1.760951042175293]
['CO', 330, 'UO', 36, 'uptime', 'addr2line', 'O0', 'O2', 0.8368819285588598, 1.6169185638427734]
['UO', 55, 'CO', 147, 'ar', 'chroot', 'O3', 'O1', 0.8713854121709107, 1.1685817241668701]
['CO', 115, 'BO', 51, 'groups', 'lua', 'O1', 'O1', 0.8382667842297519, 0.6339988708496094]
['UO', 82, 'CO', 93, 'cmp', 'nl', 'O0', 'O3', 0.16330275229357794, 0.05175328254699707]
['CO', 413, 'BO', 17, 'rmdir', 'codeblocks', 'O0', 'O2', 0.962874500233657, 17.210928678512573]
['BO', 4, 'CO', 89, 'libgeany.so.0.0.0', 'pathchk', 'O2', 'O3', 0.9785931262623853, 36.97213554382324]
['CO', 140, 'UO', 29, 'pinky', 'as', 'O1', 'O2', 0.914355954490881, 2.6049678325653076]
['BO', 23, 'CO', 323, 'git', 'groups', 'O2', 'O0', 0.9710547417418005, 8.78015685081482]
['UO', 3, 'CO', 275, 'nm', 'nohup', 'O1', 'O2', 0.9051872208862933, 1.3859093189239502]
['UO', 68, 'CO', 209, 'readelf', 'touch', 'O0', 'O2', 0.7850467289719626, 0.7466616630554199]
['CO', 347, 'UO', 44, 'base32', 'nm', 'O0', 'O3', 0.8518782903542429, 1.3593635559082031]
['CO', 302, 'BO', 38, 'rm', 'acyclic', 'O2', 'O2', 0.6485929993136582, 0.03854942321777344]
['BO', 63, 'CO', 363, 'cluster', 'realpath', 'O0', 'O0', 0.619500594530321, 0.30807924270629883]
['UO', 56, 'BO', 80, 'elfedit', 'ssh', 'O3', 'O3', 0.9096774193548387, 2.0193400382995605]
['CO', 255, 'UO', 72, 'numfmt', 'strings', 'O2', 'O0', 0.9108130368278621, 3.241530656814575]
['BO', 14, 'CO', 161, 'cmp', 'od', 'O0', 'O1', 0.08502869066249352, 0.07671618461608887]
['CO', 329, 'UO', 85, 'stdbuf', 'locate', 'O0', 'O0', 0.5679298788347512, 0.312824010848999]
['BO', 33, 'CO', 283, 'sort', 'mv', 'O2', 'O2', 0.10290614578370649, 0.2679786682128906]
