['UO', 51, 'CO', 122, 'objcopy', 'uptime', 'O3', 'O1', 0.8770226537216829, 1.4234123229980469]
['UO', 14, 'CO', 390, 'ar', 'chcon', 'O1', 'O0', 0.7560346136329134, 1.8953359127044678]
['CO', 0, 'UO', 34, 'sha384sum', 'ld', 'O3', 'O2', 0.9092365189535504, 2.7522459030151367]
['CO', 282, 'BO', 17, 'unexpand', 'codeblocks', 'O2', 'O2', 0.9693165242758908, 16.306053638458252]
['BO', 35, 'CO', 358, 'make', 'whoami', 'O3', 'O0', 0.7661710037174722, 0.29529666900634766]
['CO', 31, 'BO', 48, 'date', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.934272029545848, 16.851351737976074]
['CO', 180, 'BO', 19, 'md5sum', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9430334107843923, 7.164252758026123]
['CO', 364, 'UO', 46, 'sha256sum', 'readelf', 'O0', 'O3', 0.7325633051976899, 0.4005849361419678]
['BO', 20, 'CO', 207, 'sort', 'ln', 'O1', 'O1', 0.20461265523358962, 0.20208454132080078]
['UO', 10, 'BO', 60, 'objcopy', 'openssl', 'O1', 'O0', 0.3607619847288184, 39.4508159160614]
['CO', 229, 'UO', 19, 'mktemp', 'cmp', 'O2', 'O1', 0.07066666666666666, 0.048356056213378906]
['CO', 101, 'UO', 86, 'rmdir', 'xargs', 'O3', 'O0', 0.41296928327645044, 0.11596441268920898]
['BO', 83, 'CO', 139, 'lua', 'base32', 'O2', 'O1', 0.8187080647283252, 0.5222208499908447]
['CO', 91, 'BO', 50, 'comm', 'perl', 'O3', 'O2', 0.9544227886056972, 3.7147445678710938]
['CO', 363, 'BO', 24, 'realpath', 'cluster', 'O0', 'O3', 0.4711062190423776, 0.20308685302734375]
