['CO', 390, 'UO', 43, 'chcon', 'find', 'O0', 'O2', 0.5194610778443114, 0.7627866268157959]
['CO', 156, 'UO', 29, 'sha256sum', 'as', 'O1', 'O2', 0.9167668441238765, 2.7254011631011963]
['CO', 411, 'UO', 44, 'sort', 'nm', 'O0', 'O3', 0.5948997618864736, 2.240349292755127]
['UO', 85, 'CO', 33, 'locate', 'chown', 'O0', 'O3', 0.43999999999999995, 0.2747628688812256]
['BO', 17, 'CO', 379, 'codeblocks', 'nohup', 'O2', 'O0', 0.9626197336656024, 14.500137329101562]
['UO', 45, 'CO', 409, 'strip', 'uniq', 'O3', 'O0', 0.8618887644643524, 1.4517524242401123]
['BO', 72, 'CO', 395, 'make', 'csplit', 'O2', 'O0', 0.5894948143191703, 0.37378454208374023]
['CO', 80, 'BO', 7, 'uname', 'sort', 'O3', 'O0', 0.6413750387116754, 0.19501972198486328]
['CO', 26, 'UO', 21, 'kill', 'sdiff', 'O3', 'O1', 0.24489795918367352, 0.048238515853881836]
['UO', 38, 'BO', 61, 'elfedit', 'git', 'O2', 'O1', 0.9709005573481959, 9.827876329421997]
['CO', 105, 'BO', 22, 'touch', 'perl', 'O1', 'O0', 0.9329691240562273, 6.787149429321289]
['BO', 58, 'CO', 244, 'svn', 'pinky', 'O1', 'O2', 0.788931788931789, 0.6733400821685791]
['UO', 86, 'CO', 90, 'xargs', 'tr', 'O0', 'O3', 0.3640477169888934, 0.1229710578918457]
['CO', 297, 'UO', 11, 'pathchk', 'ld', 'O2', 'O1', 0.9423868312757202, 3.004965305328369]
['BO', 80, 'CO', 220, 'ssh', 'ptx', 'O3', 'O2', 0.8713276310896244, 1.8022892475128174]
['UO', 7, 'CO', 334, 'ranlib', 'pwd', 'O1', 'O0', 0.8742607145750628, 1.5480940341949463]
['BO', 31, 'CO', 59, 'bash', 'tsort', 'O2', 'O3', 0.9405000613823301, 3.608366012573242]
['CO', 19, 'UO', 84, 'dd', 'sdiff', 'O3', 'O0', 0.14353687549563832, 0.09540557861328125]
['UO', 60, 'CO', 356, 'xargs', 'seq', 'O3', 'O0', 0.2433192686357244, 0.1009376049041748]
['CO', 407, 'BO', 44, 'sha224sum', 'cmp', 'O0', 'O2', 0.14906457453228728, 0.0590052604675293]
['CO', 383, 'UO', 35, 'readlink', 'gprof', 'O0', 'O2', 0.8508858267716536, 1.7023296356201172]
['CO', 226, 'BO', 33, 'uptime', 'sort', 'O2', 'O2', 0.44861585134622683, 0.13196182250976562]
['UO', 5, 'BO', 18, 'readelf', 'libvlc.so.12.0.0', 'O1', 'O1', 0.2447872036560983, 1.4257657527923584]
