['BO', 77, 'UO', 28, 'libSDL2-2.0.so.0.16.0', 'readelf', 'O3', 'O2', 0.5834631071560994, 9.137711763381958]
['BO', 40, 'CO', 127, 'lua', 'pr', 'O0', 'O1', 0.7793802377704151, 1.0696959495544434]
['CO', 382, 'BO', 34, 'b2sum', 'cp', 'O0', 'O2', 0.29740518962075846, 0.15799546241760254]
['CO', 37, 'UO', 32, 'truncate', 'strings', 'O3', 'O2', 0.8820758989221991, 1.3570897579193115]
['CO', 246, 'BO', 43, 'sha1sum', 'diff', 'O2', 'O1', 0.5720221606648199, 0.1511375904083252]
['UO', 66, 'CO', 299, 'nm', 'comm', 'O0', 'O2', 0.9287502182897724, 2.9724135398864746]
['UO', 35, 'CO', 375, 'gprof', 'logname', 'O2', 'O0', 0.8956653225806451, 1.3441576957702637]
['CO', 401, 'UO', 9, 'pathchk', 'strings', 'O0', 'O1', 0.8822202948829141, 1.609323263168335]
['UO', 48, 'CO', 182, 'ranlib', 'chcon', 'O3', 'O1', 0.7948505670999255, 1.3442349433898926]
['UO', 79, 'CO', 144, 'size', 'sync', 'O0', 'O1', 0.9306228578182248, 2.915205478668213]
['CO', 148, 'UO', 67, 'seq', 'strip', 'O1', 'O0', 0.9273578795276768, 4.186697959899902]
['UO', 42, 'CO', 158, 'xargs', 'true', 'O2', 'O1', 0.43626373626373627, 0.0785515308380127]
['UO', 69, 'CO', 107, 'as', 'unlink', 'O0', 'O1', 0.9561361457334612, 4.998002767562866]
['CO', 414, 'UO', 44, 'mknod', 'nm', 'O0', 'O3', 0.7244702949729954, 1.8061940670013428]
['CO', 127, 'UO', 59, 'pr', 'locate', 'O1', 'O3', 0.30142063001853003, 0.18430018424987793]
['BO', 2, 'CO', 76, 'perl', 'md5sum', 'O1', 'O3', 0.9601843317972351, 3.3115830421447754]
['CO', 91, 'BO', 79, 'comm', 'bash', 'O3', 'O3', 0.9404015056461732, 3.8910341262817383]
['UO', 43, 'CO', 56, 'find', 'cut', 'O2', 'O3', 0.7424995714040802, 0.48958730697631836]
['BO', 37, 'CO', 43, 'gvmap', 'chroot', 'O2', 'O3', 0.5750551876379691, 0.16823863983154297]
['CO', 40, 'UO', 8, 'sync', 'c++filt', 'O3', 'O1', 0.8892599753911057, 1.49267578125]
['CO', 235, 'UO', 61, 'wc', 'find', 'O2', 'O3', 0.7437709842728397, 0.48243165016174316]
['UO', 15, 'CO', 367, 'elfedit', 'cp', 'O1', 'O0', 0.612589559877175, 0.2750248908996582]
['UO', 21, 'CO', 389, 'sdiff', 'env', 'O1', 'O0', 0.14512471655328796, 0.06402111053466797]
['CO', 170, 'BO', 52, 'runcon', 'svn', 'O1', 'O3', 0.8284424379232506, 0.6861979961395264]
['UO', 74, 'CO', 260, 'ld', 'sha256sum', 'O0', 'O2', 0.9467389039383205, 5.503246068954468]
['UO', 34, 'CO', 300, 'ld', 'sha512sum', 'O2', 'O2', 0.9236148466917697, 2.519757032394409]
['CO', 175, 'UO', 79, 'readlink', 'size', 'O1', 'O0', 0.9097445490150231, 3.4339816570281982]
['BO', 78, 'CO', 260, 'ssh', 'sha256sum', 'O0', 'O2', 0.935278030993619, 2.792945146560669]
['BO', 1, 'CO', 406, 'ssh', 'rm', 'O2', 'O0', 0.8166347075743049, 2.344796895980835]
