['UV', 61, 'CV', 217, 'addr2line', 'chmod', 'V1', 'V0', 0.8817015292670065, 1.1164698600769043]
['CV', 306, 'UV', 79, 'cp', 'strings', 'V1', 'V0', 0.8018658374055975, 1.3170545101165771]
['CV', 226, 'BV', 52, 'logname', 'libSDL2-2.0.so', 'V0', 'V2', 0.9629668485102811, 5.073415040969849]
['UV', 82, 'CV', 90, 'gprof', 'test', 'V0', 'V3', 0.8741531165311653, 1.1101293563842773]
['UV', 16, 'CV', 244, 'gprof', 'vdir', 'V2', 'V0', 0.7973692452239274, 1.4371421337127686]
['CV', 208, 'BV', 65, 'echo', 'ssh', 'V0', 'V1', 0.9766030611556874, 4.707218885421753]
['CV', 226, 'UV', 81, 'logname', 'ld', 'V0', 'V0', 0.95357095883204, 1.7889704704284668]
['UV', 38, 'CV', 125, 'xargs', 'split', 'V3', 'V3', 0.17378681045209454, 0.09758639335632324]
['CV', 284, 'UV', 68, 'wc', 'diff', 'V1', 'V0', 0.5772089182493807, 0.08391952514648438]
['UV', 74, 'CV', 236, 'strip', 'unexpand', 'V0', 'V0', 0.9400409476455104, 1.3209984302520752]
['UV', 54, 'BV', 79, 'as', 'bash', 'V1', 'V3', 0.1700507614213198, 11.362379550933838]
['CV', 57, 'UV', 56, 'who', 'c++filt', 'V2', 'V1', 0.8691076324400814, 1.246401309967041]
['BV', 78, 'UV', 76, 'make', 'as', 'V2', 'V0', 0.5639281694965015, 3.9753811359405518]
['UV', 82, 'CV', 96, 'gprof', 'users', 'V0', 'V3', 0.88516909447142, 1.0938775539398193]
['BV', 38, 'CV', 44, 'ruby', 'true', 'V2', 'V2', 0.6495238095238095, 0.006542205810546875]
['CV', 101, 'UV', 17, 'dirname', 'addr2line', 'V3', 'V2', 0.8973992313879703, 1.242962121963501]
['CV', 87, 'BV', 67, 'touch', 'cluster', 'V3', 'V0', 0.3693643237188462, 0.1569514274597168]
['CV', 70, 'BV', 2, 'vdir', 'cmp', 'V2', 'V1', 0.3722504230118444, 0.08705830574035645]
['UV', 57, 'CV', 211, 'strings', 'seq', 'V1', 'V0', 0.9251105296399892, 1.0432360172271729]
['CV', 130, 'UV', 38, 'chmod', 'xargs', 'V3', 'V3', 0.18331957060280757, 0.09302067756652832]
['CV', 77, 'UV', 66, 'nl', 'diff3', 'V2', 'V0', 0.15909090909090906, 0.058325767517089844]
['CV', 194, 'BV', 0, 'tee', 'bash', 'V0', 'V2', 0.9620321335607217, 3.0971457958221436]
['BV', 18, 'CV', 151, 'sort', 'md5sum', 'V3', 'V3', 0.47645429362880887, 0.10185790061950684]
['UV', 68, 'BV', 45, 'diff', 'svn', 'V0', 'V3', 0.5517200614729874, 1.229827880859375]
['BV', 28, 'CV', 149, 'openssl', 'unexpand', 'V1', 'V3', 0.9683932885608529, 7.793720245361328]
['UV', 8, 'CV', 96, 'strip', 'users', 'V2', 'V3', 0.9006485849056604, 1.4212875366210938]
['UV', 37, 'BV', 75, 'locate', 'cmp', 'V3', 'V2', 0.46955913226032187, 0.12656641006469727]
['UV', 76, 'CV', 289, 'as', 'chown', 'V0', 'V1', 0.9015318590928056, 1.8815679550170898]
['CV', 192, 'UV', 59, 'pwd', 'ld', 'V0', 'V1', 0.9446328380294716, 2.0367538928985596]
['UV', 63, 'CV', 322, 'elfedit', 'ginstall', 'V1', 'V1', 0.32851239669421495, 0.06360960006713867]
['CV', 239, 'UV', 37, 'env', 'locate', 'V0', 'V3', 0.7144022847817217, 0.10383772850036621]
['CV', 55, 'UV', 9, 'nohup', 'readelf', 'V2', 'V2', 0.7263922518159807, 0.13225817680358887]
['CV', 323, 'BV', 43, 'unexpand', 'lua', 'V1', 'V0', 0.8584398117014123, 0.34593796730041504]
['CV', 127, 'BV', 49, 'ls', 'make', 'V3', 'V3', 0.3816649716693302, 0.4901144504547119]
['UV', 14, 'BV', 46, 'objcopy', 'cluster', 'V2', 'V3', 0.6493988232284472, 1.9313368797302246]
['UV', 44, 'BV', 57, 'diff3', 'svn', 'V1', 'V2', 0.666723058704111, 0.5877697467803955]
['BV', 67, 'CV', 204, 'cluster', 'pinky', 'V0', 'V0', 0.6290106951871658, 0.11545395851135254]
