['CV', 255, 'UV', 75, 'sleep', 'readelf', 'V0', 'V0', 0.7596034696406444, 0.1051633358001709]
['UV', 4, 'CV', 198, 'cmp', 'factor', 'V2', 'V0', 0.29642248722316866, 0.029128551483154297]
['CV', 226, 'UV', 79, 'logname', 'strings', 'V0', 'V0', 0.9326592903471957, 1.1514596939086914]
['BV', 72, 'CV', 301, 'perl', 'ls', 'V1', 'V1', 0.9126119112495135, 3.3602771759033203]
['BV', 37, 'CV', 263, 'geany', 'unlink', 'V1', 'V1', 0.9858493347221949, 25.538607120513916]
['BV', 76, 'CV', 240, 'diff', 'link', 'V2', 'V0', 0.7259001161440186, 0.08700919151306152]
['BV', 72, 'CV', 156, 'perl', 'csplit', 'V1', 'V3', 0.9335607004656654, 2.957979440689087]
['CV', 342, 'UV', 12, 'sleep', 'c++filt', 'V1', 'V2', 0.921496698459281, 1.2501285076141357]
['BV', 62, 'CV', 282, 'diff', 'chgrp', 'V0', 'V1', 0.21777777777777774, 0.06636524200439453]
['UV', 14, 'CV', 270, 'objcopy', 'users', 'V2', 'V1', 0.9328436516264428, 1.494814157485962]
['CV', 159, 'UV', 20, 'id', 'size', 'V3', 'V2', 0.8665614588812905, 1.3823721408843994]
['BV', 48, 'CV', 78, 'gvmap', 'rm', 'V3', 'V2', 0.48836032388663964, 0.1865389347076416]
['UV', 41, 'CV', 61, 'cmp', 'ginstall', 'V3', 'V2', 0.3759336099585062, 0.09767794609069824]
['BV', 36, 'CV', 29, 'libvlc.so', 'tail', 'V2', 'V2', 0.6576259246213455, 0.4783344268798828]
['UV', 79, 'CV', 138, 'strings', 'printf', 'V0', 'V3', 0.8531187122736419, 1.0974860191345215]
['BV', 80, 'CV', 36, 'cluster', 'chroot', 'V1', 'V2', 0.6342551293487957, 0.14591073989868164]
['CV', 85, 'BV', 5, 'mknod', 'libvlccore.so', 'V2', 'V0', 0.9416602697664218, 3.885540723800659]
