['CO', 291, 'UO', 85, 'csplit', 'locate', 'O2', 'O0', 0.5602655771195098, 0.2837538719177246]
['CO', 138, 'UO', 49, 'tail', 'c++filt', 'O1', 'O3', 0.791562833748665, 1.4071388244628906]
['CO', 283, 'UO', 81, 'mv', 'diff3', 'O2', 'O0', 0.29494778436353375, 0.1966843605041504]
['CO', 91, 'BO', 8, 'comm', 'cp', 'O3', 'O0', 0.6167817856229214, 0.2506072521209717]
['CO', 344, 'BO', 44, 'expr', 'cmp', 'O0', 'O2', 0.1883733929569592, 0.0666208267211914]
['CO', 313, 'UO', 41, 'touch', 'locate', 'O0', 'O2', 0.2778094694808899, 0.22405672073364258]
['CO', 391, 'BO', 40, 'link', 'lua', 'O0', 'O0', 0.872934414451401, 1.0384364128112793]
['CO', 230, 'BO', 59, 'pwd', 'libgeany.so.0.0.0', 'O2', 'O3', 0.98180506321172, 38.28666305541992]
['CO', 341, 'BO', 38, 'nproc', 'acyclic', 'O0', 'O2', 0.4827945776850886, 0.027288436889648438]
['UO', 8, 'CO', 246, 'c++filt', 'sha1sum', 'O1', 'O2', 0.8912546190392399, 1.3140583038330078]
['CO', 242, 'BO', 39, 'tail', 'codeblocks', 'O2', 'O3', 0.9445713415562662, 18.499695539474487]
['BO', 27, 'CO', 98, 'perl', 'sleep', 'O3', 'O3', 0.9640158753491107, 3.0081565380096436]
['UO', 51, 'CO', 280, 'objcopy', 'head', 'O3', 'O2', 0.8961453660761803, 1.3273086547851562]
['CO', 405, 'UO', 54, 'nl', 'addr2line', 'O0', 'O3', 0.8494331065759637, 1.333268642425537]
['CO', 113, 'UO', 80, 'du', 'objdump', 'O1', 'O0', 0.8610006438662273, 7.502809047698975]
['CO', 162, 'BO', 42, 'df', 'cmp', 'O1', 'O1', 0.30573248407643305, 0.08959317207336426]
['CO', 53, 'BO', 13, 'chmod', 'ruby', 'O3', 'O1', 0.9664909410410228, 20.226261138916016]
['UO', 46, 'BO', 63, 'readelf', 'cluster', 'O3', 'O0', 0.1784132098268224, 0.7019593715667725]
['UO', 76, 'BO', 62, 'addr2line', 'bash', 'O0', 'O1', 0.19454080469956703, 13.954436540603638]
['BO', 24, 'CO', 176, 'cluster', 'head', 'O3', 'O1', 0.5504640371229699, 0.15317249298095703]
['UO', 24, 'CO', 200, 'diff', 'fold', 'O2', 'O1', 0.5466101694915254, 0.1254124641418457]
['UO', 65, 'CO', 289, 'sdiff', 'cat', 'O3', 'O2', 0.3121761658031088, 0.045342445373535156]
['CO', 69, 'UO', 41, 'who', 'locate', 'O3', 'O2', 0.4589685371391502, 0.15853333473205566]
['CO', 233, 'UO', 1, 'chgrp', 'xargs', 'O2', 'O1', 0.14677419354838706, 0.11800718307495117]
['CO', 310, 'UO', 85, 'mknod', 'locate', 'O2', 'O0', 0.7039529015979815, 0.25034213066101074]
['BO', 55, 'CO', 86, 'make', 'timeout', 'O1', 'O3', 0.6931079323797139, 0.30235743522644043]
['UO', 74, 'BO', 53, 'ld', 'bash', 'O0', 'O0', 0.109338061465721, 23.594815015792847]
['BO', 45, 'CO', 13, 'diff', 'printenv', 'O2', 'O3', 0.5941818181818181, 0.10774779319763184]
['UO', 8, 'CO', 319, 'c++filt', 'fmt', 'O1', 'O0', 0.8596764425988407, 1.4018449783325195]
['BO', 8, 'UO', 19, 'cp', 'cmp', 'O0', 'O1', 0.6090955544200306, 0.2379612922668457]
['UO', 39, 'CO', 239, 'size', 'date', 'O2', 'O2', 0.8216926154649039, 1.286116123199463]
['CO', 246, 'UO', 37, 'sha1sum', 'ar', 'O2', 'O2', 0.894521249359959, 1.472203254699707]
