['UO', 29, 'CO', 358, 'as', 'whoami', 'O2', 'O0', 0.92758045017558, 2.327573299407959]
['BO', 29, 'CO', 309, 'libvlc.so.12.0.0', 'rmdir', 'O2', 'O2', 0.7741035856573705, 0.5208404064178467]
['CO', 336, 'BO', 68, 'tee', 'git', 'O0', 'O3', 0.9695139825291669, 10.214226961135864]
['CO', 168, 'BO', 10, 'tty', 'openssl', 'O1', 'O3', 0.9524055871702017, 11.960464715957642]
['UO', 3, 'CO', 111, 'nm', 'fmt', 'O1', 'O1', 0.8822331579840489, 1.472252607345581]
['UO', 64, 'CO', 94, 'diff', 'rm', 'O3', 'O3', 0.2850268893291821, 0.14284825325012207]
['CO', 390, 'UO', 3, 'chcon', 'nm', 'O0', 'O1', 0.746909205449248, 2.2117700576782227]
['CO', 299, 'UO', 85, 'comm', 'locate', 'O2', 'O0', 0.6647493837304848, 0.25344109535217285]
['UO', 39, 'CO', 274, 'size', 'runcon', 'O2', 'O2', 0.92005867253392, 1.1898248195648193]
['CO', 48, 'BO', 17, 'ls', 'codeblocks', 'O3', 'O2', 0.8932765744334543, 23.519450902938843]
['CO', 312, 'BO', 42, 'sha384sum', 'cmp', 'O0', 'O1', 0.13309352517985618, 0.061126708984375]
['CO', 329, 'BO', 83, 'stdbuf', 'lua', 'O0', 'O2', 0.7832817337461301, 0.6498165130615234]
['CO', 392, 'BO', 27, 'uname', 'perl', 'O0', 'O3', 0.9628617599529896, 3.747516632080078]
['CO', 184, 'BO', 71, 'uname', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9524717244884991, 9.790350675582886]
['BO', 61, 'CO', 229, 'git', 'mktemp', 'O1', 'O2', 0.9712475061612487, 8.729900121688843]
['UO', 40, 'CO', 110, 'objdump', 'mkdir', 'O2', 'O1', 0.9030296075281157, 2.4503185749053955]
['CO', 255, 'BO', 9, 'numfmt', 'git', 'O2', 'O0', 0.9703611018788246, 10.034371376037598]
['BO', 5, 'CO', 178, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O1', 0.9732144279003105, 39.56487035751343]
['UO', 53, 'CO', 229, 'gprof', 'mktemp', 'O3', 'O2', 0.8748297002724795, 1.191469430923462]
['UO', 53, 'CO', 367, 'gprof', 'cp', 'O3', 'O0', 0.5561519988698969, 1.9409122467041016]
['UO', 36, 'CO', 90, 'addr2line', 'tr', 'O2', 'O3', 0.8592929023065278, 1.2324793338775635]
['CO', 275, 'UO', 66, 'nohup', 'nm', 'O2', 'O0', 0.9355102517670425, 3.280620813369751]
['CO', 356, 'UO', 56, 'seq', 'elfedit', 'O0', 'O3', 0.14826910516002612, 0.05106234550476074]
['CO', 135, 'UO', 45, 'date', 'strip', 'O1', 'O3', 0.8358483621641516, 1.7963950634002686]
['CO', 269, 'BO', 7, 'cksum', 'sort', 'O2', 'O0', 0.6860242501595405, 0.1982724666595459]
['CO', 352, 'UO', 75, 'sync', 'gprof', 'O0', 'O0', 0.9253093363329584, 3.4650726318359375]
['CO', 154, 'UO', 23, 'dircolors', 'cmp', 'O1', 'O2', 0.09924709103353868, 0.04566836357116699]
['UO', 47, 'CO', 128, 'as', 'tee', 'O3', 'O1', 0.9189742989286341, 1.9570350646972656]
['CO', 28, 'UO', 33, 'factor', 'objcopy', 'O3', 'O2', 0.8514410798978475, 1.8199670314788818]
['BO', 38, 'CO', 240, 'acyclic', 'expr', 'O2', 'O2', 0.5191570881226054, 0.023871898651123047]
['CO', 399, 'UO', 71, 'id', 'c++filt', 'O0', 'O0', 0.8946564885496183, 3.417130470275879]
['UO', 68, 'CO', 247, 'readelf', 'paste', 'O0', 'O2', 0.8809310653536258, 0.6649422645568848]
['CO', 79, 'UO', 61, 'link', 'find', 'O3', 'O3', 0.7879282218597063, 0.4159388542175293]
['BO', 40, 'CO', 318, 'lua', 'mkdir', 'O0', 'O0', 0.6705688677519663, 1.2496333122253418]
['CO', 262, 'UO', 44, 'true', 'nm', 'O2', 'O3', 0.9211330186059428, 1.14866042137146]
['UO', 2, 'BO', 6, 'find', 'codeblocks', 'O1', 'O0', 0.818234670496905, 96.26834177970886]
['CO', 378, 'UO', 35, 'runcon', 'gprof', 'O0', 'O2', 0.8764343921503409, 1.6124653816223145]
['UO', 39, 'BO', 81, 'size', 'sort', 'O2', 'O3', 0.6658203744842907, 1.5889270305633545]
['UO', 72, 'CO', 131, 'strings', 'wc', 'O0', 'O1', 0.9031993437243643, 3.037813186645508]
['CO', 270, 'BO', 15, 'printf', 'diff', 'O2', 'O0', 0.6028665273215885, 0.22141718864440918]
['UO', 29, 'BO', 26, 'as', 'gvmap', 'O2', 'O3', 0.7089776961159597, 2.937964916229248]
['CO', 233, 'BO', 47, 'chgrp', 'libvlc.so.12.0.0', 'O2', 'O0', 0.6604724409448819, 1.0493333339691162]
