['BO', 16, 'CO', 148, 'make', 'seq', 'O0', 'O1', 0.7512794268167861, 0.32850217819213867]
['CO', 45, 'UO', 72, 'split', 'strings', 'O3', 'O0', 0.873781367176233, 3.4250175952911377]
['UO', 20, 'BO', 26, 'diff', 'gvmap', 'O1', 'O3', 0.14665104471782853, 0.3249645233154297]
['CO', 395, 'BO', 69, 'csplit', 'cmp', 'O0', 'O3', 0.26097930338213016, 0.07352828979492188]
['UO', 64, 'CO', 93, 'diff', 'nl', 'O3', 'O3', 0.5130609511051574, 0.11047577857971191]
['CO', 407, 'UO', 87, 'sha224sum', 'find', 'O0', 'O0', 0.7661833247022268, 1.0174753665924072]
['BO', 46, 'CO', 150, 'ruby', 'whoami', 'O3', 'O1', 0.9829208677054689, 17.365404844284058]
['BO', 25, 'UO', 53, 'dot', 'gprof', 'O3', 'O3', 0.9599430300872351, 1.1060843467712402]
['CO', 412, 'BO', 29, 'tac', 'libvlc.so.12.0.0', 'O0', 'O2', 0.6645498692566305, 0.7046482563018799]
['CO', 341, 'BO', 71, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9407975072634637, 10.158071756362915]
['UO', 1, 'CO', 232, 'xargs', 'tee', 'O1', 'O2', 0.39280283831728324, 0.08893036842346191]
['CO', 69, 'UO', 54, 'who', 'addr2line', 'O3', 'O3', 0.8465996558906095, 1.2693541049957275]
['BO', 66, 'CO', 306, 'svn', 'sleep', 'O2', 'O2', 0.8380513495720869, 0.6302742958068848]
['UO', 67, 'CO', 344, 'strip', 'expr', 'O0', 'O0', 0.8984148795210286, 4.019673824310303]
['CO', 80, 'UO', 20, 'uname', 'diff', 'O3', 'O1', 0.5904795239761989, 0.13592982292175293]
['CO', 227, 'UO', 82, 'dd', 'cmp', 'O2', 'O0', 0.12635735439289242, 0.0750575065612793]
['BO', 40, 'UO', 50, 'lua', 'strings', 'O0', 'O3', 0.16304178562159355, 3.589118242263794]
['UO', 50, 'CO', 198, 'strings', 'rm', 'O3', 'O1', 0.7739875798128225, 1.2363994121551514]
['CO', 83, 'BO', 11, 'csplit', 'ssh', 'O3', 'O1', 0.8749305512685969, 2.4527599811553955]
['BO', 47, 'CO', 301, 'libvlc.so.12.0.0', 'nl', 'O0', 'O2', 0.7971560733253383, 0.7741696834564209]
['UO', 21, 'BO', 11, 'sdiff', 'ssh', 'O1', 'O1', 0.8760887022052011, 2.5705738067626953]
['UO', 15, 'CO', 353, 'elfedit', 'echo', 'O1', 'O0', 0.1549707602339181, 0.0436553955078125]
['CO', 139, 'UO', 52, 'base32', 'ld', 'O1', 'O3', 0.9174355901737568, 2.4966821670532227]
