['CV', 101, 'BV', 11, 'dirname', 'bash', 'V3', 'V1', 0.9462471320878401, 3.000249147415161]
['UV', 43, 'CV', 168, 'sdiff', 'sleep', 'V3', 'V3', 0.27743526510480887, 0.0410306453704834]
['BV', 40, 'CV', 44, 'lua', 'true', 'V2', 'V2', 0.8732621103468462, 0.37091755867004395]
['CV', 115, 'UV', 19, 'chown', 'elfedit', 'V3', 'V2', 0.3068062827225131, 0.050791025161743164]
['CV', 268, 'UV', 83, 'dir', 'addr2line', 'V1', 'V0', 0.7703922249219021, 1.451089859008789]
['UV', 55, 'BV', 70, 'ranlib', 'ssh', 'V1', 'V0', 0.42997258758142, 13.614460945129395]
['BV', 1, 'CV', 216, 'libSDL2-2.0.so', 'dircolors', 'V3', 'V0', 0.956501915010031, 6.241903305053711]
['UV', 1, 'CV', 103, 'xargs', 'dd', 'V2', 'V3', 0.07592024539877307, 0.08359837532043457]
['UV', 76, 'CV', 18, 'as', 'pwd', 'V0', 'V2', 0.9293619594798911, 1.820582628250122]
['CV', 9, 'UV', 47, 'users', 'sdiff', 'V2', 'V1', 0.30434782608695654, 0.03894758224487305]
['BV', 71, 'UV', 68, 'ruby', 'diff', 'V1', 'V0', 0.9080919080919081, 0.05072808265686035]
['CV', 335, 'BV', 12, 'pathchk', 'sort', 'V1', 'V2', 0.6042084168336673, 0.059052467346191406]
['UV', 3, 'CV', 159, 'diff3', 'id', 'V2', 'V3', 0.1391106043329533, 0.045404672622680664]
['CV', 200, 'UV', 58, 'date', 'objcopy', 'V0', 'V1', 0.9107451740123158, 1.7667813301086426]
['UV', 12, 'CV', 31, 'c++filt', 'sha1sum', 'V2', 'V2', 0.8949082029483585, 1.099520206451416]
['UV', 80, 'CV', 18, 'objcopy', 'pwd', 'V0', 'V2', 0.9156678700361011, 1.366762638092041]
['CV', 208, 'UV', 13, 'echo', 'strings', 'V0', 'V2', 0.9363828031900265, 1.1533751487731934]
['UV', 28, 'CV', 311, 'strings', 'cksum', 'V3', 'V1', 0.9296127774166589, 1.036386489868164]
['BV', 47, 'CV', 213, 'dot', 'whoami', 'V3', 'V0', 0.29692832764505117, 0.010158061981201172]
['UV', 38, 'CV', 166, 'xargs', 'fold', 'V3', 'V3', 0.3450527373179306, 0.07407665252685547]
['BV', 77, 'CV', 58, 'perl', 'readlink', 'V2', 'V2', 0.9578190300320731, 2.77958607673645]
['BV', 31, 'CV', 0, 'codeblocks', 'touch', 'V0', 'V2', 0.9601847778266608, 11.692495584487915]
['UV', 55, 'CV', 27, 'ranlib', 'expr', 'V1', 'V2', 0.7839409176618479, 1.277376651763916]
['CV', 95, 'BV', 3, 'du', 'diff', 'V3', 'V1', 0.06301515554373838, 0.1618666648864746]
['UV', 8, 'BV', 36, 'strip', 'libvlc.so', 'V2', 'V2', 0.4680935845619627, 2.811605930328369]
['CV', 4, 'UV', 19, 'basename', 'elfedit', 'V2', 'V2', 0.21447028423772607, 0.023921966552734375]
['CV', 210, 'BV', 32, 'chroot', 'perl', 'V0', 'V0', 0.9689811097493978, 2.5180745124816895]
['CV', 211, 'UV', 18, 'seq', 'ar', 'V0', 'V2', 0.9289200993405841, 1.2998387813568115]
['CV', 136, 'BV', 74, 'tsort', 'git', 'V3', 'V1', 0.9660977429584033, 6.577253818511963]
['CV', 134, 'UV', 34, 'od', 'elfedit', 'V3', 'V3', 0.2194323144104804, 0.04639554023742676]
['BV', 1, 'CV', 310, 'libSDL2-2.0.so', 'tsort', 'V3', 'V1', 0.960076740361776, 6.166120767593384]
['BV', 14, 'CV', 46, 'openssl', 'cut', 'V3', 'V2', 0.9288746247023502, 6.753218650817871]
['CV', 257, 'BV', 38, 'tac', 'ruby', 'V0', 'V2', 0.8595419847328244, 0.02067255973815918]
['CV', 330, 'UV', 22, 'csplit', 'nm', 'V1', 'V3', 0.7645303042865434, 1.511735200881958]
['CV', 326, 'BV', 41, 'env', 'libvlccore.so', 'V1', 'V1', 0.9606842248167254, 3.4219043254852295]
['UV', 15, 'CV', 237, 'ld', 'mv', 'V2', 'V0', 0.8484830771029404, 2.141223669052124]
['UV', 82, 'CV', 318, 'gprof', 'who', 'V0', 'V1', 0.9015294724179412, 1.1021742820739746]
['UV', 73, 'CV', 215, 'nm', 'nice', 'V0', 'V0', 0.9278340928113085, 0.9923639297485352]
['CV', 245, 'BV', 51, '[', 'cp', 'V0', 'V0', 0.39272271016311167, 0.04089856147766113]
['CV', 112, 'UV', 55, 'expand', 'ranlib', 'V3', 'V1', 0.8836900613904098, 1.3607866764068604]
['UV', 63, 'CV', 62, 'elfedit', 'unexpand', 'V1', 'V2', 0.18624161073825507, 0.025305747985839844]
['UV', 17, 'CV', 201, 'addr2line', 'expr', 'V2', 'V0', 0.7879400370557521, 1.179455280303955]
['CV', 148, 'UV', 22, 'ginstall', 'nm', 'V3', 'V3', 0.6488679391082606, 1.9641776084899902]
['BV', 46, 'CV', 300, 'cluster', 'whoami', 'V3', 'V1', 0.7617212588310854, 0.1151132583618164]
['CV', 60, 'UV', 63, 'hostid', 'elfedit', 'V2', 'V1', 0.2244541484716157, 0.023529052734375]
['CV', 347, 'BV', 26, 'ln', 'geany', 'V1', 'V2', 0.9773869346733668, 29.289698839187622]
['CV', 198, 'UV', 71, 'factor', 'xargs', 'V0', 'V0', 0.19844357976653693, 0.02240157127380371]
['CV', 146, 'UV', 75, 'head', 'readelf', 'V3', 'V0', 0.5607348505621058, 0.11551809310913086]
['BV', 26, 'UV', 48, 'geany', 'locate', 'V2', 'V1', 0.9321021582206588, 27.60124897956848]
['UV', 48, 'BV', 72, 'locate', 'perl', 'V1', 'V1', 0.8817259207250909, 4.3793487548828125]
['CV', 337, 'UV', 60, 'comm', 'gprof', 'V1', 'V1', 0.9223816236835558, 1.2925441265106201]
['CV', 112, 'UV', 45, 'expand', 'cmp', 'V3', 'V1', 0.13145216792842396, 0.03532075881958008]
['CV', 168, 'UV', 69, 'sleep', 'sdiff', 'V3', 'V0', 0.27852760736196314, 0.04019927978515625]
['BV', 38, 'CV', 38, 'ruby', 'split', 'V2', 'V2', 0.8283582089552238, 0.018118619918823242]
['UV', 64, 'CV', 11, 'size', 'printenv', 'V1', 'V2', 0.9195350916405901, 1.0646183490753174]
['CV', 112, 'UV', 19, 'expand', 'elfedit', 'V3', 'V2', 0.15636363636363637, 0.03226780891418457]
['BV', 45, 'CV', 89, 'svn', 'unlink', 'V3', 'V3', 0.8358773281053073, 0.7056257724761963]
['CV', 64, 'UV', 34, 'md5sum', 'elfedit', 'V2', 'V3', 0.16904583020285502, 0.033715009689331055]
['CV', 173, 'BV', 63, 'ln', 'ruby', 'V3', 'V0', 0.943782210157756, 15.83723783493042]
['UV', 73, 'CV', 271, 'nm', 'ptx', 'V0', 'V1', 0.7778730703259005, 1.108992099761963]
['UV', 65, 'BV', 46, 'objdump', 'cluster', 'V1', 'V3', 0.6924974767298419, 2.3829379081726074]
['CV', 44, 'UV', 14, 'true', 'objcopy', 'V2', 'V2', 0.9350191340886921, 1.490835428237915]
['CV', 327, 'UV', 50, 'link', 'find', 'V1', 'V1', 0.8100442362737444, 0.18312311172485352]
['CV', 168, 'BV', 57, 'sleep', 'svn', 'V3', 'V2', 0.7805891921200072, 0.520026445388794]
