['BV', 45, 'UV', 22, 'svn', 'nm', 'V3', 'V3', 0.2631762652705061, 4.210675001144409]
['UV', 1, 'CV', 130, 'xargs', 'chmod', 'V2', 'V3', 0.10625787484250315, 0.07240939140319824]
['BV', 13, 'CV', 75, 'cp', 'tr', 'V2', 'V2', 0.43394648829431437, 0.07836198806762695]
['CV', 141, 'BV', 1, 'false', 'libSDL2-2.0.so', 'V3', 'V3', 0.9501886106440031, 6.993074893951416]
['CV', 255, 'BV', 76, 'sleep', 'diff', 'V0', 'V2', 0.7034772640427971, 0.09542179107666016]
['UV', 61, 'CV', 338, 'addr2line', 'nl', 'V1', 'V1', 0.7988573349016972, 1.2307071685791016]
['UV', 27, 'CV', 238, 'c++filt', 'md5sum', 'V3', 'V0', 0.9072136308917492, 1.1345758438110352]
['UV', 20, 'CV', 99, 'size', 'stty', 'V2', 'V3', 0.8456870394451669, 1.2000830173492432]
['UV', 39, 'BV', 18, 'find', 'sort', 'V3', 'V3', 0.4202693125442949, 0.5672023296356201]
['UV', 26, 'CV', 36, 'ranlib', 'chroot', 'V3', 'V2', 0.8940363450217558, 1.2543954849243164]
['UV', 27, 'CV', 85, 'c++filt', 'mknod', 'V3', 'V2', 0.9017543859649123, 1.0940334796905518]
['BV', 11, 'CV', 268, 'bash', 'dir', 'V1', 'V1', 0.8782647989154994, 3.290907621383667]
['CV', 20, 'BV', 27, 'tee', 'libSDL2-2.0.so', 'V2', 'V1', 0.9411048378168936, 4.845255374908447]
['BV', 62, 'UV', 11, 'diff', 'ranlib', 'V0', 'V2', 0.8027853369617416, 1.6715116500854492]
['CV', 303, 'BV', 16, 'dircolors', 'libvlc.so', 'V1', 'V3', 0.8094685990338164, 0.45121264457702637]
['CV', 304, 'BV', 58, 'chmod', 'ruby', 'V1', 'V3', 0.8038379530916845, 0.016126155853271484]
['UV', 18, 'BV', 64, 'ar', 'openssl', 'V2', 'V2', 0.35945401181088443, 17.27490782737732]
['UV', 28, 'CV', 253, 'strings', 'fold', 'V3', 'V0', 0.923895935561522, 1.0876951217651367]
['BV', 10, 'UV', 53, 'gvmap', 'readelf', 'V2', 'V1', 0.11039729501267959, 0.29656028747558594]
['BV', 54, 'CV', 231, 'lua', 'who', 'V3', 'V0', 0.8491275167785235, 0.45720410346984863]
['BV', 49, 'CV', 311, 'make', 'cksum', 'V3', 'V1', 0.8522417153996101, 0.23366379737854004]
['CV', 45, 'BV', 39, 'cp', 'svn', 'V2', 'V1', 0.4862827856496834, 0.7080786228179932]
['CV', 66, 'UV', 1, 'link', 'xargs', 'V2', 'V2', 0.4546491728465487, 0.04633593559265137]
['CV', 6, 'UV', 62, 'fmt', 'ar', 'V2', 'V1', 0.9056651279899287, 1.3290417194366455]
['CV', 291, 'BV', 78, 'pinky', 'make', 'V1', 'V2', 0.7755788640411637, 0.27349257469177246]
['CV', 143, 'BV', 70, 'yes', 'ssh', 'V3', 'V0', 0.959513053074456, 4.606080770492554]
['BV', 21, 'CV', 122, 'cp', 'sum', 'V1', 'V3', 0.199790246460409, 0.05406379699707031]
