['UO', 6, 'CO', 294, 'as', 'timeout', 'O1', 'O2', 0.9211295571121284, 2.6051735877990723]
['BO', 29, 'CO', 398, 'libvlc.so.12.0.0', 'timeout', 'O2', 'O0', 0.6567717996289425, 0.6378400325775146]
['CO', 303, 'BO', 33, 'sha224sum', 'sort', 'O2', 'O2', 0.4986269125147116, 0.12410902976989746]
['BO', 13, 'CO', 296, 'ruby', 'shred', 'O1', 'O2', 0.9700722394220846, 18.111530542373657]
['BO', 8, 'CO', 158, 'cp', 'true', 'O0', 'O1', 0.7156088259329882, 0.221205472946167]
['UO', 47, 'CO', 4, 'as', 'test', 'O3', 'O3', 0.9132617324305393, 1.9198007583618164]
['UO', 26, 'CO', 149, 'nm', 'split', 'O2', 'O1', 0.8321280991735537, 1.363574504852295]
['BO', 3, 'CO', 414, 'openssl', 'mknod', 'O1', 'O0', 0.8632802836645502, 11.946861505508423]
['CO', 163, 'BO', 7, 'tsort', 'sort', 'O1', 'O0', 0.5896510228640193, 0.2258903980255127]
['BO', 23, 'CO', 106, 'git', 'stat', 'O2', 'O1', 0.9500406331024341, 9.588308572769165]
['UO', 38, 'CO', 308, 'elfedit', 'tac', 'O2', 'O2', 0.1451149425287357, 0.04077291488647461]
['UO', 71, 'CO', 301, 'c++filt', 'nl', 'O0', 'O2', 0.9288617886178862, 2.813222646713257]
['CO', 146, 'UO', 86, 'sum', 'xargs', 'O1', 'O0', 0.38364249578414844, 0.13361096382141113]
['UO', 55, 'CO', 342, 'ar', 'expand', 'O3', 'O0', 0.8670341026524285, 1.2176854610443115]
['CO', 316, 'BO', 69, 'test', 'cmp', 'O0', 'O3', 0.12792127921279217, 0.0582273006439209]
['CO', 266, 'BO', 58, 'df', 'svn', 'O2', 'O1', 0.6072254335260115, 0.9707205295562744]
['UO', 40, 'CO', 81, 'objdump', 'cat', 'O2', 'O3', 0.9205512768544791, 2.336610794067383]
['CO', 231, 'UO', 32, 'pr', 'strings', 'O2', 'O2', 0.819614711033275, 1.5207700729370117]
['UO', 73, 'CO', 248, 'objcopy', 'sync', 'O0', 'O2', 0.9501915708812261, 3.537442922592163]
['UO', 1, 'CO', 40, 'xargs', 'sync', 'O1', 'O3', 0.3876123876123876, 0.08036518096923828]
['CO', 152, 'UO', 75, 'ls', 'gprof', 'O1', 'O0', 0.7850257906528422, 4.889373064041138]
['UO', 74, 'BO', 38, 'ld', 'acyclic', 'O0', 'O2', 0.9783161104523124, 5.1525232791900635]
['CO', 369, 'BO', 17, 'od', 'codeblocks', 'O0', 'O2', 0.9412036561569271, 20.564809560775757]
['UO', 3, 'CO', 127, 'nm', 'pr', 'O1', 'O1', 0.8139002452984464, 1.6608967781066895]
['CO', 259, 'BO', 8, 'realpath', 'cp', 'O2', 'O0', 0.6282316442605997, 0.2711179256439209]
['CO', 91, 'UO', 63, 'comm', 'cmp', 'O3', 'O3', 0.13474240422721273, 0.039139509201049805]
['CO', 86, 'UO', 70, 'timeout', 'ranlib', 'O3', 'O0', 0.9072499440590737, 3.553452491760254]
