['CO', 371, 'BO', 41, 'tsort', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.9243549648162627, 8.122095823287964]
['BO', 27, 'CO', 81, 'perl', 'cat', 'O3', 'O3', 0.9597524128017836, 3.0869154930114746]
['CO', 192, 'BO', 72, 'shred', 'make', 'O1', 'O2', 0.6318049115576163, 0.4122154712677002]
['BO', 74, 'CO', 147, 'dot', 'chroot', 'O1', 'O1', 0.5484536082474227, 0.025712966918945312]
['CO', 360, 'BO', 74, 'ls', 'dot', 'O0', 'O1', 0.8512888301387971, 0.1768937110900879]
['UO', 33, 'CO', 98, 'objcopy', 'sleep', 'O2', 'O3', 0.9079630047371983, 1.525782823562622]
['UO', 81, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9554643730766196, 50.01888823509216]
['BO', 83, 'CO', 250, 'lua', 'sum', 'O2', 'O2', 0.8314785373608903, 0.5121951103210449]
['CO', 376, 'BO', 55, 'tty', 'make', 'O0', 'O1', 0.758640664220892, 0.34587812423706055]
['BO', 56, 'CO', 321, 'libvlc.so.12.0.0', 'du', 'O3', 'O0', 0.3926594815030586, 0.8924777507781982]
['UO', 34, 'CO', 139, 'ld', 'base32', 'O2', 'O1', 0.9178833204219057, 2.467294454574585]
['CO', 220, 'UO', 58, 'ptx', 'objdump', 'O2', 'O3', 0.8822995804512983, 2.5589005947113037]
['CO', 187, 'BO', 57, 'csplit', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9237067947405716, 7.0890913009643555]
['CO', 259, 'BO', 1, 'realpath', 'ssh', 'O2', 'O2', 0.9094287333879196, 2.2730507850646973]
['BO', 6, 'CO', 167, 'codeblocks', 'logname', 'O0', 'O1', 0.9790065325417356, 38.65154218673706]
['UO', 69, 'CO', 356, 'as', 'seq', 'O0', 'O0', 0.9354150197628458, 5.087987422943115]
['CO', 13, 'BO', 54, 'printenv', 'lua', 'O3', 'O3', 0.846765350877193, 0.4329819679260254]
['UO', 0, 'CO', 263, 'locate', 'cp', 'O1', 'O2', 0.1179656227925594, 0.2955970764160156]
['CO', 236, 'BO', 3, 'factor', 'openssl', 'O2', 'O1', 0.921101853426288, 12.722848176956177]
['CO', 295, 'UO', 41, 'id', 'locate', 'O2', 'O2', 0.5477839335180056, 0.15381741523742676]
['CO', 184, 'BO', 62, 'uname', 'bash', 'O1', 'O1', 0.9528729838709677, 4.021504640579224]
['CO', 319, 'BO', 73, 'fmt', 'cluster', 'O0', 'O1', 0.5458638154192459, 0.19522738456726074]
['BO', 35, 'UO', 46, 'make', 'readelf', 'O3', 'O3', 0.12310159418922739, 0.8363707065582275]
['UO', 83, 'CO', 353, 'diff', 'echo', 'O0', 'O0', 0.6301245065290009, 0.20154500007629395]
['UO', 16, 'BO', 72, 'size', 'make', 'O1', 'O2', 0.4027449728694542, 2.3413546085357666]
['UO', 76, 'CO', 43, 'addr2line', 'chroot', 'O0', 'O3', 0.9087117429360277, 2.875044822692871]
['UO', 73, 'BO', 14, 'objcopy', 'cmp', 'O0', 'O0', 0.910320987654321, 3.692627191543579]
['BO', 67, 'CO', 142, 'libSDL2-2.0.so.0.16.0', 'sha1sum', 'O1', 'O1', 0.9308185190538132, 7.146062612533569]
['UO', 51, 'CO', 219, 'objcopy', 'groups', 'O3', 'O2', 0.9153674832962138, 1.323889970779419]
['BO', 37, 'UO', 81, 'gvmap', 'diff3', 'O2', 'O0', 0.39005363237445145, 0.22832489013671875]
['CO', 329, 'BO', 63, 'stdbuf', 'cluster', 'O0', 'O0', 0.6603006907761073, 0.3138298988342285]
['CO', 22, 'UO', 87, 'pwd', 'find', 'O3', 'O0', 0.813836143938388, 0.8904452323913574]
['CO', 141, 'UO', 74, 'truncate', 'ld', 'O1', 'O0', 0.9487692949520233, 6.007139205932617]
['BO', 57, 'CO', 48, 'libvlccore.so.9.0.0', 'ls', 'O3', 'O3', 0.840228889809133, 6.807723522186279]
['BO', 6, 'CO', 123, 'codeblocks', 'dd', 'O0', 'O1', 0.9552082375655052, 40.67372989654541]
['CO', 305, 'BO', 27, 'uniq', 'perl', 'O2', 'O3', 0.9576849816849817, 3.7935597896575928]
['BO', 68, 'CO', 159, 'git', 'cp', 'O3', 'O1', 0.9227701993704093, 10.081690311431885]
['BO', 49, 'CO', 399, 'svn', 'id', 'O0', 'O0', 0.745273631840796, 0.7723608016967773]
['BO', 62, 'CO', 41, 'bash', 'echo', 'O1', 'O3', 0.9522169969768223, 3.517859697341919]
['CO', 390, 'UO', 32, 'chcon', 'strings', 'O0', 'O2', 0.732099691589564, 1.9096903800964355]
['CO', 318, 'UO', 49, 'mkdir', 'c++filt', 'O0', 'O3', 0.6948752528658125, 1.75555419921875]
