['UV', 23, 'CV', 284, 'strip', 'wc', 'V3', 'V1', 0.9224183650276536, 1.5216879844665527]
['CV', 313, 'UV', 58, 'logname', 'objcopy', 'V1', 'V1', 0.9486311035845328, 1.6952168941497803]
['CV', 141, 'BV', 26, 'false', 'geany', 'V3', 'V2', 0.9794282711113613, 30.633073091506958]
['CV', 302, 'UV', 32, 'nice', 'addr2line', 'V1', 'V3', 0.9263701789998154, 1.243882656097412]
['CV', 83, 'BV', 56, 'tac', 'ssh', 'V2', 'V3', 0.8329281216881741, 2.391758441925049]
['UV', 33, 'CV', 338, 'ar', 'nl', 'V3', 'V1', 0.8053183703342278, 1.4281632900238037]
['CV', 66, 'BV', 76, 'link', 'diff', 'V2', 'V2', 0.6468415219800517, 0.1022806167602539]
['BV', 2, 'CV', 79, 'cmp', 'fold', 'V1', 'V2', 0.18944099378881984, 0.030497074127197266]
['CV', 338, 'BV', 36, 'nl', 'libvlc.so', 'V1', 'V2', 0.5979557069846678, 0.5808885097503662]
['UV', 28, 'CV', 102, 'strings', 'uptime', 'V3', 'V3', 0.8487544483985765, 1.2549679279327393]
['UV', 38, 'CV', 172, 'xargs', 'mknod', 'V3', 'V3', 0.34468937875751504, 0.07798647880554199]
['CV', 273, 'BV', 72, 'stty', 'perl', 'V1', 'V1', 0.9622603833865815, 3.240856409072876]
['UV', 1, 'CV', 152, 'xargs', 'env', 'V2', 'V3', 0.33090909090909093, 0.05598306655883789]
