['BV', 67, 'CV', 36, 'cluster', 'chroot', 'V0', 'V2', 0.5976447497546614, 0.11785244941711426]
['UV', 63, 'CV', 283, 'elfedit', 'kill', 'V1', 'V1', 0.21332133213321336, 0.025302648544311523]
['BV', 76, 'CV', 107, 'diff', 'tee', 'V2', 'V3', 0.4989926124916051, 0.10471153259277344]
['BV', 44, 'UV', 55, 'make', 'ranlib', 'V0', 'V1', 0.48350649350649344, 2.6276254653930664]
['UV', 56, 'CV', 28, 'c++filt', 'chown', 'V1', 'V2', 0.8217395052150677, 1.186305046081543]
['BV', 53, 'CV', 181, 'ssh', 'dir', 'V2', 'V0', 0.9147621988882026, 5.000481367111206]
['BV', 60, 'CV', 39, 'codeblocks', 'whoami', 'V1', 'V2', 0.9737756118575159, 11.94500207901001]
['CV', 129, 'BV', 43, 'dircolors', 'lua', 'V3', 'V0', 0.7665282657297988, 0.40532922744750977]
['UV', 9, 'BV', 73, 'readelf', 'geany', 'V2', 'V0', 0.8499957887644235, 30.661314010620117]
['UV', 73, 'CV', 228, 'nm', 'false', 'V0', 'V0', 0.939921392476137, 0.9610280990600586]
['CV', 31, 'BV', 14, 'sha1sum', 'openssl', 'V2', 'V3', 0.9395169685613158, 7.728902339935303]
['CV', 45, 'UV', 42, 'cp', 'diff', 'V2', 'V3', 0.14947156517362858, 0.18336129188537598]
['BV', 60, 'CV', 7, 'codeblocks', 'dir', 'V1', 'V2', 0.9156975984529752, 13.3364999294281]
['BV', 8, 'CV', 138, 'cluster', 'printf', 'V2', 'V3', 0.5514809590973202, 0.14631891250610352]
['CV', 51, 'UV', 10, 'printf', 'as', 'V2', 'V2', 0.914791547687036, 2.35267972946167]
['CV', 321, 'UV', 44, 'hostid', 'diff3', 'V1', 'V1', 0.4681481481481482, 0.03029465675354004]
['CV', 10, 'BV', 53, 'ptx', 'ssh', 'V2', 'V2', 0.8922478876859318, 6.401666641235352]
['UV', 3, 'CV', 325, 'diff3', 'md5sum', 'V2', 'V1', 0.3459715639810427, 0.03669381141662598]
['CV', 131, 'UV', 60, 'true', 'gprof', 'V3', 'V1', 0.9097124969107834, 1.2917404174804688]
['UV', 3, 'CV', 67, 'diff3', 'uname', 'V2', 'V2', 0.3491847826086957, 0.0324397087097168]
['BV', 74, 'CV', 151, 'git', 'md5sum', 'V1', 'V3', 0.9647692056760724, 5.654129981994629]
['UV', 63, 'CV', 35, 'elfedit', 'sum', 'V1', 'V2', 0.1444015444015444, 0.030125856399536133]
['UV', 78, 'CV', 33, 'c++filt', 'sync', 'V0', 'V2', 0.9134578726648875, 0.9174766540527344]
['UV', 66, 'BV', 16, 'diff3', 'libvlc.so', 'V0', 'V3', 0.6601237842617153, 0.5347893238067627]
['CV', 194, 'UV', 64, 'tee', 'size', 'V0', 'V1', 0.9241799605664097, 1.159999132156372]
['CV', 206, 'UV', 42, 'paste', 'diff', 'V0', 'V3', 0.7049056603773585, 0.09347963333129883]
['CV', 291, 'BV', 43, 'pinky', 'lua', 'V1', 'V0', 0.8139153265507056, 0.38645100593566895]
['UV', 68, 'CV', 64, 'diff', 'md5sum', 'V0', 'V2', 0.5298358029635563, 0.07817864418029785]
['CV', 291, 'BV', 80, 'pinky', 'cluster', 'V1', 'V1', 0.6579026896343306, 0.14719009399414062]
['CV', 346, 'UV', 74, 'mknod', 'strip', 'V1', 'V0', 0.9383401519579193, 1.4600398540496826]
['UV', 34, 'CV', 315, 'elfedit', 'false', 'V3', 'V1', 0.38661710037174724, 0.023001432418823242]
['CV', 249, 'BV', 72, 'tr', 'perl', 'V0', 'V1', 0.9631097053437656, 2.9538018703460693]
['UV', 50, 'CV', 113, 'find', 'date', 'V1', 'V3', 0.5091971434754382, 0.22246718406677246]
['UV', 16, 'CV', 58, 'gprof', 'readlink', 'V2', 'V2', 0.8925033025099075, 1.1928553581237793]
['CV', 143, 'BV', 23, 'yes', 'diff', 'V3', 'V3', 0.5874912157413914, 0.10355401039123535]
['CV', 235, 'BV', 74, 'ginstall', 'git', 'V0', 'V1', 0.9439782368129841, 7.499086856842041]
['CV', 229, 'BV', 1, 'nohup', 'libSDL2-2.0.so', 'V0', 'V3', 0.960076740361776, 6.689688682556152]
['UV', 8, 'CV', 53, 'strip', 'tty', 'V2', 'V2', 0.9287958115183246, 1.3490231037139893]
['CV', 181, 'BV', 82, 'dir', 'gvmap', 'V0', 'V1', 0.40274491244675814, 0.22604131698608398]
['CV', 251, 'BV', 59, 'nl', 'make', 'V0', 'V1', 0.5723203138933476, 0.30227065086364746]
['CV', 252, 'UV', 50, 'rm', 'find', 'V0', 'V1', 0.6439518981372317, 0.230743408203125]
['CV', 91, 'BV', 70, 'basename', 'ssh', 'V3', 'V0', 0.9584999310630085, 4.471508979797363]
['CV', 281, 'BV', 20, 'tee', 'sort', 'V1', 'V1', 0.4378238341968912, 0.04096198081970215]
['BV', 81, 'CV', 254, 'dot', 'uniq', 'V1', 'V0', 0.44052287581699345, 0.014547109603881836]
['UV', 63, 'BV', 22, 'elfedit', 'cmp', 'V1', 'V3', 0.1362359550561798, 0.036416053771972656]
['CV', 111, 'BV', 29, 'factor', 'perl', 'V3', 'V3', 0.9288236322321273, 3.708568572998047]
['CV', 179, 'BV', 29, 'mkdir', 'perl', 'V0', 'V3', 0.961532992036405, 3.3487017154693604]
['UV', 54, 'BV', 37, 'as', 'geany', 'V1', 'V1', 0.5056263396046677, 110.14355158805847]
['CV', 87, 'UV', 1, 'touch', 'xargs', 'V3', 'V2', 0.07302904564315349, 0.07656431198120117]
['BV', 10, 'CV', 229, 'gvmap', 'nohup', 'V2', 'V0', 0.7398568019093079, 0.12862491607666016]
['CV', 17, 'UV', 3, 'mkfifo', 'diff3', 'V2', 'V2', 0.33288590604026846, 0.03388237953186035]
['CV', 93, 'BV', 80, 'fmt', 'cluster', 'V3', 'V1', 0.5868436237738026, 0.1521897315979004]
['BV', 7, 'UV', 26, 'libSDL2-2.0.so', 'ranlib', 'V0', 'V3', 0.22257780622449796, 9.221158027648926]
['UV', 43, 'CV', 5, 'sdiff', 'mkdir', 'V3', 'V2', 0.17291550083939566, 0.0494074821472168]
['CV', 239, 'UV', 86, 'env', 'size', 'V0', 'V0', 0.9426517441385508, 1.031982421875]
['BV', 20, 'CV', 77, 'sort', 'nl', 'V1', 'V2', 0.14391752577319594, 0.06959009170532227]
['BV', 26, 'UV', 53, 'geany', 'readelf', 'V2', 'V1', 0.8926591182328769, 28.20214009284973]
