['BO', 72, 'CO', 0, 'make', 'sha384sum', 'O2', 'O3', 0.7240754169688179, 0.29262471199035645]
['CO', 171, 'BO', 10, 'nohup', 'openssl', 'O1', 'O3', 0.9449430964140004, 12.416797399520874]
['BO', 11, 'CO', 65, 'ssh', 'false', 'O1', 'O3', 0.9303419346637855, 1.9817142486572266]
['CO', 170, 'BO', 1, 'runcon', 'ssh', 'O1', 'O2', 0.9321861057998725, 2.195842981338501]
['CO', 230, 'UO', 72, 'pwd', 'strings', 'O2', 'O0', 0.9310344827586207, 3.221835136413574]
['UO', 80, 'BO', 21, 'objdump', 'cp', 'O0', 'O1', 0.8494227370162837, 6.314681053161621]
['UO', 46, 'BO', 52, 'readelf', 'svn', 'O3', 'O3', 0.2128472222222222, 1.318530559539795]
['UO', 78, 'CO', 30, 'elfedit', 'expand', 'O0', 'O3', 0.1722772277227722, 0.042968034744262695]
['UO', 61, 'CO', 145, 'find', 'echo', 'O3', 'O1', 0.8020490303695572, 0.38257908821105957]
['UO', 45, 'CO', 89, 'strip', 'pathchk', 'O3', 'O3', 0.8977402419538918, 1.348454236984253]
['UO', 47, 'CO', 387, 'as', 'mv', 'O3', 'O0', 0.6713571938411339, 2.9118945598602295]
['BO', 31, 'CO', 408, 'bash', 'fold', 'O2', 'O0', 0.9396269633507853, 3.7958054542541504]
['UO', 19, 'BO', 6, 'cmp', 'codeblocks', 'O1', 'O0', 0.9711558068403003, 45.347954988479614]
['UO', 8, 'CO', 329, 'c++filt', 'stdbuf', 'O1', 'O0', 0.855022437003797, 1.44193696975708]
['UO', 35, 'CO', 119, 'gprof', 'join', 'O2', 'O1', 0.8594264996704021, 1.3490986824035645]
['CO', 186, 'UO', 21, 'shuf', 'sdiff', 'O1', 'O1', 0.09902912621359228, 0.08233332633972168]
['BO', 38, 'CO', 355, 'acyclic', 'chroot', 'O2', 'O0', 0.5531724754244861, 0.03623342514038086]
['UO', 63, 'CO', 316, 'cmp', 'test', 'O3', 'O0', 0.12792127921279217, 0.059953927993774414]
