['BO', 9, 'CO', 323, 'git', 'groups', 'O0', 'O0', 0.9710547417418005, 8.596614360809326]
['BO', 47, 'UO', 27, 'libvlc.so.12.0.0', 'strip', 'O0', 'O2', 0.4152490378716047, 4.411797046661377]
['UO', 87, 'CO', 329, 'find', 'stdbuf', 'O0', 'O0', 0.7807074794413262, 0.8316009044647217]
['BO', 76, 'CO', 142, 'openssl', 'sha1sum', 'O2', 'O1', 0.9386429670141856, 10.042290210723877]
['UO', 31, 'CO', 153, 'c++filt', 'nice', 'O2', 'O1', 0.892666789193163, 1.1416497230529785]
['CO', 280, 'UO', 66, 'head', 'nm', 'O2', 'O0', 0.9208115942028986, 3.293940305709839]
['UO', 59, 'CO', 140, 'locate', 'pinky', 'O3', 'O1', 0.47841347841347837, 0.1489112377166748]
['UO', 17, 'BO', 58, 'objdump', 'svn', 'O1', 'O1', 0.5118117151137261, 5.115920305252075]
['UO', 47, 'CO', 38, 'as', 'sha1sum', 'O3', 'O3', 0.9128151260504201, 1.954322099685669]
['BO', 6, 'CO', 84, 'codeblocks', 'vdir', 'O0', 'O3', 0.922476135377495, 40.4190514087677]
['CO', 402, 'BO', 4, 'tr', 'libgeany.so.0.0.0', 'O0', 'O2', 0.9685433083325422, 46.573315382003784]
['BO', 13, 'CO', 395, 'ruby', 'csplit', 'O1', 'O0', 0.9628929581298293, 18.300031423568726]
['UO', 6, 'BO', 25, 'as', 'dot', 'O1', 'O3', 0.9744912419930843, 2.2843704223632812]
['BO', 77, 'CO', 327, 'libSDL2-2.0.so.0.16.0', 'join', 'O3', 'O0', 0.9117011701170117, 6.897031307220459]
['CO', 344, 'BO', 4, 'expr', 'libgeany.so.0.0.0', 'O0', 'O2', 0.9672670345830896, 45.9240837097168]
['BO', 12, 'CO', 165, 'libgeany.so.0.0.0', 'cksum', 'O0', 'O1', 0.9048815156648559, 37.22383904457092]
['CO', 9, 'UO', 54, 'du', 'addr2line', 'O3', 'O3', 0.6928440976257679, 1.5827383995056152]
['UO', 70, 'CO', 79, 'ranlib', 'link', 'O0', 'O3', 0.9326568788617425, 2.92498779296875]
['UO', 53, 'BO', 8, 'gprof', 'cp', 'O3', 'O0', 0.5561519988698969, 1.8577287197113037]
['CO', 181, 'BO', 70, 'env', 'diff', 'O1', 'O3', 0.5764131193300768, 0.1216425895690918]
['BO', 60, 'CO', 237, 'openssl', 'nproc', 'O0', 'O2', 0.9588606355052306, 11.569241285324097]
['UO', 66, 'CO', 409, 'nm', 'uniq', 'O0', 'O0', 0.8942373656528699, 2.9660377502441406]
['CO', 97, 'BO', 40, 'uniq', 'lua', 'O3', 'O0', 0.8256615077383924, 1.000680923461914]
['CO', 364, 'UO', 55, 'sha256sum', 'ar', 'O0', 'O3', 0.846206250532232, 1.388310432434082]
['CO', 382, 'UO', 39, 'b2sum', 'size', 'O0', 'O2', 0.8156913740788904, 1.5967626571655273]
['UO', 81, 'CO', 267, 'diff3', 'tsort', 'O0', 'O2', 0.36078006500541715, 0.06821441650390625]
['UO', 14, 'CO', 133, 'ar', 'nproc', 'O1', 'O1', 0.898096488349196, 1.434443473815918]
['CO', 227, 'UO', 64, 'dd', 'diff', 'O2', 'O3', 0.3455729937814629, 0.14989089965820312]
['CO', 26, 'UO', 2, 'kill', 'find', 'O3', 'O1', 0.7800502933780386, 0.5255906581878662]
['CO', 148, 'BO', 55, 'seq', 'make', 'O1', 'O1', 0.7240204429301533, 0.3274343013763428]
['BO', 32, 'UO', 30, 'ruby', 'ranlib', 'O2', 'O2', 0.6791258347064435, 28.65083622932434]
['CO', 279, 'UO', 85, 'readlink', 'locate', 'O2', 'O0', 0.6347498655190963, 0.2581186294555664]
['UO', 54, 'CO', 389, 'addr2line', 'env', 'O3', 'O0', 0.8610806863818912, 1.0593814849853516]
['BO', 61, 'CO', 386, 'git', 'unexpand', 'O1', 'O0', 0.9692061196975322, 8.569368362426758]
['CO', 75, 'BO', 64, 'mv', 'dot', 'O3', 'O0', 0.8253411306042885, 0.08382868766784668]
['CO', 330, 'UO', 85, 'uptime', 'locate', 'O0', 'O0', 0.5325264750378215, 0.3133983612060547]
['CO', 387, 'UO', 76, 'mv', 'addr2line', 'O0', 'O0', 0.6696625751117046, 5.693090915679932]
['CO', 330, 'UO', 51, 'uptime', 'objcopy', 'O0', 'O3', 0.8616108083899381, 1.7135601043701172]
['UO', 40, 'CO', 258, 'objdump', 'dircolors', 'O2', 'O2', 0.9282558139534883, 2.2324392795562744]
['CO', 3, 'UO', 84, 'unlink', 'sdiff', 'O3', 'O0', 0.356541268950028, 0.05823254585266113]
['CO', 56, 'UO', 2, 'cut', 'find', 'O3', 'O1', 0.7522269877928076, 0.5451209545135498]
['BO', 54, 'CO', 53, 'lua', 'chmod', 'O3', 'O3', 0.7181841366998215, 0.43697595596313477]
['UO', 76, 'CO', 200, 'addr2line', 'fold', 'O0', 'O1', 0.9239696826148744, 2.7734107971191406]
['BO', 3, 'CO', 115, 'openssl', 'groups', 'O1', 'O1', 0.9447456751871934, 9.816577196121216]
['CO', 213, 'BO', 17, 'basename', 'codeblocks', 'O2', 'O2', 0.9747688450086194, 15.602906227111816]
['CO', 73, 'BO', 79, 'hostid', 'bash', 'O3', 'O3', 0.9547339732195758, 3.3791310787200928]
['BO', 20, 'CO', 292, 'sort', 'vdir', 'O1', 'O2', 0.07159005275056518, 0.2507972717285156]
['CO', 191, 'UO', 80, 'id', 'objdump', 'O1', 'O0', 0.9413647319135485, 5.865113258361816]
['UO', 31, 'CO', 260, 'c++filt', 'sha256sum', 'O2', 'O2', 0.8831489439517235, 1.1842679977416992]
['BO', 58, 'CO', 6, 'svn', 'mkdir', 'O1', 'O3', 0.7253564786112833, 0.6363372802734375]
['CO', 241, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9644267545632638, 42.38356304168701]
['CO', 162, 'UO', 35, 'df', 'gprof', 'O1', 'O2', 0.7746146586977036, 1.8488013744354248]
['UO', 71, 'BO', 37, 'c++filt', 'gvmap', 'O0', 'O2', 0.7001053740779768, 3.464132308959961]
['UO', 0, 'CO', 224, 'locate', 'dirname', 'O1', 'O2', 0.6677524429967426, 0.13484477996826172]
['CO', 171, 'UO', 49, 'nohup', 'c++filt', 'O1', 'O3', 0.88013090229079, 1.1418859958648682]
['BO', 27, 'CO', 297, 'perl', 'pathchk', 'O3', 'O2', 0.9710854748768182, 2.944361686706543]
['UO', 11, 'CO', 130, 'ld', 'kill', 'O1', 'O1', 0.9257445940432476, 2.613105535507202]
['BO', 66, 'CO', 48, 'svn', 'ls', 'O2', 'O3', 0.45275437459494494, 0.9050195217132568]
['CO', 111, 'UO', 76, 'fmt', 'addr2line', 'O1', 'O0', 0.9180637544273907, 3.1571316719055176]
