['CV', 41, 'BV', 19, 'nice', 'cp', 'V2', 'V3', 0.6010865347303066, 0.09634089469909668]
['CV', 66, 'BV', 75, 'link', 'cmp', 'V2', 'V2', 0.24595469255663427, 0.028392791748046875]
['CV', 272, 'UV', 42, 'printenv', 'diff', 'V1', 'V3', 0.7323619631901841, 0.0966954231262207]
['UV', 35, 'BV', 31, 'size', 'codeblocks', 'V3', 'V0', 0.5462312429525544, 42.30495095252991]
['UV', 87, 'CV', 236, 'objdump', 'unexpand', 'V0', 'V0', 0.9453333333333334, 1.7467379570007324]
['UV', 35, 'BV', 38, 'size', 'ruby', 'V3', 'V2', 0.9825823551684968, 1.0684053897857666]
['CV', 83, 'BV', 5, 'tac', 'libvlccore.so', 'V2', 'V0', 0.8593930484091148, 4.764184474945068]
['CV', 223, 'BV', 43, 'tsort', 'lua', 'V0', 'V0', 0.856878884596002, 0.3861198425292969]
['BV', 22, 'CV', 221, 'cmp', 'od', 'V3', 'V0', 0.11546840958605664, 0.03708672523498535]
['CV', 244, 'BV', 2, 'vdir', 'cmp', 'V0', 'V1', 0.28322017458777893, 0.0794515609741211]
['UV', 87, 'CV', 346, 'objdump', 'mknod', 'V0', 'V1', 0.9437783106847855, 1.7473258972167969]
['BV', 54, 'UV', 75, 'lua', 'readelf', 'V3', 'V0', 0.423108552631579, 0.7247064113616943]
['CV', 215, 'BV', 44, 'nice', 'make', 'V0', 'V0', 0.8250281848928974, 0.2105391025543213]
['UV', 67, 'BV', 2, 'cmp', 'cmp', 'V0', 'V1', 0.0, 0.04052114486694336]
['CV', 304, 'BV', 55, 'chmod', 'codeblocks', 'V1', 'V3', 0.9562213770084608, 17.773766040802002]
['UV', 87, 'CV', 185, 'objdump', 'printenv', 'V0', 'V0', 0.9547159699892819, 1.7153432369232178]
['UV', 11, 'CV', 256, 'ranlib', 'sort', 'V2', 'V0', 0.8488057128786013, 1.3920280933380127]
['CV', 260, 'BV', 5, 'ln', 'libvlccore.so', 'V0', 'V0', 0.9376231122783979, 3.950908660888672]
['BV', 52, 'CV', 237, 'libSDL2-2.0.so', 'mv', 'V2', 'V0', 0.8708452041785375, 5.8569231033325195]
['CV', 217, 'UV', 30, 'chmod', 'ld', 'V0', 'V3', 0.9197136892335223, 2.730956554412842]
['UV', 51, 'CV', 175, 'nm', 'stat', 'V1', 'V0', 0.9085413929040735, 1.2208094596862793]
['CV', 319, 'BV', 50, 'readlink', 'sort', 'V1', 'V0', 0.3654558932542624, 0.03292369842529297]
['BV', 24, 'CV', 309, 'git', 'df', 'V0', 'V1', 0.9608946101630743, 4.817585706710815]
['CV', 322, 'BV', 38, 'ginstall', 'ruby', 'V1', 'V2', 0.8645066273932254, 0.03469109535217285]
['UV', 15, 'CV', 295, 'ld', 'echo', 'V2', 'V1', 0.9557177314614386, 1.967881202697754]
['CV', 271, 'UV', 72, 'ptx', 'find', 'V1', 'V0', 0.34769386720729856, 0.21138691902160645]
['CV', 86, 'UV', 61, 'ln', 'addr2line', 'V2', 'V1', 0.8479199033316072, 1.414414644241333]
['BV', 83, 'CV', 86, 'git', 'ln', 'V2', 'V2', 0.9655206152280688, 8.870361089706421]
['CV', 50, 'UV', 2, 'cksum', 'find', 'V2', 'V2', 0.7555385790679908, 0.20172882080078125]
['CV', 93, 'BV', 76, 'fmt', 'diff', 'V3', 'V2', 0.5116830342025059, 0.11993122100830078]
['UV', 36, 'CV', 274, 'objdump', 'join', 'V3', 'V1', 0.9275834011391375, 2.2495741844177246]
['UV', 66, 'CV', 22, 'diff3', 'kill', 'V0', 'V2', 0.2858085808580858, 0.03725767135620117]
['CV', 3, 'BV', 26, 'test', 'geany', 'V2', 'V2', 0.9780916474405867, 29.89599061012268]
['CV', 274, 'BV', 52, 'join', 'libSDL2-2.0.so', 'V1', 'V2', 0.9355539464156408, 5.904252052307129]
['UV', 77, 'CV', 277, 'ranlib', 'dd', 'V0', 'V1', 0.8625849170178004, 1.2692821025848389]
['CV', 292, 'BV', 13, 'sha1sum', 'cp', 'V1', 'V2', 0.5583825533848251, 0.07920169830322266]
['CV', 334, 'UV', 36, 'shred', 'objdump', 'V1', 'V3', 0.9051065540812223, 2.7974112033843994]
['UV', 53, 'CV', 255, 'readelf', 'sleep', 'V1', 'V0', 0.7709563164108618, 0.09898948669433594]
['BV', 65, 'CV', 98, 'ssh', 'printenv', 'V1', 'V3', 0.962510460251046, 4.6559739112854]
['BV', 56, 'CV', 230, 'ssh', 'yes', 'V3', 'V0', 0.9540107662657008, 1.607304573059082]
['CV', 70, 'UV', 81, 'vdir', 'ld', 'V2', 'V0', 0.8040811368881331, 2.7465922832489014]
['CV', 247, 'BV', 79, 'shred', 'bash', 'V0', 'V3', 0.9393551688843398, 3.9536292552948]
['BV', 46, 'CV', 283, 'cluster', 'kill', 'V3', 'V1', 0.723531259817782, 0.13260650634765625]
