['UO', 84, 'CO', 339, 'sdiff', 'wc', 'O0', 'O0', 0.9552238805970149, 0.15784168243408203]
['CO', 317, 'BO', 82, 'basename', 'cp', 'O0', 'O3', 0.9270346117867165, 0.18464922904968262]
['UO', 15, 'CO', 337, 'elfedit', 'chgrp', 'O1', 'O0', 0.968408262454435, 0.18357086181640625]
['CO', 262, 'UO', 25, 'true', 'sdiff', 'O2', 'O2', 0.8933333333333333, 0.05933356285095215]
['UO', 48, 'BO', 26, 'ranlib', 'gvmap', 'O3', 'O3', 0.9761699188395787, 3.8919837474823]
['CO', 375, 'BO', 18, 'logname', 'libvlc.so.12.0.0', 'O0', 'O1', 0.9783950617283951, 0.5487732887268066]
['CO', 96, 'UO', 68, 'fold', 'readelf', 'O3', 'O0', 0.987026466009341, 0.982830286026001]
['UO', 29, 'CO', 220, 'as', 'ptx', 'O2', 'O2', 0.9957994224205828, 2.34631609916687]
['CO', 1, 'UO', 82, 'touch', 'cmp', 'O3', 'O0', 0.9569620253164557, 0.13873887062072754]
['CO', 184, 'UO', 25, 'uname', 'sdiff', 'O1', 'O2', 0.90625, 0.07932543754577637]
['BO', 76, 'CO', 111, 'openssl', 'fmt', 'O2', 'O1', 0.9969026548672566, 2.6395645141601562]
['CO', 7, 'UO', 26, 'fmt', 'nm', 'O3', 'O2', 0.9654954765411319, 1.0550215244293213]
['CO', 50, 'BO', 52, 'dircolors', 'svn', 'O3', 'O3', 0.9913961673836528, 0.8022804260253906]
['CO', 192, 'BO', 41, 'shred', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9707760314341847, 3.5461349487304688]
['CO', 301, 'BO', 22, 'nl', 'perl', 'O2', 'O0', 0.9952153110047847, 3.174131155014038]
['BO', 2, 'UO', 46, 'perl', 'readelf', 'O1', 'O3', 0.9946320960145845, 28.660699367523193]
['BO', 25, 'UO', 19, 'dot', 'cmp', 'O3', 'O1', 0.9832869080779945, 0.03893542289733887]
['CO', 303, 'BO', 48, 'sha224sum', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.9955475763016158, 4.457453489303589]
['CO', 110, 'BO', 3, 'mkdir', 'openssl', 'O1', 'O1', 0.9898376228874406, 3.5586442947387695]
['CO', 209, 'UO', 6, 'touch', 'as', 'O2', 'O1', 0.9725435362908351, 2.5141570568084717]
['CO', 243, 'UO', 30, 'base32', 'ranlib', 'O2', 'O2', 0.9750255885363357, 0.9979290962219238]
['CO', 272, 'UO', 77, 'tty', 'ar', 'O2', 'O0', 0.9945310363686082, 1.4679961204528809]
['CO', 391, 'BO', 61, 'link', 'git', 'O0', 'O1', 0.9921966445571596, 4.534902334213257]
['UO', 40, 'CO', 204, 'objdump', 'tac', 'O2', 'O1', 0.9956610169491525, 1.7026557922363281]
['CO', 56, 'BO', 47, 'cut', 'libvlc.so.12.0.0', 'O3', 'O0', 0.9823710885852799, 0.7454724311828613]
['BO', 33, 'CO', 202, 'sort', 'sleep', 'O2', 'O1', 0.9562043795620438, 0.15256667137145996]
['UO', 11, 'CO', 202, 'ld', 'sleep', 'O1', 'O1', 0.9952771218224753, 1.4010374546051025]
['BO', 8, 'CO', 403, 'cp', 'comm', 'O0', 'O0', 0.9870045484080572, 0.3043994903564453]
['CO', 247, 'UO', 18, 'paste', 'diff3', 'O2', 'O1', 0.8851351351351351, 0.0797576904296875]
['CO', 198, 'BO', 10, 'rm', 'openssl', 'O1', 'O3', 0.9894419306184012, 5.7269651889801025]
['CO', 177, 'BO', 60, 'hostid', 'openssl', 'O1', 'O0', 0.9933434190620273, 2.9696168899536133]
['BO', 25, 'CO', 27, 'dot', 'wc', 'O3', 'O3', 0.9951338199513382, 0.04240608215332031]
['BO', 39, 'CO', 150, 'codeblocks', 'whoami', 'O3', 'O1', 0.9987736080451313, 3.2535054683685303]
['CO', 205, 'UO', 47, 'rmdir', 'as', 'O1', 'O3', 0.9818107777928601, 1.6123411655426025]
['CO', 15, 'BO', 59, 'join', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9925118379033147, 12.140344142913818]
['BO', 49, 'CO', 76, 'svn', 'md5sum', 'O0', 'O3', 0.9956395348837209, 0.7421302795410156]
['BO', 82, 'CO', 99, 'cp', 'sort', 'O3', 'O3', 0.9248826291079812, 0.5393013954162598]
['CO', 196, 'BO', 80, 'sha512sum', 'ssh', 'O1', 'O3', 0.9800381623367093, 2.234894037246704]
['CO', 262, 'BO', 83, 'true', 'lua', 'O2', 'O2', 0.9754442649434572, 0.4465620517730713]
['BO', 62, 'CO', 205, 'bash', 'rmdir', 'O1', 'O1', 0.9963391136801542, 2.071889638900757]
['CO', 60, 'BO', 13, 'base64', 'ruby', 'O3', 'O1', 0.9924399795675124, 6.511055946350098]
['CO', 194, 'BO', 78, 'tr', 'ssh', 'O1', 'O0', 0.9878319878319878, 2.247976541519165]
['CO', 45, 'BO', 6, 'split', 'codeblocks', 'O3', 'O0', 0.9958233077586598, 11.612872123718262]
['UO', 45, 'CO', 41, 'strip', 'echo', 'O3', 'O3', 0.9967707212055974, 0.9111104011535645]
['UO', 71, 'BO', 79, 'c++filt', 'bash', 'O0', 'O3', 0.9599209709285916, 55.391875982284546]
['BO', 81, 'UO', 3, 'sort', 'nm', 'O3', 'O1', 0.9451208431764492, 3.2664358615875244]
['BO', 13, 'CO', 376, 'ruby', 'tty', 'O1', 'O0', 0.9993858751279426, 5.337040185928345]
['UO', 16, 'CO', 42, 'size', 'sum', 'O1', 'O3', 0.9946568023016852, 1.168928623199463]
['CO', 143, 'UO', 61, 'paste', 'find', 'O1', 'O3', 0.973404255319149, 0.4936075210571289]
['UO', 53, 'BO', 19, 'gprof', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9770719536044238, 38.22291612625122]
