['UV', 30, 'CV', 270, 'ld', 'users', 'V3', 'V1', 0.9977155910908052, 0.9291973114013672]
['CV', 267, 'BV', 14, 'fmt', 'openssl', 'V1', 'V3', 0.9956218360924887, 1.6349067687988281]
['BV', 82, 'UV', 18, 'gvmap', 'ar', 'V1', 'V2', 0.9405341844448177, 4.822841167449951]
['BV', 21, 'UV', 2, 'cp', 'find', 'V1', 'V2', 0.8901453957996769, 0.4996297359466553]
['CV', 263, 'UV', 86, 'unlink', 'size', 'V1', 'V0', 0.9867549668874173, 0.7050611972808838]
['BV', 58, 'CV', 199, 'ruby', 'expand', 'V3', 'V0', 0.9887640449438202, 0.01602935791015625]
['BV', 45, 'CV', 336, 'svn', 'tr', 'V3', 'V1', 0.9943502824858758, 0.5795323848724365]
['CV', 216, 'BV', 70, 'dircolors', 'ssh', 'V0', 'V0', 0.9883592889727859, 1.8606641292572021]
['BV', 32, 'CV', 31, 'perl', 'sha1sum', 'V0', 'V2', 0.9975483262611975, 1.7863285541534424]
['BV', 76, 'UV', 70, 'diff', 'locate', 'V2', 'V0', 0.9467186484730344, 0.47390222549438477]
['CV', 345, 'UV', 56, 'rmdir', 'c++filt', 'V1', 'V1', 0.9826124755487937, 0.6115801334381104]
['BV', 54, 'CV', 171, 'lua', 'rmdir', 'V3', 'V3', 0.9937655860349127, 0.7143044471740723]
['BV', 45, 'CV', 172, 'svn', 'mknod', 'V3', 'V3', 0.99583477959042, 0.6836700439453125]
['BV', 71, 'CV', 70, 'ruby', 'vdir', 'V1', 'V2', 0.9939577039274925, 0.03275108337402344]
['BV', 77, 'CV', 317, 'perl', 'yes', 'V2', 'V1', 0.9991353843936883, 1.3665111064910889]
['CV', 259, 'UV', 22, 'mknod', 'nm', 'V0', 'V3', 0.9783643444396365, 0.6925196647644043]
['BV', 12, 'UV', 29, 'sort', 'objcopy', 'V2', 'V3', 0.9672185430463576, 3.006319761276245]
['BV', 31, 'UV', 87, 'codeblocks', 'objdump', 'V0', 'V0', 0.9886899151743638, 75.47874760627747]
['CV', 29, 'BV', 72, 'tail', 'perl', 'V2', 'V1', 0.984059126150279, 3.6516716480255127]
['CV', 214, 'UV', 21, 'ls', 'objdump', 'V0', 'V2', 0.9682209682209683, 2.815971612930298]
