['UV', 65, 'CV', 205, 'objdump', 'sha1sum', 'V1', 'V0', 0.9987971733573898, 1.0353541374206543]
['CV', 303, 'BV', 70, 'dircolors', 'ssh', 'V1', 'V0', 0.9869496855345912, 1.9450483322143555]
['CV', 6, 'BV', 18, 'fmt', 'sort', 'V2', 'V3', 0.9371534195933456, 0.16178345680236816]
['CV', 83, 'BV', 59, 'tac', 'make', 'V2', 'V1', 0.9461028192371476, 0.802776575088501]
['UV', 51, 'CV', 317, 'nm', 'yes', 'V1', 'V1', 0.9974630021141649, 0.5362675189971924]
['UV', 30, 'BV', 49, 'ld', 'make', 'V3', 'V3', 0.983271165366791, 9.20556640625]
['CV', 4, 'BV', 23, 'basename', 'diff', 'V2', 'V3', 0.8900900900900901, 0.14784765243530273]
['BV', 49, 'CV', 309, 'make', 'df', 'V3', 'V1', 0.9868363317244405, 0.49534058570861816]
['UV', 34, 'CV', 266, 'elfedit', 'mkdir', 'V3', 'V1', 0.971830985915493, 0.0852813720703125]
['CV', 134, 'UV', 14, 'od', 'objcopy', 'V3', 'V2', 0.9699983145120512, 2.0369086265563965]
['CV', 248, 'BV', 28, 'pathchk', 'openssl', 'V0', 'V1', 0.9924064545136634, 2.191526174545288]
['CV', 50, 'BV', 80, 'cksum', 'cluster', 'V2', 'V1', 0.9647509578544061, 0.21088290214538574]
['CV', 250, 'BV', 9, 'comm', 'dot', 'V0', 'V2', 1.0, 0.022584915161132812]
['CV', 149, 'BV', 22, 'unexpand', 'cmp', 'V3', 'V3', 0.9219858156028369, 0.07350397109985352]
['UV', 87, 'BV', 74, 'objdump', 'git', 'V0', 'V1', 0.9646813039536442, 78.43079924583435]
['CV', 289, 'UV', 53, 'chown', 'readelf', 'V1', 'V1', 0.972568578553616, 0.38138318061828613]
['CV', 323, 'BV', 47, 'unexpand', 'dot', 'V1', 'V3', 1.0, 0.02171468734741211]
['UV', 63, 'CV', 12, 'elfedit', 'stty', 'V1', 'V2', 0.9780621572212066, 0.09120059013366699]
['UV', 77, 'CV', 47, 'ranlib', 'od', 'V0', 'V2', 0.9943193345506188, 1.5965979099273682]
['UV', 22, 'CV', 129, 'nm', 'dircolors', 'V3', 'V3', 0.9932702418506835, 1.0853087902069092]
['UV', 14, 'CV', 187, 'objcopy', 'join', 'V2', 'V0', 0.9968569931901519, 1.0818710327148438]
['UV', 78, 'CV', 85, 'c++filt', 'mknod', 'V0', 'V2', 0.996397207836073, 0.7083628177642822]
['CV', 298, 'BV', 3, 'seq', 'diff', 'V1', 'V1', 0.9036402569593147, 0.11619853973388672]
['CV', 311, 'BV', 32, 'cksum', 'perl', 'V1', 'V0', 0.9889796693900818, 1.1882922649383545]
['UV', 22, 'CV', 146, 'nm', 'head', 'V3', 'V3', 0.9958263772954925, 1.1839425563812256]
['BV', 50, 'UV', 47, 'sort', 'sdiff', 'V0', 'V1', 0.9364238410596026, 0.11761045455932617]
['BV', 45, 'CV', 343, 'svn', 'sort', 'V3', 'V1', 0.9914782038675845, 1.1032757759094238]
['BV', 8, 'CV', 292, 'cluster', 'sha1sum', 'V2', 'V1', 0.9861431870669746, 0.20911216735839844]
['CV', 298, 'BV', 48, 'seq', 'gvmap', 'V1', 'V3', 0.9646799116997793, 0.21680974960327148]
['BV', 70, 'CV', 155, 'ssh', 'cat', 'V0', 'V3', 0.9981255857544518, 2.430318593978882]
['CV', 174, 'BV', 63, 'touch', 'ruby', 'V0', 'V0', 0.9928464707746638, 4.537334680557251]
['BV', 69, 'UV', 26, 'gvmap', 'ranlib', 'V0', 'V3', 0.9487000523468854, 3.839634895324707]
['CV', 284, 'UV', 56, 'wc', 'c++filt', 'V1', 'V1', 0.9763440860215054, 0.8315634727478027]
['CV', 14, 'BV', 17, 'dirname', 'codeblocks', 'V2', 'V2', 0.994928041590059, 3.4725701808929443]
