['CO', 293, 'BO', 50, '[', 'perl', 'O2', 'O2', 0.9897043294614573, 2.8437626361846924]
['UO', 1, 'CO', 132, 'xargs', 'factor', 'O1', 'O1', 0.958011049723757, 0.21431827545166016]
['CO', 97, 'UO', 38, 'uniq', 'elfedit', 'O3', 'O2', 0.987460815047022, 0.11534929275512695]
['BO', 38, 'CO', 43, 'acyclic', 'chroot', 'O2', 'O3', 0.9792746113989638, 0.053666114807128906]
['CO', 103, 'UO', 39, 'ln', 'size', 'O3', 'O2', 0.9633729120547394, 2.2763733863830566]
['BO', 43, 'CO', 146, 'diff', 'sum', 'O1', 'O1', 0.9743370402053037, 0.217240571975708]
['BO', 19, 'CO', 282, 'libvlccore.so.9.0.0', 'unexpand', 'O1', 'O2', 0.9986474736740412, 2.208087682723999]
['CO', 378, 'UO', 4, 'runcon', 'strip', 'O0', 'O1', 0.9796831955922864, 1.4738640785217285]
['UO', 25, 'CO', 304, 'sdiff', 'fold', 'O2', 'O2', 0.9544658493870403, 0.07262468338012695]
['CO', 135, 'UO', 62, 'date', 'diff3', 'O1', 'O3', 0.9357142857142857, 0.1573939323425293]
['UO', 43, 'CO', 32, 'find', 'expr', 'O2', 'O3', 0.9858215179316097, 0.6202971935272217]
['CO', 42, 'BO', 72, 'sum', 'make', 'O3', 'O2', 0.9532871972318339, 0.5398199558258057]
['UO', 24, 'CO', 208, 'diff', 'sha384sum', 'O2', 'O2', 0.9838129496402878, 0.1865684986114502]
['CO', 251, 'BO', 75, 'chroot', 'gvmap', 'O2', 'O1', 0.9555863983344899, 0.3063960075378418]
['CO', 42, 'BO', 24, 'sum', 'cluster', 'O3', 'O3', 0.9443254817987152, 0.3258066177368164]
['UO', 21, 'CO', 378, 'sdiff', 'runcon', 'O1', 'O0', 0.9504643962848297, 0.11369991302490234]
['UO', 73, 'CO', 132, 'objcopy', 'factor', 'O0', 'O1', 0.9951054655634541, 2.8254735469818115]
['CO', 223, 'BO', 75, 'join', 'gvmap', 'O2', 'O1', 0.9461279461279462, 0.3354964256286621]
['CO', 311, 'UO', 36, 'ln', 'addr2line', 'O2', 'O2', 0.9622564102564103, 2.0117130279541016]
['BO', 78, 'CO', 184, 'ssh', 'uname', 'O0', 'O1', 0.9950383933845245, 1.582627534866333]
['UO', 62, 'CO', 298, 'diff3', 'tr', 'O3', 'O2', 0.9036144578313253, 0.09413576126098633]
['CO', 289, 'UO', 20, 'cat', 'diff', 'O2', 'O1', 0.9341864716636198, 0.17666053771972656]
['UO', 39, 'CO', 384, 'size', 'head', 'O2', 'O0', 0.989498004620878, 1.3659892082214355]
['CO', 70, 'BO', 80, 'b2sum', 'ssh', 'O3', 'O3', 0.9777070063694268, 1.9077339172363281]
['UO', 80, 'BO', 83, 'objdump', 'lua', 'O0', 'O2', 0.9834488928651308, 21.382346153259277]
['BO', 21, 'UO', 10, 'cp', 'objcopy', 'O1', 'O1', 0.9631089389878607, 3.657402753829956]
['CO', 64, 'BO', 10, 'tty', 'openssl', 'O3', 'O3', 0.994, 2.409332275390625]
['CO', 92, 'UO', 39, 'sha512sum', 'size', 'O3', 'O2', 0.9633730834752982, 1.1301383972167969]
['BO', 71, 'CO', 345, 'libSDL2-2.0.so.0.16.0', 'chown', 'O0', 'O0', 0.996085702513391, 4.747044324874878]
['UO', 9, 'CO', 257, 'strings', 'nice', 'O1', 'O2', 0.9944774851316908, 0.7800400257110596]
['UO', 32, 'CO', 114, 'strings', 'users', 'O2', 'O1', 0.9952069716775599, 0.9498915672302246]
['UO', 6, 'CO', 294, 'as', 'timeout', 'O1', 'O2', 0.9948333763885301, 1.7965786457061768]
['BO', 29, 'CO', 398, 'libvlc.so.12.0.0', 'timeout', 'O2', 'O0', 0.9911807937285644, 0.6886918544769287]
['CO', 303, 'BO', 33, 'sha224sum', 'sort', 'O2', 'O2', 0.8676171079429735, 0.1631333827972412]
['BO', 13, 'CO', 296, 'ruby', 'shred', 'O1', 'O2', 0.9992532754056073, 7.768895626068115]
['BO', 8, 'CO', 158, 'cp', 'true', 'O0', 'O1', 0.9735376044568245, 0.22380399703979492]
['UO', 47, 'CO', 4, 'as', 'test', 'O3', 'O3', 0.9973042188974255, 1.6432595252990723]
['UO', 26, 'CO', 149, 'nm', 'split', 'O2', 'O1', 0.9942112879884226, 1.4766738414764404]
['BO', 3, 'CO', 414, 'openssl', 'mknod', 'O1', 'O0', 0.9927396967755712, 6.022515058517456]
['CO', 163, 'BO', 7, 'tsort', 'sort', 'O1', 'O0', 0.9124315871774824, 0.25794339179992676]
['BO', 23, 'CO', 106, 'git', 'stat', 'O2', 'O1', 0.9979436209407935, 8.479493379592896]
['UO', 38, 'CO', 308, 'elfedit', 'tac', 'O2', 'O2', 0.9616122840690979, 0.08536362648010254]
['UO', 71, 'CO', 301, 'c++filt', 'nl', 'O0', 'O2', 0.9968458781362007, 1.43719482421875]
['CO', 146, 'UO', 86, 'sum', 'xargs', 'O1', 'O0', 0.9430523917995444, 0.21492838859558105]
['UO', 55, 'CO', 342, 'ar', 'expand', 'O3', 'O0', 0.9910020449897751, 1.1788337230682373]
['CO', 316, 'BO', 69, 'test', 'cmp', 'O0', 'O3', 0.9303482587064676, 0.09075045585632324]
['CO', 266, 'BO', 58, 'df', 'svn', 'O2', 'O1', 0.9728838402345181, 1.3028628826141357]
['UO', 40, 'CO', 81, 'objdump', 'cat', 'O2', 'O3', 0.9978296256104178, 1.557508945465088]
['CO', 231, 'UO', 32, 'pr', 'strings', 'O2', 'O2', 0.9689075630252101, 1.6003079414367676]
['UO', 73, 'CO', 248, 'objcopy', 'sync', 'O0', 'O2', 0.9973709369024857, 1.4226269721984863]
['UO', 1, 'CO', 40, 'xargs', 'sync', 'O1', 'O3', 0.9762532981530343, 0.1387488842010498]
['CO', 152, 'UO', 75, 'ls', 'gprof', 'O1', 'O0', 0.9817818817070127, 5.368614196777344]
['UO', 74, 'BO', 38, 'ld', 'acyclic', 'O0', 'O2', 0.9983906658619996, 0.7852001190185547]
['CO', 369, 'BO', 17, 'od', 'codeblocks', 'O0', 'O2', 0.9901762141585313, 7.7106969356536865]
['UO', 3, 'CO', 127, 'nm', 'pr', 'O1', 'O1', 0.9865904160915007, 1.8050172328948975]
['CO', 259, 'BO', 8, 'realpath', 'cp', 'O2', 'O0', 0.9275839368005266, 0.31621313095092773]
['CO', 91, 'UO', 63, 'comm', 'cmp', 'O3', 'O3', 0.9247863247863248, 0.07657146453857422]
['CO', 86, 'UO', 70, 'timeout', 'ranlib', 'O3', 'O0', 0.9908969210174029, 2.4435667991638184]
