['CO', 356, 'BO', 76, 'seq', 'openssl', 'O0', 'O2', 0.992514310876266, 3.7059648036956787]
['CO', 74, 'BO', 39, 'unexpand', 'codeblocks', 'O3', 'O3', 0.9959719255416539, 4.836839199066162]
['BO', 65, 'CO', 272, 'gvmap', 'tty', 'O0', 'O2', 0.9873684210526316, 0.30375099182128906]
['BO', 21, 'UO', 77, 'cp', 'ar', 'O1', 'O0', 0.9811225773974327, 5.106395483016968]
['UO', 34, 'CO', 369, 'ld', 'od', 'O2', 'O0', 0.9942236281116765, 2.396760940551758]
['CO', 342, 'BO', 10, 'expand', 'openssl', 'O0', 'O3', 0.9905045820912002, 3.5004141330718994]
['CO', 42, 'BO', 3, 'sum', 'openssl', 'O3', 'O1', 0.994250331711632, 3.1048624515533447]
['UO', 76, 'CO', 20, 'addr2line', 'mkfifo', 'O0', 'O3', 0.9974442709072838, 1.4166035652160645]
['BO', 76, 'CO', 199, 'openssl', 'sha224sum', 'O2', 'O1', 0.9969064191802011, 2.7722558975219727]
['CO', 239, 'BO', 60, 'date', 'openssl', 'O2', 'O0', 0.9938698833300376, 4.90410041809082]
['BO', 27, 'CO', 274, 'perl', 'runcon', 'O3', 'O2', 0.9987082606729962, 1.8656346797943115]
['UO', 48, 'CO', 43, 'ranlib', 'chroot', 'O3', 'O3', 0.995114006514658, 1.1608686447143555]
['UO', 30, 'CO', 198, 'ranlib', 'rm', 'O2', 'O1', 0.9888009268198494, 2.004523515701294]
['BO', 59, 'UO', 38, 'libgeany.so.0.0.0', 'elfedit', 'O3', 'O2', 0.9997051452159811, 5.65350079536438]
['UO', 55, 'CO', 157, 'ar', 'chmod', 'O3', 'O1', 0.9896579156722355, 1.6529476642608643]
['UO', 68, 'CO', 263, 'readelf', 'cp', 'O0', 'O2', 0.9816597890875745, 2.3336472511291504]
['BO', 47, 'CO', 78, 'libvlc.so.12.0.0', 'chcon', 'O0', 'O3', 0.991869918699187, 0.9921121597290039]
['CO', 138, 'UO', 75, 'tail', 'gprof', 'O1', 'O0', 0.9827608724043359, 3.171359062194824]
['UO', 25, 'CO', 392, 'sdiff', 'uname', 'O2', 'O0', 0.9363484087102177, 0.08809161186218262]
['UO', 62, 'CO', 216, 'diff3', 'dir', 'O3', 'O2', 0.8982188295165394, 0.26613450050354004]
['CO', 327, 'BO', 33, 'join', 'sort', 'O0', 'O2', 0.8954954954954955, 0.2586524486541748]
['CO', 93, 'UO', 62, 'nl', 'diff3', 'O3', 'O3', 0.8904899135446686, 0.09666848182678223]
['UO', 51, 'CO', 3, 'objcopy', 'unlink', 'O3', 'O3', 0.9960615825277479, 0.9379978179931641]
['UO', 52, 'CO', 310, 'ld', 'mknod', 'O3', 'O2', 0.9971667374982293, 1.094343662261963]
['CO', 48, 'UO', 1, 'ls', 'xargs', 'O3', 'O1', 0.9679767103347889, 0.4446582794189453]
['CO', 30, 'UO', 61, 'expand', 'find', 'O3', 'O3', 0.9729965156794425, 0.5212411880493164]
['UO', 46, 'CO', 46, 'readelf', 'whoami', 'O3', 'O3', 0.9942342342342342, 0.46296119689941406]
['UO', 35, 'CO', 13, 'gprof', 'printenv', 'O2', 'O3', 0.9979943842759728, 0.8668293952941895]
['BO', 83, 'CO', 363, 'lua', 'realpath', 'O2', 'O0', 0.9848162769511084, 0.9468400478363037]
['CO', 184, 'BO', 48, 'uname', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.9948171609559459, 3.795140266418457]
['CO', 251, 'UO', 17, 'chroot', 'objdump', 'O2', 'O1', 0.983647632862983, 1.7541937828063965]
['UO', 43, 'CO', 257, 'find', 'nice', 'O2', 'O2', 0.9901168014375562, 0.3668818473815918]
['UO', 40, 'CO', 341, 'objdump', 'nproc', 'O2', 'O0', 0.9961930659415363, 2.13417387008667]
