['CO', 211, 'UO', 77, 'unlink', 'ar', 'O2', 'O0', 0.9937115516062884, 1.4774539470672607]
['CO', 36, 'BO', 10, 'pinky', 'openssl', 'O3', 'O3', 0.9883362676056338, 3.4845948219299316]
['BO', 62, 'CO', 307, 'bash', 'sort', 'O1', 'O2', 0.994121429227519, 6.065541505813599]
['BO', 78, 'CO', 370, 'ssh', 'df', 'O0', 'O0', 0.9908164408108411, 4.771395683288574]
['UO', 54, 'CO', 37, 'addr2line', 'truncate', 'O3', 'O3', 0.9960638530505139, 0.9156568050384521]
['UO', 47, 'CO', 46, 'as', 'whoami', 'O3', 'O3', 0.9975516866158868, 1.3041582107543945]
['CO', 161, 'UO', 70, 'od', 'ranlib', 'O1', 'O0', 0.9880620771985674, 2.834977626800537]
['CO', 275, 'BO', 73, 'nohup', 'cluster', 'O2', 'O1', 0.9575757575757575, 0.24037671089172363]
['UO', 12, 'CO', 172, 'gprof', 'yes', 'O1', 'O1', 0.9910086004691165, 0.9676308631896973]
['UO', 43, 'CO', 99, 'find', 'sort', 'O2', 'O3', 0.9746401644962303, 1.5107872486114502]
['CO', 208, 'UO', 0, 'sha384sum', 'locate', 'O2', 'O1', 0.9472759226713533, 0.23654913902282715]
['CO', 64, 'UO', 6, 'tty', 'as', 'O3', 'O1', 0.9854583225136329, 1.401907205581665]
['UO', 74, 'CO', 108, 'ld', 'test', 'O0', 'O1', 0.9944789510006902, 2.669355630874634]
['CO', 263, 'BO', 82, 'cp', 'cp', 'O2', 'O3', 0.9091474797759801, 0.4835669994354248]
['UO', 55, 'CO', 187, 'ar', 'csplit', 'O3', 'O1', 0.9899598393574297, 1.7260870933532715]
['CO', 211, 'BO', 14, 'unlink', 'cmp', 'O2', 'O0', 0.9043824701195219, 0.06467294692993164]
['CO', 164, 'UO', 33, 'base64', 'objcopy', 'O1', 'O2', 0.9716613531703862, 1.259248971939087]
['CO', 387, 'BO', 34, 'mv', 'cp', 'O0', 'O2', 0.9316739873108834, 0.7689497470855713]
['CO', 265, 'UO', 25, 'od', 'sdiff', 'O2', 'O2', 0.9120879120879121, 0.11816787719726562]
['BO', 62, 'UO', 56, 'bash', 'elfedit', 'O1', 'O3', 0.9990393852065321, 1.9309425354003906]
['CO', 160, 'BO', 76, 'cut', 'openssl', 'O1', 'O2', 0.9911602209944751, 3.8511264324188232]
['UO', 3, 'BO', 65, 'nm', 'gvmap', 'O1', 'O0', 0.9736346516007532, 5.839539527893066]
['UO', 67, 'CO', 181, 'strip', 'env', 'O0', 'O1', 0.9964332421828558, 1.7216849327087402]
['CO', 169, 'UO', 48, 'false', 'ranlib', 'O1', 'O3', 0.9804044194288096, 0.8963706493377686]
['BO', 67, 'CO', 101, 'libSDL2-2.0.so.0.16.0', 'rmdir', 'O1', 'O3', 0.9958435207823961, 2.076735258102417]
