['UV', 36, 'CV', 51, 'objdump', 'printf', 'V3', 'V2', 0.9970258212788968, 1.7429497241973877]
['BV', 4, 'CV', 90, 'geany', 'test', 'V3', 'V3', 0.9992541024365987, 5.763005495071411]
['UV', 83, 'CV', 1, 'addr2line', 'stat', 'V0', 'V2', 0.9951391957578436, 0.8467230796813965]
['UV', 49, 'BV', 48, 'xargs', 'gvmap', 'V1', 'V3', 0.9575878064943671, 0.3493349552154541]
['CV', 76, 'UV', 68, 'comm', 'diff', 'V2', 'V0', 0.8950495049504951, 0.15648651123046875]
['BV', 19, 'UV', 61, 'cp', 'addr2line', 'V3', 'V1', 0.9690182904068683, 3.236877679824829]
['BV', 29, 'CV', 60, 'perl', 'hostid', 'V3', 'V2', 0.998408656906429, 1.7557814121246338]
['BV', 43, 'CV', 301, 'lua', 'ls', 'V0', 'V1', 0.977583187390543, 1.0890231132507324]
['CV', 97, 'BV', 33, 'ptx', 'openssl', 'V3', 'V0', 0.9835937905612377, 7.300536632537842]
['UV', 77, 'CV', 48, 'ranlib', 'df', 'V0', 'V2', 0.9916633584755855, 1.684607744216919]
['CV', 331, 'BV', 65, 'vdir', 'ssh', 'V1', 'V1', 0.9772473789872853, 5.283318042755127]
['CV', 209, 'UV', 62, 'sum', 'ar', 'V0', 'V1', 0.9791290387316878, 0.8606154918670654]
['UV', 18, 'CV', 19, 'ar', 'pr', 'V2', 'V2', 0.9937168662870607, 1.3096888065338135]
['CV', 205, 'UV', 41, 'sha1sum', 'cmp', 'V0', 'V3', 0.8936170212765957, 0.05282855033874512]
['UV', 17, 'CV', 269, 'addr2line', 'du', 'V2', 'V1', 0.9926365309879321, 1.6187973022460938]
['CV', 118, 'UV', 45, 'sha1sum', 'cmp', 'V3', 'V1', 0.9201388888888888, 0.07871198654174805]
['UV', 19, 'CV', 307, 'elfedit', 'cut', 'V2', 'V1', 0.9864559819413092, 0.0609285831451416]
['UV', 84, 'CV', 297, 'ar', 'chroot', 'V0', 'V1', 0.9987285441830897, 0.5510151386260986]
