['CO', 7, 'UO', 71, 'fmt', 'c++filt', 'O3', 'O0', 0.9917625337310041, 1.9699854850769043]
['BO', 50, 'UO', 23, 'perl', 'cmp', 'O2', 'O2', 0.9981549815498155, 3.130852460861206]
['CO', 248, 'BO', 65, 'sync', 'gvmap', 'O2', 'O0', 0.9769994772608468, 0.3449878692626953]
['BO', 51, 'CO', 253, 'lua', 'split', 'O1', 'O2', 0.9918722786647315, 1.0737967491149902]
['BO', 52, 'CO', 92, 'svn', 'sha512sum', 'O3', 'O3', 0.9968859478396264, 0.7037525177001953]
['CO', 343, 'UO', 10, 'date', 'objcopy', 'O0', 'O1', 0.9596293845135672, 2.49472713470459]
['UO', 5, 'CO', 279, 'readelf', 'readlink', 'O1', 'O2', 0.9900391319815013, 0.596616268157959]
['CO', 201, 'UO', 52, 'uniq', 'ld', 'O1', 'O3', 0.975738984941439, 1.983473539352417]
['BO', 69, 'UO', 17, 'cmp', 'objdump', 'O3', 'O1', 0.9819063852104366, 1.9681317806243896]
['CO', 179, 'UO', 76, 'mv', 'addr2line', 'O1', 'O0', 0.9798709677419355, 5.745789051055908]
['UO', 23, 'BO', 31, 'cmp', 'bash', 'O2', 'O2', 0.9804768162192604, 2.8540897369384766]
['CO', 224, 'BO', 44, 'dirname', 'cmp', 'O2', 'O2', 0.8797327394209354, 0.049881696701049805]
['CO', 407, 'BO', 25, 'sha224sum', 'dot', 'O0', 'O3', 0.9900744416873449, 0.044963836669921875]
['CO', 191, 'UO', 45, 'id', 'strip', 'O1', 'O3', 0.9765541740674956, 1.4256682395935059]
['BO', 20, 'CO', 18, 'sort', 'uptime', 'O1', 'O3', 0.962432915921288, 0.22568821907043457]
['CO', 4, 'BO', 1, 'test', 'ssh', 'O3', 'O2', 0.9832844574780059, 1.5909700393676758]
['BO', 21, 'UO', 7, 'cp', 'ranlib', 'O1', 'O1', 0.963855421686747, 3.3911988735198975]
['BO', 82, 'CO', 128, 'cp', 'tee', 'O3', 'O1', 0.9395050412465628, 0.18610477447509766]
['CO', 23, 'BO', 0, 'pr', 'codeblocks', 'O3', 'O1', 0.9899374156338201, 6.952294826507568]
['UO', 79, 'CO', 252, 'size', 'seq', 'O0', 'O2', 0.9971763377100099, 1.5915472507476807]
['UO', 27, 'CO', 381, 'strip', 'who', 'O2', 'O0', 0.9926854754440961, 1.6365571022033691]
['UO', 61, 'CO', 212, 'find', 'test', 'O3', 'O2', 0.9858594785682722, 0.4604463577270508]
['UO', 38, 'CO', 2, 'elfedit', 'stat', 'O2', 'O3', 0.9897959183673469, 0.16705894470214844]
['CO', 225, 'UO', 79, 'stdbuf', 'size', 'O2', 'O0', 0.991810223100819, 1.9002313613891602]
['UO', 78, 'CO', 18, 'elfedit', 'uptime', 'O0', 'O3', 0.9842271293375394, 0.1203920841217041]
['CO', 67, 'BO', 42, 'nohup', 'cmp', 'O3', 'O1', 0.9276672694394213, 0.07633638381958008]
['CO', 187, 'BO', 64, 'csplit', 'dot', 'O1', 'O0', 0.9909297052154195, 0.047148704528808594]
['CO', 174, 'UO', 42, 'b2sum', 'xargs', 'O1', 'O2', 0.9654747225647349, 0.19378447532653809]
