['UV', 18, 'CV', 267, 'ar', 'fmt', 'V2', 'V1', 0.9963377416073245, 0.6909115314483643]
['UV', 35, 'CV', 73, 'size', 'shred', 'V3', 'V2', 0.9932730712634013, 1.378068447113037]
['UV', 78, 'CV', 308, 'c++filt', 'od', 'V0', 'V1', 0.9955347175708864, 0.8454699516296387]
['UV', 70, 'CV', 194, 'locate', 'tee', 'V0', 'V0', 0.9821428571428571, 0.0836629867553711]
['BV', 78, 'CV', 128, 'make', 'nice', 'V2', 'V3', 0.9840075258701787, 0.4026679992675781]
['CV', 238, 'UV', 73, 'md5sum', 'nm', 'V0', 'V0', 0.9842070629524018, 0.8530659675598145]
['CV', 91, 'BV', 23, 'basename', 'diff', 'V3', 'V3', 0.9082251082251083, 0.18290257453918457]
['BV', 58, 'UV', 85, 'ruby', 'elfedit', 'V3', 'V0', 0.9157894736842105, 0.014984369277954102]
['CV', 308, 'UV', 70, 'od', 'locate', 'V1', 'V0', 0.912743972445465, 0.13970470428466797]
['UV', 45, 'CV', 169, 'cmp', 'sort', 'V1', 'V3', 0.9045967042497831, 0.20990228652954102]
['CV', 252, 'UV', 32, 'rm', 'addr2line', 'V0', 'V3', 0.9721984602224123, 1.2156026363372803]
['BV', 9, 'CV', 28, 'dot', 'chown', 'V2', 'V2', 0.9916839916839917, 0.04442310333251953]
['CV', 151, 'UV', 5, 'md5sum', 'diff', 'V3', 'V2', 0.8886118038237739, 0.2233283519744873]
['UV', 66, 'CV', 234, 'diff3', 'hostid', 'V0', 'V0', 0.9686888454011742, 0.04317164421081543]
['CV', 133, 'BV', 2, 'cut', 'cmp', 'V3', 'V1', 0.9173838209982789, 0.0750732421875]
['CV', 65, 'BV', 40, 'env', 'lua', 'V2', 'V2', 0.9710144927536232, 0.43317508697509766]
['UV', 87, 'CV', 296, 'objdump', 'sum', 'V0', 'V1', 0.997515142102811, 0.9463260173797607]
['UV', 67, 'CV', 242, 'cmp', 'cat', 'V0', 'V0', 0.9585253456221198, 0.039957284927368164]
['CV', 57, 'BV', 64, 'who', 'openssl', 'V2', 'V2', 0.9929629086644187, 2.297833204269409]
['UV', 62, 'CV', 100, 'ar', 'join', 'V1', 'V3', 0.9949990382765916, 1.4529335498809814]
['UV', 86, 'BV', 73, 'size', 'geany', 'V0', 'V0', 0.9728879823219446, 79.9782407283783]
['CV', 291, 'BV', 68, 'pinky', 'dot', 'V1', 'V0', 1.0, 0.03355884552001953]
['CV', 39, 'UV', 66, 'whoami', 'diff3', 'V2', 'V0', 0.8631578947368421, 0.06650471687316895]
['CV', 215, 'BV', 17, 'nice', 'codeblocks', 'V0', 'V2', 0.9970754657002988, 2.72410249710083]
['UV', 87, 'CV', 52, 'objdump', 'logname', 'V0', 'V2', 0.9978260869565218, 0.9136102199554443]
['BV', 33, 'UV', 5, 'openssl', 'diff', 'V0', 'V2', 0.9974621865800426, 11.556788444519043]
['CV', 109, 'UV', 12, 'kill', 'c++filt', 'V3', 'V2', 0.9738365858889128, 1.032881736755371]
['BV', 47, 'UV', 9, 'dot', 'readelf', 'V3', 'V2', 0.9801857585139319, 0.12986183166503906]
['CV', 185, 'UV', 54, 'printenv', 'as', 'V0', 'V1', 0.9863406638437372, 0.7888684272766113]
['UV', 44, 'BV', 69, 'diff3', 'gvmap', 'V1', 'V0', 0.9474412171507607, 0.3764994144439697]
['UV', 3, 'CV', 19, 'diff3', 'pr', 'V2', 'V2', 0.91268758526603, 0.10854625701904297]
['BV', 80, 'CV', 165, 'cluster', 'rm', 'V1', 'V3', 0.9585112873703477, 0.5164568424224854]
