['CO', 0, 'UO', 15, 'sha384sum', 'elfedit', 'O3', 'O1', 0.976068376068376, 0.1261606216430664]
['CO', 172, 'BO', 9, 'yes', 'git', 'O1', 'O0', 0.9923647564097002, 3.79940128326416]
['UO', 30, 'CO', 326, 'ranlib', 'stty', 'O2', 'O0', 0.9908675799086758, 1.4940714836120605]
['BO', 43, 'CO', 227, 'diff', 'dd', 'O1', 'O2', 0.964152352501867, 0.3206608295440674]
['CO', 155, 'UO', 4, 'realpath', 'strip', 'O1', 'O1', 0.969899093552249, 1.5728530883789062]
['BO', 78, 'CO', 412, 'ssh', 'tac', 'O0', 'O0', 0.9948795531246364, 2.3713905811309814]
['CO', 80, 'BO', 18, 'uname', 'libvlc.so.12.0.0', 'O3', 'O1', 0.9743852459016393, 0.4814143180847168]
['CO', 27, 'BO', 12, 'wc', 'libgeany.so.0.0.0', 'O3', 'O0', 0.996621947688447, 9.318662166595459]
['UO', 33, 'CO', 180, 'objcopy', 'md5sum', 'O2', 'O1', 0.9939876215738285, 1.1968884468078613]
['CO', 289, 'BO', 50, 'cat', 'perl', 'O2', 'O2', 0.9925744215341775, 2.2205214500427246]
['UO', 84, 'BO', 36, 'sdiff', 'cluster', 'O0', 'O2', 0.9493835171966256, 0.4949960708618164]
['CO', 390, 'BO', 79, 'chcon', 'bash', 'O0', 'O3', 0.9723446547402991, 5.463166236877441]
['UO', 31, 'CO', 353, 'c++filt', 'echo', 'O2', 'O0', 0.9929484354341119, 0.8999195098876953]
['CO', 23, 'UO', 52, 'pr', 'ld', 'O3', 'O3', 0.9751603657704381, 2.747626781463623]
['UO', 67, 'CO', 341, 'strip', 'nproc', 'O0', 'O0', 0.9990521327014218, 1.8521206378936768]
['BO', 77, 'CO', 333, 'libSDL2-2.0.so.0.16.0', 'mktemp', 'O3', 'O0', 0.9914587547763543, 2.6779940128326416]
['CO', 353, 'BO', 64, 'echo', 'dot', 'O0', 'O0', 0.9789473684210527, 0.03181886672973633]
['CO', 333, 'BO', 29, 'mktemp', 'libvlc.so.12.0.0', 'O0', 'O2', 0.9833414992650662, 0.7887084484100342]
['UO', 27, 'CO', 19, 'strip', 'dd', 'O2', 'O3', 0.9912398921832885, 2.193183183670044]
['UO', 32, 'CO', 74, 'strings', 'unexpand', 'O2', 'O3', 0.9943977591036415, 1.0183734893798828]
['UO', 27, 'CO', 195, 'strip', 'comm', 'O2', 'O1', 0.9946958981612447, 1.1901609897613525]
['UO', 65, 'CO', 0, 'sdiff', 'sha384sum', 'O3', 'O3', 0.9479015918958031, 0.09999752044677734]
['CO', 254, 'UO', 69, 'whoami', 'as', 'O2', 'O0', 0.9939855276759703, 2.032208204269409]
['UO', 72, 'CO', 66, 'strings', 'runcon', 'O0', 'O3', 0.9974348011970928, 1.287933588027954]
['BO', 37, 'CO', 271, 'gvmap', 'logname', 'O2', 'O2', 0.9730134932533733, 0.20765352249145508]
['CO', 212, 'UO', 12, 'test', 'gprof', 'O2', 'O1', 0.9767171129220024, 1.0855681896209717]
['UO', 7, 'CO', 299, 'ranlib', 'comm', 'O1', 'O2', 0.9921166732361056, 1.0186798572540283]
['UO', 83, 'CO', 316, 'diff', 'test', 'O0', 'O0', 0.9853801169590644, 0.29337477684020996]
['CO', 357, 'BO', 20, 'split', 'sort', 'O0', 'O1', 0.8874801901743264, 0.3323969841003418]
