['CO', 278, 'BO', 28, 'b2sum', 'ruby', 'O2', 'O0', 0.9923449513938285, 6.38991379737854]
['BO', 11, 'CO', 248, 'ssh', 'sync', 'O1', 'O2', 0.9946300715990454, 1.084989070892334]
['CO', 203, 'BO', 3, 'sort', 'openssl', 'O1', 'O1', 0.9857292759706191, 8.186545848846436]
['CO', 247, 'UO', 75, 'paste', 'gprof', 'O2', 'O0', 0.9921589833716371, 1.7390143871307373]
['UO', 13, 'CO', 38, 'addr2line', 'sha1sum', 'O1', 'O3', 0.9958720330237358, 1.144953966140747]
['CO', 349, 'UO', 66, 'truncate', 'nm', 'O0', 'O0', 0.9866777685262281, 2.0953428745269775]
['CO', 262, 'UO', 79, 'true', 'size', 'O2', 'O0', 0.9945659945659946, 1.2626359462738037]
['CO', 353, 'UO', 19, 'echo', 'cmp', 'O0', 'O1', 0.912, 0.06896829605102539]
['BO', 78, 'CO', 55, 'ssh', 'cp', 'O0', 'O3', 0.9905494505494505, 5.496344566345215]
['BO', 74, 'CO', 81, 'dot', 'cat', 'O1', 'O3', 0.9940828402366864, 0.033338308334350586]
['BO', 1, 'UO', 3, 'ssh', 'nm', 'O2', 'O1', 0.9765317090648513, 22.51549243927002]
['CO', 135, 'UO', 43, 'date', 'find', 'O1', 'O2', 0.9427188382412263, 0.8133544921875]
['CO', 402, 'BO', 75, 'tr', 'gvmap', 'O0', 'O1', 0.955470737913486, 0.4337034225463867]
['CO', 38, 'UO', 31, 'sha1sum', 'c++filt', 'O3', 'O2', 0.961863488624052, 1.1075365543365479]
['CO', 413, 'BO', 33, 'rmdir', 'sort', 'O0', 'O2', 0.924, 0.19919657707214355]
['CO', 253, 'BO', 72, 'split', 'make', 'O2', 'O2', 0.9488272921108742, 0.6354928016662598]
['CO', 45, 'BO', 65, 'split', 'gvmap', 'O3', 'O0', 0.9696272434422457, 0.6973164081573486]
['BO', 36, 'CO', 68, 'cluster', 'yes', 'O2', 'O3', 0.9817767653758542, 0.2461996078491211]
['CO', 298, 'UO', 86, 'tr', 'xargs', 'O2', 'O0', 0.9582850521436849, 0.18974590301513672]
['BO', 50, 'CO', 83, 'perl', 'csplit', 'O2', 'O3', 0.9983000980712651, 4.2460551261901855]
['BO', 57, 'CO', 237, 'libvlccore.so.9.0.0', 'nproc', 'O3', 'O2', 0.9986660314435446, 1.8369488716125488]
['CO', 384, 'UO', 32, 'head', 'strings', 'O0', 'O2', 0.9657142857142857, 1.4949805736541748]
['UO', 85, 'CO', 235, 'locate', 'wc', 'O0', 'O2', 0.989041095890411, 0.35422229766845703]
['CO', 368, 'BO', 46, 'cut', 'ruby', 'O0', 'O3', 0.990069716034688, 8.42430567741394]
['UO', 87, 'CO', 26, 'find', 'kill', 'O0', 'O3', 0.9953503819329127, 0.6608798503875732]
['CO', 112, 'UO', 1, 'dir', 'xargs', 'O1', 'O1', 0.9713855421686747, 0.44879674911499023]
['UO', 27, 'CO', 101, 'strip', 'rmdir', 'O2', 'O3', 0.9943532733368625, 1.1961355209350586]
['UO', 28, 'CO', 194, 'readelf', 'tr', 'O2', 'O1', 0.9862268938021022, 0.6062304973602295]
