['BO', 16, 'CO', 98, 'make', 'sleep', 'O0', 'O3', 0.9933719966859983, 0.44329237937927246]
['BO', 22, 'CO', 29, 'perl', 'nproc', 'O0', 'O3', 0.9990168539325842, 3.3463327884674072]
['UO', 74, 'CO', 198, 'ld', 'rm', 'O0', 'O1', 0.9928578322555738, 5.682791471481323]
['UO', 15, 'CO', 203, 'elfedit', 'sort', 'O1', 'O1', 0.9555143651529193, 0.26099443435668945]
['UO', 72, 'CO', 149, 'strings', 'split', 'O0', 'O1', 0.995536337006556, 2.295391798019409]
['BO', 67, 'CO', 202, 'libSDL2-2.0.so.0.16.0', 'sleep', 'O1', 'O1', 0.9940879418647617, 1.8744068145751953]
['BO', 50, 'CO', 60, 'perl', 'base64', 'O2', 'O3', 0.9982855258819651, 3.0811753273010254]
['BO', 61, 'CO', 35, 'git', 'base32', 'O1', 'O3', 0.9992215542965878, 5.137729167938232]
['UO', 18, 'CO', 251, 'diff3', 'chroot', 'O1', 'O2', 0.9028213166144201, 0.09048628807067871]
['CO', 238, 'BO', 70, 'expand', 'diff', 'O2', 'O3', 0.8995594713656387, 0.17114973068237305]
['BO', 4, 'CO', 339, 'libgeany.so.0.0.0', 'wc', 'O2', 'O0', 0.9996225560504265, 8.229646682739258]
['UO', 20, 'CO', 383, 'diff', 'readlink', 'O1', 'O0', 0.973920130399348, 0.2786276340484619]
['UO', 81, 'CO', 240, 'diff3', 'expr', 'O0', 'O2', 0.9178433889602053, 0.13016247749328613]
['UO', 46, 'CO', 365, 'readelf', 'chmod', 'O3', 'O0', 0.9803536345776032, 1.0936741828918457]
['CO', 65, 'BO', 59, 'false', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9953435086292916, 6.526532411575317]
['CO', 297, 'UO', 61, 'pathchk', 'find', 'O2', 'O3', 0.9654545454545455, 0.37957024574279785]
['CO', 198, 'BO', 18, 'rm', 'libvlc.so.12.0.0', 'O1', 'O1', 0.9811659192825112, 1.0126936435699463]
['CO', 307, 'BO', 50, 'sort', 'perl', 'O2', 'O2', 0.9785138764547896, 7.63914155960083]
['CO', 183, 'BO', 37, 'link', 'gvmap', 'O1', 'O2', 0.9634502923976608, 0.25115180015563965]
['CO', 362, 'UO', 72, 'dircolors', 'strings', 'O0', 'O0', 0.9861660079051383, 2.081977128982544]
['UO', 3, 'CO', 177, 'nm', 'hostid', 'O1', 'O1', 0.9904821022139458, 0.8978841304779053]
['UO', 59, 'CO', 268, 'locate', 'base64', 'O3', 'O2', 0.9807135969141755, 0.18259549140930176]
['CO', 123, 'UO', 53, 'dd', 'gprof', 'O1', 'O3', 0.9662921348314607, 1.840087890625]
['BO', 64, 'CO', 259, 'dot', 'realpath', 'O0', 'O2', 0.9882697947214076, 0.034461259841918945]
['BO', 9, 'CO', 76, 'git', 'md5sum', 'O0', 'O3', 0.9988765501447522, 4.771523475646973]
['UO', 47, 'CO', 93, 'as', 'nl', 'O3', 'O3', 0.9970306384127413, 1.612231731414795]
['CO', 205, 'UO', 10, 'rmdir', 'objcopy', 'O1', 'O1', 0.9747710385346466, 1.2402904033660889]
['BO', 53, 'CO', 43, 'bash', 'chroot', 'O0', 'O3', 0.9975540154912352, 2.8685386180877686]
['UO', 75, 'CO', 131, 'gprof', 'wc', 'O0', 'O1', 0.9962681594029055, 2.051457643508911]
['UO', 85, 'CO', 332, 'locate', 'mkfifo', 'O0', 'O0', 0.9833147942157954, 0.7300281524658203]
['CO', 269, 'UO', 83, 'cksum', 'diff', 'O2', 'O0', 0.9267697314890154, 0.19680523872375488]
['CO', 121, 'UO', 0, 'stdbuf', 'locate', 'O1', 'O1', 0.9421276595744681, 0.2677724361419678]
['CO', 319, 'UO', 4, 'fmt', 'strip', 'O0', 'O1', 0.9708904109589042, 1.539616346359253]
['CO', 61, 'UO', 34, 'cksum', 'ld', 'O3', 'O2', 0.9813717188823031, 1.506744623184204]
