['BO', 33, 'UO', 47, 'sort', 'as', 'O2', 'O3', 0.9657099314198628, 4.292081594467163]
['BO', 22, 'CO', 336, 'perl', 'tee', 'O0', 'O0', 0.9992994746059545, 3.1595377922058105]
['BO', 7, 'CO', 246, 'sort', 'sha1sum', 'O0', 'O2', 0.9713375796178344, 0.20740485191345215]
['UO', 14, 'CO', 171, 'ar', 'nohup', 'O1', 'O1', 0.9921259842519685, 1.078406572341919]
['BO', 4, 'CO', 185, 'libgeany.so.0.0.0', 'cat', 'O2', 'O1', 0.9989380262459228, 5.476461887359619]
['BO', 63, 'CO', 76, 'cluster', 'md5sum', 'O0', 'O3', 0.988988988988989, 0.45885705947875977]
['BO', 65, 'CO', 40, 'gvmap', 'sync', 'O0', 'O3', 0.9909044972208186, 0.39157533645629883]
['CO', 178, 'BO', 61, 'unexpand', 'git', 'O1', 'O1', 0.9914289424700229, 4.551540374755859]
['BO', 27, 'CO', 146, 'perl', 'sum', 'O3', 'O1', 0.9971784019494677, 3.097954273223877]
['BO', 2, 'UO', 33, 'perl', 'objcopy', 'O1', 'O2', 0.9892877694657164, 63.205320596694946]
['UO', 55, 'CO', 121, 'ar', 'stdbuf', 'O3', 'O1', 0.989760393200901, 1.1279151439666748]
['BO', 10, 'CO', 263, 'openssl', 'cp', 'O3', 'O2', 0.9916212819438626, 6.713361501693726]
['CO', 395, 'BO', 76, 'csplit', 'openssl', 'O0', 'O2', 0.9870354364736387, 6.231619358062744]
['CO', 64, 'BO', 41, 'tty', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9839296924042686, 2.95939040184021]
['CO', 396, 'BO', 1, 'vdir', 'ssh', 'O0', 'O2', 0.9674241429134376, 5.856012344360352]
['CO', 56, 'UO', 20, 'cut', 'diff', 'O3', 'O1', 0.8812709030100334, 0.2367243766784668]
['CO', 20, 'UO', 72, 'mkfifo', 'strings', 'O3', 'O0', 0.9940357852882704, 1.7392213344573975]
['UO', 86, 'CO', 344, 'xargs', 'expr', 'O0', 'O0', 0.9538615847542627, 0.27966952323913574]
['CO', 100, 'BO', 2, 'tac', 'perl', 'O3', 'O1', 0.9893774985722444, 3.6276867389678955]
['UO', 17, 'CO', 346, 'objdump', 'tail', 'O1', 'O0', 0.9927117366172405, 3.6044352054595947]
['CO', 130, 'UO', 59, 'kill', 'locate', 'O1', 'O3', 0.9565217391304348, 0.2211010456085205]
['UO', 33, 'CO', 326, 'objcopy', 'stty', 'O2', 'O0', 0.9927032661570535, 1.6024084091186523]
['BO', 66, 'CO', 216, 'svn', 'dir', 'O2', 'O2', 0.9831989247311828, 1.747206449508667]
['UO', 65, 'CO', 25, 'sdiff', 'chgrp', 'O3', 'O3', 0.9157175398633257, 0.1656200885772705]
['UO', 81, 'CO', 133, 'diff3', 'nproc', 'O0', 'O1', 0.9285714285714286, 0.11068129539489746]
['UO', 14, 'CO', 87, 'ar', 'id', 'O1', 'O3', 0.9965007776049767, 1.2401196956634521]
['BO', 63, 'CO', 304, 'cluster', 'fold', 'O0', 'O2', 0.9852709100473435, 0.3490309715270996]
['CO', 149, 'UO', 82, 'split', 'cmp', 'O1', 'O0', 0.9375, 0.11887502670288086]
['CO', 280, 'BO', 39, 'head', 'codeblocks', 'O2', 'O3', 0.9937679476996395, 4.562217950820923]
['UO', 31, 'CO', 200, 'c++filt', 'fold', 'O2', 'O1', 0.9951733216322949, 0.9764313697814941]
['UO', 8, 'CO', 317, 'c++filt', 'basename', 'O1', 'O0', 0.9915290131300296, 1.0024504661560059]
['BO', 66, 'CO', 289, 'svn', 'cat', 'O2', 'O2', 0.9916701374427322, 0.5073041915893555]
['BO', 6, 'CO', 131, 'codeblocks', 'wc', 'O0', 'O1', 0.9985382788233145, 6.842416286468506]
['BO', 68, 'UO', 24, 'git', 'diff', 'O3', 'O2', 0.9974711287195481, 13.965884447097778]
['UO', 45, 'CO', 252, 'strip', 'seq', 'O3', 'O2', 0.9953546542790781, 1.063035011291504]
['CO', 387, 'UO', 27, 'mv', 'strip', 'O0', 'O2', 0.9583395774014686, 5.9742021560668945]
['BO', 9, 'UO', 28, 'git', 'readelf', 'O0', 'O2', 0.996288106144369, 36.049564599990845]
['CO', 269, 'UO', 62, 'cksum', 'diff3', 'O2', 'O3', 0.8915254237288136, 0.07062292098999023]
['BO', 65, 'UO', 59, 'gvmap', 'locate', 'O0', 'O3', 0.9726882559500585, 1.1342191696166992]
['CO', 283, 'BO', 51, 'mv', 'lua', 'O2', 'O1', 0.9488198757763975, 2.2930376529693604]
['BO', 36, 'CO', 178, 'cluster', 'unexpand', 'O2', 'O1', 0.9731743666169895, 0.28485941886901855]
['CO', 283, 'BO', 60, 'mv', 'openssl', 'O2', 'O0', 0.9875893192929672, 10.694397687911987]
['UO', 44, 'CO', 23, 'nm', 'pr', 'O3', 'O3', 0.9913544668587896, 1.5773766040802002]
['UO', 52, 'BO', 49, 'ld', 'svn', 'O3', 'O0', 0.9942097362213167, 12.639211893081665]
['UO', 39, 'CO', 186, 'size', 'shuf', 'O2', 'O1', 0.9920767306088407, 1.5240216255187988]
['CO', 32, 'BO', 31, 'expr', 'bash', 'O3', 'O2', 0.979096677864875, 2.916482925415039]
['CO', 170, 'BO', 74, 'runcon', 'dot', 'O1', 'O1', 0.9923954372623575, 0.027024507522583008]
['BO', 70, 'CO', 157, 'diff', 'chmod', 'O3', 'O1', 0.9656716417910448, 0.31844019889831543]
['UO', 46, 'CO', 203, 'readelf', 'sort', 'O3', 'O1', 0.9754564501646213, 1.6148653030395508]
['UO', 75, 'CO', 38, 'gprof', 'sha1sum', 'O0', 'O3', 0.9978641035909759, 1.7761855125427246]
['BO', 22, 'CO', 96, 'perl', 'fold', 'O0', 'O3', 0.9990180262327277, 2.82778000831604]
['CO', 363, 'BO', 36, 'realpath', 'cluster', 'O0', 'O2', 0.9444058373870744, 0.40613532066345215]
['CO', 234, 'UO', 23, 'kill', 'cmp', 'O2', 'O2', 0.9008264462809917, 0.056340932846069336]
['CO', 281, 'UO', 86, 'hostid', 'xargs', 'O2', 'O0', 0.9638242894056848, 0.1292128562927246]
['CO', 26, 'UO', 73, 'kill', 'objcopy', 'O3', 'O0', 0.9931328439497987, 2.2307887077331543]
['UO', 75, 'BO', 20, 'gprof', 'sort', 'O0', 'O1', 0.9904904904904905, 4.8576979637146]
['UO', 76, 'BO', 36, 'addr2line', 'cluster', 'O0', 'O2', 0.987330546053465, 5.445067405700684]
['UO', 68, 'CO', 195, 'readelf', 'comm', 'O0', 'O1', 0.9906590555267255, 0.8554120063781738]
['CO', 305, 'UO', 71, 'uniq', 'c++filt', 'O2', 'O0', 0.9891861126920888, 2.010223627090454]
