['UO', 25, 'CO', 262, 'sdiff', 'true', 'O2', 'O2', 0.9695238095238096, 0.05732560157775879]
['CO', 172, 'UO', 81, 'yes', 'diff3', 'O1', 'O0', 0.8820058997050148, 0.10713005065917969]
['CO', 275, 'UO', 36, 'nohup', 'addr2line', 'O2', 'O2', 0.9755671902268761, 0.9032366275787354]
['CO', 109, 'BO', 38, 'basename', 'acyclic', 'O1', 'O2', 0.9862542955326461, 0.03509402275085449]
['BO', 16, 'CO', 221, 'make', 'printenv', 'O0', 'O2', 0.9897172236503856, 0.3504445552825928]
['CO', 88, 'UO', 70, 'shred', 'ranlib', 'O3', 'O0', 0.990797949257263, 3.320997714996338]
['UO', 51, 'BO', 4, 'objcopy', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9750452424040384, 124.39441990852356]
['UO', 78, 'CO', 238, 'elfedit', 'expand', 'O0', 'O2', 0.976878612716763, 0.08559918403625488]
['UO', 12, 'CO', 131, 'gprof', 'wc', 'O1', 'O1', 0.9923312883435583, 1.395075798034668]
['CO', 6, 'BO', 64, 'mkdir', 'dot', 'O3', 'O0', 0.9952380952380953, 0.040390729904174805]
['UO', 18, 'CO', 231, 'diff3', 'pr', 'O1', 'O2', 0.8890290037831021, 0.1393446922302246]
['UO', 30, 'CO', 258, 'ranlib', 'dircolors', 'O2', 'O2', 0.9951030401958784, 0.9751889705657959]
['BO', 32, 'CO', 367, 'ruby', 'cp', 'O2', 'O0', 0.9987250159373008, 23.227745294570923]
['CO', 58, 'UO', 60, 'df', 'xargs', 'O3', 'O3', 0.9740740740740741, 0.39836764335632324]
['CO', 383, 'BO', 71, 'readlink', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9793423271500843, 3.490605592727661]
['CO', 55, 'BO', 22, 'cp', 'perl', 'O3', 'O0', 0.9890776699029126, 11.37639045715332]
['CO', 401, 'UO', 21, 'pathchk', 'sdiff', 'O0', 'O1', 0.9170653907496013, 0.10139584541320801]
['CO', 308, 'UO', 2, 'tac', 'find', 'O2', 'O1', 0.9698366149979053, 0.5919406414031982]
['CO', 291, 'BO', 34, 'csplit', 'cp', 'O2', 'O2', 0.8751131221719457, 0.22484064102172852]
['BO', 0, 'CO', 395, 'codeblocks', 'csplit', 'O1', 'O0', 0.9976699981605248, 7.037526845932007]
['CO', 379, 'BO', 30, 'nohup', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9900697030459277, 2.8554813861846924]
['CO', 237, 'BO', 32, 'nproc', 'ruby', 'O2', 'O2', 0.9938295711942513, 4.489888906478882]
['CO', 399, 'BO', 52, 'id', 'svn', 'O0', 'O3', 0.9907692307692307, 1.0497136116027832]
['UO', 35, 'CO', 265, 'gprof', 'od', 'O2', 'O2', 0.9945365853658537, 1.6747944355010986]
['CO', 60, 'UO', 24, 'base64', 'diff', 'O3', 'O2', 0.9096437880104257, 0.2202472686767578]
['BO', 25, 'CO', 138, 'dot', 'tail', 'O3', 'O1', 0.9810606060606061, 0.05787801742553711]
['CO', 45, 'UO', 68, 'split', 'readelf', 'O3', 'O0', 0.9806403574087863, 1.4587547779083252]
['BO', 27, 'CO', 334, 'perl', 'pwd', 'O3', 'O0', 0.9970522268503684, 3.3717663288116455]
['CO', 118, 'BO', 73, 'stty', 'cluster', 'O1', 'O1', 0.945983379501385, 0.3752415180206299]
['CO', 32, 'UO', 13, 'expr', 'addr2line', 'O3', 'O1', 0.9702162382700938, 1.4648768901824951]
['BO', 21, 'CO', 390, 'cp', 'chcon', 'O1', 'O0', 0.9617021276595745, 0.45067548751831055]
['BO', 64, 'CO', 381, 'dot', 'who', 'O0', 'O0', 0.9809523809523809, 0.05603480339050293]
['CO', 380, 'BO', 13, 'yes', 'ruby', 'O0', 'O1', 0.9923588606515436, 5.767450571060181]
['UO', 13, 'CO', 86, 'addr2line', 'timeout', 'O1', 'O3', 0.9950749025241125, 1.2905933856964111]
['UO', 66, 'BO', 21, 'nm', 'cp', 'O0', 'O1', 0.9909560723514211, 5.087928533554077]
['UO', 14, 'CO', 251, 'ar', 'chroot', 'O1', 'O2', 0.9948919449901769, 1.1623408794403076]
['CO', 5, 'UO', 79, 'basename', 'size', 'O3', 'O0', 0.9929318631608708, 1.8944203853607178]
['CO', 173, 'BO', 77, 'who', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.9812514117912807, 2.9319961071014404]
['CO', 299, 'BO', 65, 'comm', 'gvmap', 'O2', 'O0', 0.9643221202854231, 0.40380358695983887]
['CO', 323, 'UO', 63, 'groups', 'cmp', 'O0', 'O3', 0.9127272727272727, 0.0800328254699707]
['CO', 265, 'UO', 26, 'od', 'nm', 'O2', 'O2', 0.9651741293532339, 1.5624516010284424]
['BO', 31, 'CO', 146, 'bash', 'sum', 'O2', 'O1', 0.9958631064309891, 2.4550411701202393]
['UO', 27, 'CO', 384, 'strip', 'head', 'O2', 'O0', 0.9923558026407228, 1.6302807331085205]
['UO', 84, 'CO', 395, 'sdiff', 'csplit', 'O0', 'O0', 0.9326818675352877, 0.19876527786254883]
['UO', 32, 'BO', 73, 'strings', 'cluster', 'O2', 'O1', 0.9872332664599671, 3.7595863342285156]
['BO', 79, 'CO', 233, 'bash', 'chgrp', 'O3', 'O2', 0.9936764447567188, 3.7701125144958496]
['BO', 55, 'CO', 88, 'make', 'shred', 'O1', 'O3', 0.9847908745247148, 0.756009578704834]
