['CO', 287, 'UO', 47, 'link', 'as', 'O2', 'O3', 0.9865587710876423, 1.0673117637634277]
['CO', 347, 'BO', 43, 'base32', 'diff', 'O0', 'O1', 0.9235245220282626, 0.26452207565307617]
['BO', 52, 'CO', 233, 'svn', 'chgrp', 'O3', 'O2', 0.9896334690855239, 1.0209832191467285]
['BO', 10, 'CO', 307, 'openssl', 'sort', 'O3', 'O2', 0.9932808398950131, 6.765484094619751]
['BO', 61, 'CO', 345, 'git', 'chown', 'O1', 'O0', 0.9987176199025392, 9.063233852386475]
['CO', 333, 'UO', 78, 'mktemp', 'elfedit', 'O0', 'O0', 0.98145285935085, 0.13596343994140625]
['CO', 115, 'UO', 19, 'groups', 'cmp', 'O1', 'O1', 0.8963531669865643, 0.06901144981384277]
['CO', 72, 'UO', 59, 'head', 'locate', 'O3', 'O3', 0.9669277632724108, 0.27172064781188965]
['BO', 83, 'CO', 168, 'lua', 'tty', 'O2', 'O1', 0.991725015913431, 0.5596251487731934]
['BO', 56, 'CO', 201, 'libvlc.so.12.0.0', 'uniq', 'O3', 'O1', 0.9961995249406176, 0.6041781902313232]
['UO', 82, 'BO', 47, 'cmp', 'libvlc.so.12.0.0', 'O0', 'O0', 0.9792387543252595, 0.8683559894561768]
['BO', 33, 'CO', 87, 'sort', 'id', 'O2', 'O3', 0.9769894534995206, 0.18024778366088867]
['CO', 355, 'UO', 67, 'chroot', 'strip', 'O0', 'O0', 0.9884733003999059, 2.7474963665008545]
['CO', 294, 'BO', 11, 'timeout', 'ssh', 'O2', 'O1', 0.9829135366033289, 1.615109920501709]
['BO', 7, 'CO', 269, 'sort', 'cksum', 'O0', 'O2', 0.9734879867439934, 0.17678022384643555]
['CO', 248, 'BO', 67, 'sync', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9866402770905492, 1.7504734992980957]
['UO', 3, 'CO', 16, 'nm', 'dirname', 'O1', 'O3', 0.9942339373970346, 0.8737390041351318]
['BO', 47, 'UO', 16, 'libvlc.so.12.0.0', 'size', 'O0', 'O1', 0.9617503059975521, 8.482268333435059]
['CO', 251, 'BO', 26, 'chroot', 'gvmap', 'O2', 'O3', 0.9578059071729957, 0.2907071113586426]
['UO', 51, 'CO', 84, 'objcopy', 'vdir', 'O3', 'O3', 0.9887369267900241, 3.5016427040100098]
['UO', 53, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9779355820441289, 116.98606157302856]
['BO', 37, 'CO', 185, 'gvmap', 'cat', 'O2', 'O1', 0.9741935483870968, 0.2798151969909668]
['CO', 304, 'UO', 61, 'fold', 'find', 'O2', 'O3', 0.9738738738738739, 0.4485447406768799]
['CO', 381, 'BO', 19, 'who', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9868345735546651, 3.8887791633605957]
['UO', 35, 'CO', 410, 'gprof', 'sleep', 'O2', 'O0', 0.9944067119456652, 1.0697834491729736]
['CO', 288, 'BO', 68, 'uname', 'git', 'O2', 'O3', 0.9937437546161533, 3.596745252609253]
['CO', 155, 'BO', 49, 'realpath', 'svn', 'O1', 'O0', 0.981145757795504, 0.9728052616119385]
['CO', 382, 'UO', 81, 'b2sum', 'diff3', 'O0', 'O0', 0.9129438717067583, 0.17781567573547363]
['BO', 21, 'CO', 404, 'cp', 'sha512sum', 'O1', 'O0', 0.976929902395741, 0.24542951583862305]
['BO', 51, 'UO', 7, 'lua', 'ranlib', 'O1', 'O1', 0.9718416090509113, 11.292916536331177]
['CO', 189, 'BO', 83, '[', 'lua', 'O1', 'O2', 0.9575645756457565, 0.8175010681152344]
['BO', 37, 'CO', 60, 'gvmap', 'base64', 'O2', 'O3', 0.9736842105263158, 0.3068380355834961]
['CO', 55, 'UO', 58, 'cp', 'objdump', 'O3', 'O3', 0.9736022911219027, 5.031393527984619]
['CO', 90, 'UO', 14, 'tr', 'ar', 'O3', 'O1', 0.9705369257608063, 1.325347661972046]
['CO', 65, 'BO', 49, 'false', 'svn', 'O3', 'O0', 0.9902548725637181, 0.6125168800354004]
['UO', 76, 'CO', 277, 'addr2line', 'who', 'O0', 'O2', 0.9957555178268251, 1.7192702293395996]
['CO', 213, 'UO', 28, 'basename', 'readelf', 'O2', 'O2', 0.9728199320498301, 0.4113643169403076]
['CO', 112, 'BO', 58, 'dir', 'svn', 'O1', 'O1', 0.9774236387782205, 1.9931964874267578]
['BO', 64, 'CO', 171, 'dot', 'nohup', 'O0', 'O1', 0.9736842105263158, 0.03260540962219238]
['UO', 67, 'CO', 405, 'strip', 'nl', 'O0', 'O0', 0.9990578259333411, 2.1676414012908936]
['UO', 2, 'CO', 349, 'find', 'truncate', 'O1', 'O0', 0.9858979676482788, 0.5739824771881104]
['CO', 116, 'BO', 32, 'ptx', 'ruby', 'O1', 'O2', 0.9893209518282066, 9.55750560760498]
['BO', 29, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O2', 'O1', 0.9864734299516909, 0.6794464588165283]
['BO', 24, 'CO', 294, 'cluster', 'timeout', 'O3', 'O2', 0.9690721649484536, 0.3039867877960205]
['CO', 273, 'BO', 69, 'false', 'cmp', 'O2', 'O3', 0.8810068649885583, 0.04560089111328125]
['CO', 220, 'UO', 5, 'ptx', 'readelf', 'O2', 'O1', 0.962187711006077, 0.8736984729766846]
['CO', 7, 'UO', 43, 'fmt', 'find', 'O3', 'O2', 0.9648671808054842, 0.5498955249786377]
